o_admdong_cd,d_admdong_cd,st_time_cd,fns_time_cd,in_forn_div_nm,forn_citiz_nm,move_purpose,move_dist,move_time,cnt,etl_ymd
11110515,11110515,0,0,내국인,한국,3.0,358,8,22.94,20230101
11110515,11110515,0,0,내국인,한국,7.0,350,0,3.97,20230101
11110515,11110530,0,0,내국인,한국,3.0,497,5,10.97,20230101
11110515,11110550,0,0,단기외국인,기타,3.0,1789,2,3.5,20230101
11110515,11110560,0,0,내국인,한국,3.0,2861,13,3.73,20230101
11110515,11110580,0,0,단기외국인,기타,3.0,781,1,3.5,20230101
11110515,11290525,0,0,내국인,한국,7.0,1460,6,4.18,20230101
11110515,11290685,0,0,내국인,한국,3.0,5581,22,7.41,20230101
11110515,11410520,0,0,단기외국인,기타,3.0,2646,18,3.5,20230101
11110515,11560620,0,0,내국인,한국,3.0,8715,20,3.25,20230101
11110530,11110515,0,0,내국인,한국,7.0,1223,3,9.67,20230101
11110530,11110515,0,0,단기외국인,기타,7.0,875,1,3.5,20230101
11110530,11110515,0,0,내국인,한국,3.0,912,6,24.06,20230101
11110530,11110515,0,0,단기외국인,기타,3.0,1298,1,3.5,20230101
11110530,11110530,0,0,내국인,한국,3.0,371,3,32.91,20230101
11110530,11110530,0,0,장기외국인,미국,3.0,515,1,3.5,20230101
11110530,11110530,0,0,내국인,한국,7.0,126,1,8.33,20230101
11110530,11110550,0,0,내국인,한국,3.0,2651,13,4.21,20230101
11110530,11110560,0,0,내국인,한국,7.0,4051,15,4.5,20230101
11110530,11110570,0,0,내국인,한국,3.0,1020,8,2.74,20230101
11110530,11110580,0,0,내국인,한국,7.0,1074,11,3.81,20230101
11110530,11110580,0,0,내국인,한국,3.0,1037,9,7.54,20230101
11110530,11110580,0,0,단기외국인,기타,3.0,1140,5,3.5,20230101
11110530,11110615,0,0,내국인,한국,7.0,1050,13,18.65,20230101
11110530,11140520,0,0,내국인,한국,7.0,1208,8,3.32,20230101
11110530,11140520,0,0,내국인,한국,3.0,985,1,2.46,20230101
11110530,11140520,0,0,단기외국인,기타,3.0,894,1,3.5,20230101
11110530,11140520,0,0,장기외국인,중국,7.0,1204,25,3.5,20230101
11110530,11140550,0,0,내국인,한국,7.0,761,1,5.92,20230101
11110530,11140550,0,0,내국인,한국,3.0,1707,23,1.25,20230101
11110530,11140590,0,0,단기외국인,기타,7.0,2929,15,7.0,20230101
11110530,11200790,0,0,장기외국인,기타,3.0,6711,21,3.5,20230101
11110530,11290685,0,0,내국인,한국,3.0,6040,22,3.77,20230101
11110530,11410520,0,0,단기외국인,기타,7.0,1142,9,3.5,20230101
11110530,11410640,0,0,내국인,한국,3.0,3466,21,3.59,20230101
11110530,11410660,0,0,내국인,한국,3.0,3101,18,7.74,20230101
11110530,11410685,0,0,내국인,한국,3.0,3741,15,3.28,20230101
11110530,11440555,0,0,단기외국인,기타,3.0,2654,18,3.5,20230101
11110530,11440585,0,0,내국인,한국,7.0,4290,16,4.5,20230101
11110530,11440660,0,0,내국인,한국,7.0,5173,14,4.48,20230101
11110530,11440730,0,0,내국인,한국,3.0,4821,18,3.76,20230101
11110530,11470520,0,0,단기외국인,기타,7.0,9966,25,3.5,20230101
11110530,11530560,0,0,내국인,한국,3.0,10890,5,3.83,20230101
11110530,41570000,0,0,내국인,한국,3.0,27056,13,3.22,20230101
11110540,11110515,0,0,내국인,한국,7.0,652,0,3.5,20230101
11110540,11110540,0,0,내국인,한국,7.0,304,0,3.5,20230101
11110540,11110540,0,0,내국인,한국,3.0,276,2,4.65,20230101
11110540,11110600,0,0,내국인,한국,3.0,778,2,3.25,20230101
11110540,11110615,0,0,내국인,한국,3.0,951,9,1.62,20230101
11110540,41310000,0,0,단기외국인,기타,3.0,13393,6,3.5,20230101
11110550,11110530,0,0,내국인,한국,7.0,3198,8,2.14,20230101
11110550,11110550,0,0,내국인,한국,7.0,570,1,3.34,20230101
11110550,11110550,0,0,내국인,한국,3.0,727,4,17.08,20230101
11110550,11110560,0,0,내국인,한국,7.0,495,4,3.29,20230101
11110550,11110560,0,0,내국인,한국,3.0,529,4,25.58,20230101
11110550,11170650,0,0,내국인,한국,7.0,7410,2,3.91,20230101
11110550,11290525,0,0,내국인,한국,3.0,1589,0,2.39,20230101
11110550,11290525,0,0,내국인,한국,7.0,943,3,3.18,20230101
11110550,11350621,0,0,내국인,한국,3.0,10666,22,3.85,20230101
11110550,11380510,0,0,내국인,한국,3.0,2050,2,3.81,20230101
