일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
20230101,일,4.19로,1080012200,아카데미하우스,국립4.19묘지,상행,1179,1,보조간선도로,외곽,강북구,46.1,28.92,51.22,57.67,44.61,37.18,42.800000000000004,44.45,35.04,33.410000000000004,40.81,39.74,35.7,28.68,29.240000000000002,21.88,30.72,33.230000000000004,32.04,35.9,30.01,48.15,48.96,51.71
20230101,일,4.19로,1080012800,국립4.19묘지,국립4.19묘지입구,상행,352,2,보조간선도로,외곽,강북구,23.68,14.22,14.33,15.25,12.530000000000001,23.34,13.5,13.5,18.46,15.040000000000001,14.24,13.06,13.21,11.46,11.31,10.21,12.620000000000001,13.05,15.18,14.19,17,16.3,12.33,13.870000000000001
20230101,일,4.19로,1080012700,국립4.19묘지입구,국립4.19묘지,하행,354,2,보조간선도로,외곽,강북구,17.77,23.490000000000002,21.85,23.44,27.93,30.16,24.38,21.69,18.42,18.92,16.22,17.080000000000002,18.66,14.59,12.81,17.11,17.26,16.67,20.01,17.97,18.43,21.740000000000002,21.29,17.85
20230101,일,4.19로,1080012100,국립4.19묘지,아카데미하우스,하행,1190,1,보조간선도로,외곽,강북구,49.49,41.76,45.79,67.52,88.91,52.6,47,38.07,49.29,45.730000000000004,52.07,59.88,42.34,43.71,44.42,44.910000000000004,63.47,62.300000000000004,48.730000000000004,51.300000000000004,46.97,50.32,52.08,40.54
20230101,일,가락로,1230024700,방이초교,방이동고분군,상행,844,1,기타도로,외곽,송파구,20.66,22.86,21.96,23.1,28.080000000000002,20.650000000000002,17.8,26.64,16.59,22.01,13.790000000000001,22.41,14.71,16.37,13.93,13.88,20.42,16.39,14.61,15.89,17.63,17.56,15.13,16.9
20230101,일,가락로,1230019500,방이동고분군,송파한양아파트,상행,416,1,기타도로,외곽,송파구,23.22,31.14,33.31,34.85,33.9,28.48,32.59,25.29,26.51,21.95,21.69,24.93,21.75,15.700000000000001,20.21,22.87,19.02,20.38,21.81,17.85,20.46,22.76,21.89,26.09
20230101,일,가락로,1230016300,송파한양아파트,송파사거리,상행,478,1,기타도로,외곽,송파구,28.13,27.98,27.51,29.48,27.43,19.34,29.61,20.02,24.79,19.14,19.27,21.27,18.900000000000002,18.59,20.05,21.96,19.32,19.75,18.93,19.330000000000002,20.25,20.85,27.01,20.16
20230101,일,가락로,1230014100,송파사거리,배명고교,상행,1288,1,기타도로,외곽,송파구,19.76,21.47,23.23,27.48,27.13,21.7,28.63,16.22,20.76,18.240000000000002,17.21,20.43,15.33,17.5,17.580000000000002,18.61,16.84,17.02,18.38,19.18,17.52,18.990000000000002,18.97,18.330000000000002
20230101,일,가락로,1230014200,배명고교,송파사거리,하행,1288,1,기타도로,외곽,송파구,20.150000000000002,22.88,21.86,18.84,34.77,30.71,22.75,21.16,21.22,21.330000000000002,18.98,22.2,18.48,18.19,20.53,18.19,17.06,16.89,18.240000000000002,16.77,17.07,19.39,22.36,21.72
20230101,일,가락로,1230016400,송파사거리,송파한양아파트,하행,484,1,기타도로,외곽,송파구,25.35,29.6,32.46,32.980000000000004,31.77,30.04,27.46,23.650000000000002,27.490000000000002,23.42,28.84,24.02,21.5,21.41,20.02,21.51,22.47,20.17,19.3,19.900000000000002,18.94,18.23,20.580000000000002,23.29
