일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20230101,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,564,414,268,208,190,314,495,610,881,1076,1369,1334,1407,1389,1388,1370,1322,1263,979,875,785,824,552,421
20230102,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,294,190,146,134,252,684,1612,2378,2356,1931,1708,1693,1492,1527,1459,1571,1566,1792,1582,1248,997,973,872,616
20230103,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,419,271,203,177,267,658,1435,2309,2346,2107,1831,1879,1657,1646,1663,1678,1711,1851,1697,1265,1081,1090,883,757
20230104,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,502,335,247,192,292,639,1426,2295,2335,1963,1793,1998,1835,1657,1679,1798,1719,1807,1679,1240,1112,1069,909,769
20230105,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,523,334,235,196,300,641,1385,2248,2361,1959,1906,1952,1857,1682,1530,1627,1805,1798,1770,1289,1152,1111,1030,756
20230106,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,561,403,275,232,309,605,1372,2132,2199,1977,1841,1917,1800,1746,1708,1905,1897,2044,1842,1287,1038,983,870,684
20230107,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,454,362,256,225,246,428,710,1022,1183,1525,1814,1857,1813,1843,1785,1609,1771,1633,1346,941,938,890,910,694
20230108,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,434,354,277,183,164,267,444,648,962,1348,1635,1599,1611,1532,1500,1563,1453,1271,1115,933,859,800,684,486
20230109,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,302,238,164,158,225,648,1587,2390,2454,2076,1962,1918,1779,1613,1613,1843,1822,1927,1661,1219,1021,1056,919,650
20230110,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,469,328,223,179,231,539,1420,2317,2363,2087,1962,2019,1834,1864,1570,1785,1909,1993,1816,1318,1066,1057,951,757
20230111,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,525,394,230,183,275,594,1439,2200,2491,2075,1868,2123,1878,1686,1694,1945,2031,2086,1729,1284,1106,1092,1017,772
20230112,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,510,384,294,214,255,587,1456,2313,2410,2122,1894,2033,1865,1719,1726,1876,1944,1939,1903,1392,1110,1102,1009,792
20230113,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,500,348,257,213,243,601,1339,2116,2185,2107,1950,2006,1831,1901,1736,1946,1885,2102,1797,1410,1080,1075,1011,760
20230114,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,544,418,340,272,274,417,681,838,1218,1648,1836,1948,1995,1942,1846,1961,1851,1780,1468,1029,953,954,835,594
20230115,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,416,343,275,196,156,264,445,697,944,1313,1553,1596,1529,1618,1441,1479,1298,1214,1020,841,827,839,658,504
20230116,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,331,215,159,147,251,611,1617,2369,2424,1974,1870,1989,1803,1730,1620,1805,1809,1978,1685,1347,1066,1058,940,727
20230117,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,491,392,246,188,238,614,1441,2323,2431,2026,2031,2020,1884,1749,1729,1931,1991,2125,1788,1346,1106,1159,1032,762
20230118,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,575,424,294,181,269,630,1433,2307,2408,2112,2111,2188,1926,1862,1937,2052,2126,2192,1885,1424,1203,1220,1060,769
20230119,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,584,420,291,187,287,608,1404,2298,2356,2063,1997,2002,1888,1736,1868,2077,2135,2230,1870,1512,1165,1060,979,746
20230120,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,539,397,310,213,281,538,1264,2013,2329,1968,1882,2029,1820,1857,1867,2140,2092,2176,1708,1324,1124,1052,975,702
20230121,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,500,364,261,206,239,309,379,477,691,974,1326,1729,1981,1808,1620,1567,1514,1461,1069,784,723,740,550,395
20230122,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,283,179,145,115,113,217,386,761,1210,1167,1495,1993,2119,2054,1976,2016,1761,1724,936,782,702,665,509,404
20230123,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,253,162,96,93,103,176,282,392,571,782,1076,1447,1658,1512,1410,1386,1334,1361,1120,860,837,802,620,482
20230124,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,340,244,176,134,151,216,303,415,612,882,1022,1204,1294,1375,1240,1233,1117,1095,915,704,712,705,597,406
20230125,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,287,203,169,117,220,528,1453,2227,2412,2092,1923,1922,1762,1548,1810,1754,1708,1850,1688,1192,1026,1016,910,644
