fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,159867.85331393348,157747.60597431147,150084.37308475186,129586.63265956833
1,134724.77761724725,137342.09295741262,141430.60812992023,119041.01655051314
2,126138.2622443753,123228.90983535947,114229.87148106209,113937.82320770361
3,124390.20294058227,123648.50018728235,116948.47596754377,112957.60492328215
4,127041.52718879578,127141.0919961147,122052.10577286688,113438.43011773526
5,255631.56697712958,254252.22463114385,255975.58895911908,242238.27804296222
6,164970.67475136623,164362.26930021704,153053.0432511534,151460.03873150682
7,123536.95271217861,123370.23813484465,119249.386813132,110129.23086879091
8,140874.66477526657,148906.67098106723,133324.84284222673,125881.18799319329
9,299262.47857410525,299194.00087398663,295249.64253677236,281588.3358877175
10,255234.8374745622,247382.14767811127,233319.97182507344,236422.5197014365
11,374075.80945523083,364215.96989764937,346502.88415813114,339006.9583176446
12,224728.86947887862,209100.68570390437,209255.09102645793,185404.2241923085
13,97764.18590035143,98920.12531890377,90573.95263826825,86083.69707871744
14,131955.43716384165,125540.83276643007,118536.9898999959,112745.843837467
15,116882.78567400064,121094.2980255868,110213.80819905197,108595.15106582416
16,112796.08950387036,110000.30448892649,103782.03700752814,100287.78588610036
17,139737.99684119623,140156.5233405586,130164.86072178006,123743.13875725355
18,198470.51491301856,188318.3063724099,189800.18555483402,176332.12397047316
19,166827.1137592064,159216.02876656217,153037.547639068,160018.87390085383
20,188555.32679734967,179847.88788192414,168179.97954012977,166283.4314857082
21,159091.84637362362,160842.12580943096,150814.41072615757,144199.15885520997
22,195837.64874763065,182112.25395977515,168989.85916578036,166463.12129430872
23,140239.17706768317,138247.01107855563,133413.4012137559,124627.22794482273
24,111297.56357477835,108176.82824027611,99164.26311399831,96932.12015753663
25,100411.6067042914,97637.54155657411,89253.46637794957,86962.65456289673
26,99828.24675876998,85919.28773272021,81969.58640005105,81934.47317160296
27,124223.22485164205,119318.3088025903,108884.89030241134,108016.62273920623
28,148693.12736465456,156990.80824912,144094.59003312964,130788.06417096496
29,118486.43245776139,114041.23043897083,109104.31755071649,108451.57051811405
