fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,133358.0225996569,128028.67098330367,117830.87952455577,118440.15809282355
1,105252.89551028132,101163.60827104271,92207.44645236307,98905.32258355194
2,113485.18915678094,111401.8655658356,103200.4094530362,101814.51081103276
3,118353.23138994694,113384.57841976652,103907.44122091072,108266.61678669241
4,112608.23756962112,115157.05418075538,103762.93984060398,102807.17308056018
5,229435.70918331505,229992.47959038964,221419.22189274695,215033.77439536407
6,137809.14774962395,127376.61090003654,124993.9861992947,126705.79031993754
7,113002.40202550341,94486.62193516981,93172.32208815461,96414.54969699976
8,123106.12015744022,115127.48927177736,107951.36981633044,111199.29017590966
9,229638.02378031705,248820.4848708457,233748.96022534883,221864.77405377998
10,162340.9513257514,160521.9426506678,153331.40734816898,148104.236265874
11,206766.2404810441,209027.6556207299,206773.48259489948,196747.09254305958
12,132843.48247236665,120411.34466501528,116497.15904073145,122029.9279884167
13,93274.21073155753,88929.25394703934,81316.13528302949,82201.39221557876
14,124676.38671423045,116000.81489184106,108814.76672499305,114093.31945721061
15,109698.46282573881,105910.56392977053,98990.19210227618,100915.84629708581
16,101327.69762115541,95911.49910002353,90323.22728615771,89419.0135793458
17,119741.90312789382,120073.40293021363,110245.15605515911,118930.23384265545
18,129264.81661212577,111672.74529876048,111385.84776443873,112167.38732825824
19,148395.91911628286,139682.9290564545,131992.08885664353,131119.3046937614
20,142693.30167616977,141642.57881257898,129272.63029081663,130817.57700262466
21,139608.55786512516,133775.4376512668,124016.94925469946,128447.26131024804
22,155182.72967745332,154966.42040301234,146580.8994207715,149430.60748842443
23,112847.35614889176,108353.02440195544,105216.39608245845,104890.96710981277
24,113858.2782363979,104253.38123223346,95728.54598819188,99591.73500362196
25,83609.385261343,82724.63785161306,75610.66922091249,76603.60924827792
26,77025.3633285758,70161.44669315388,65008.439636251926,65681.1507706145
27,103605.09175976118,96731.90557859924,88781.18971328321,90558.33162470857
28,101910.35767176752,95622.47690197497,91544.09138002488,93111.97258539763
29,92962.69856783525,93825.69167255162,85267.28083732605,85309.6760108759
