fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,13.466767648865316,12.743891736487775,12.833893044660075,12.8606630047241
1,11.8292145708086,11.075343387823336,11.01718591033561,11.3388476687432
2,11.085490961232143,10.411550562518487,10.360319737644785,10.533706640938869
3,12.102329796584227,11.147914727098929,11.049513380759144,11.661743045217616
4,11.328062643898585,10.572131614286896,10.43405170434353,10.802651496745733
5,11.43743544646396,10.594075399097925,10.52082586271289,10.93014535769566
6,12.879912298718066,12.286621840864422,12.108479627366725,12.390925929273276
7,13.149911579793544,12.500681716577647,12.209542146102335,12.471442053969005
8,12.21955155239039,11.752193696511206,11.518075849572625,11.739508375902217
9,13.29618058886044,12.460310407236848,12.369231185836215,12.67860728411187
10,11.431616967871737,11.233812911361593,10.794475991600505,10.970157801364854
11,12.015486539991022,11.387616649817216,11.2312774222158,11.546227440104323
12,11.142155636178455,10.679631118922153,10.435303748496233,10.67227779743271
13,10.841353880648315,10.174260966661647,9.961489211796387,10.378909165814797
14,11.54760996712393,10.816206668491953,10.688083855768143,11.108999114519001
15,11.369798207168037,10.786596104432412,10.984858075089626,10.964507817440309
16,11.486850863109513,10.75606737228024,10.481671727977833,10.853813275960004
17,12.586437384427065,11.976863770268535,11.810325088743445,12.012328095944246
18,11.927602266485419,10.961620058121007,10.938266679638618,11.296900978015508
19,13.264570857859143,12.655510572561255,12.625429339808452,12.69875409697578
20,12.948060077147161,12.275683692280902,11.909375382086836,12.29372595292501
21,11.758151626953909,10.864575540836071,10.820643429109909,11.425847770225161
22,13.55745977981247,12.85069289141496,12.539692174539118,12.77408204321338
23,11.493621362862793,10.871900910074604,10.830026987672232,10.983074111474282
24,12.473055913221812,11.86037788491087,11.728769230759454,11.835943897541217
25,10.810697489696409,9.807386991508523,9.662304615132161,10.518977639259148
26,10.847393001923496,10.363473617945235,10.08624848323925,10.485217566298893
27,11.590166265433341,11.056046478987536,10.864081560815752,11.044266852658408
28,11.071224158419957,10.680575741927992,10.512703815439389,10.603641292547305
29,11.724222565533431,11.244816579912197,10.977557328687093,11.160059786819994
