fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,311590.562420221,226817.88930771017,223191.06192843002,250513.9212802291
1,222372.8609201322,190831.1958106488,172196.36616518322,218499.37964141552
2,207554.39719629378,180603.88721409108,168883.32503438264,179217.41582837218
3,171335.92029008892,152840.00005112667,142095.5087844008,153867.54540595695
4,175694.45831726523,177628.58474169887,147443.0903051562,155730.2510748281
5,320149.1374064619,329626.60371657985,301662.73957614263,292782.2086913615
6,280778.80404515396,246343.5906952518,233810.98729745246,234036.0700545103
7,191935.46178670565,167117.0531270022,156971.0396421317,172091.92008441788
8,201077.64388703665,161743.63798722584,156174.09634068006,172126.90206895059
9,436624.1050331871,438917.7015177644,415530.544699381,427725.46569518925
10,379342.27877161116,357246.63570677745,341385.3210590399,351855.1615144596
11,509086.14508542616,466931.4534283067,465851.15723426605,447243.01928854024
12,316160.9641701095,282452.2543155545,293629.15668570437,307276.24911854113
13,206550.87438406947,174218.38757262737,167025.63530088047,178229.57712747264
14,233699.26580732845,183984.7097516328,178284.79890204512,198322.07883401023
15,193225.7707622931,184335.7285948468,162506.90850071993,175140.57173265994
16,214035.6844376863,170732.41506557344,164016.88325336037,193073.97630003517
17,250142.05840355027,185375.52953565796,186878.7193083514,220052.34865569725
18,312523.66976617486,286396.0423403853,276040.2509620849,269166.6743932677
19,351102.6784859229,301750.4241713975,289915.48572915036,307560.6571916418
20,348211.7613394155,297262.8800707277,297865.5454380545,305124.6430028253
21,284643.6530447641,253920.44101953585,234101.927638992,244003.0795961909
22,306346.4246871518,267238.54042894114,258178.26606302385,278462.8535188956
23,232628.45248250556,179056.2016395683,182268.60986155705,217188.59779653323
24,190290.3070246369,143111.9628217782,141548.3546449646,153467.93220427984
25,151003.25697263065,115927.59786892176,111281.82352181661,138066.37435005605
26,180519.2660975363,112010.80831792514,117609.69553663985,144923.5713172049
27,195746.58228652697,166876.7199042034,159145.2714648312,159643.5518788384
28,227089.61866850514,199642.39953049453,185093.4302764198,213388.51575047677
29,220530.2635381832,198471.2174030691,183430.11431403327,212810.44722848517
