fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,136013.9193645739,120296.10821715156,115477.89082276504,119401.72793841304
1,123889.08304328691,116608.78218062584,105772.36516604324,106298.09514932509
2,115090.12022557863,109145.82533474133,102029.652355222,101453.21492274063
3,104989.26325855096,104807.52029201682,99690.18531402576,98894.0023806726
4,120684.17034713709,109914.56544021922,104676.55829006476,108270.67343988648
5,229092.79927812165,232186.09572001293,216310.17715864582,219418.83906354566
6,131743.90517263755,133813.00266878938,122608.63696068867,111883.93777612725
7,105388.14619904832,99577.24744873626,92198.22028606657,92640.41001231958
8,117405.49583934764,114537.39389921524,107453.85214399887,107754.63094252894
9,247167.4827094536,246555.6662761335,232786.21815551646,230396.66343394518
10,147235.57910299473,139382.2655812129,132099.4297122433,135433.01081195922
11,224129.34027499953,213363.11883208682,202877.5628099471,193642.76992589832
12,141879.85542137048,130500.86836097906,126681.6924078642,118836.1643115293
13,91825.21610619342,87580.18873392824,79714.19867025921,79420.86292801281
14,116091.28304156491,111681.34141383003,104714.04955544397,107457.67236822506
15,118230.19328898196,107109.50585465351,101489.14471453016,105884.2696706788
16,96350.99648222898,92509.80265248154,87654.25136920756,92897.63703355636
17,123163.33689555665,121261.55723020116,112842.10855110984,113911.20816884305
18,121179.45060811602,116687.08984035764,109578.64702662648,108757.00962384268
19,148134.10206487516,132534.16833138175,128177.89608867765,125375.9775845863
20,139694.51376984207,135710.82173559026,123616.78817436745,123968.46738748802
21,137592.01764592584,133056.22277273715,125529.97879074089,127717.87832978577
22,158898.0301984679,151739.3719208736,144456.26316810373,149596.65010220022
23,116452.18958188422,117013.99589783388,111024.43355651235,104231.64990398359
24,111794.80505869661,98656.3888067984,94725.79113960695,104881.449026779
25,89544.27470305105,86004.75406933838,78251.90701535235,77212.51422610442
26,71276.59427145346,70270.48817822638,65755.60940793794,66752.7636791859
27,103532.68113572992,94860.40978959831,88913.46844051716,92820.43585838992
28,99247.55219497412,93499.52011060185,88015.31802077024,85190.81463674325
29,112485.19903005061,91209.67091958826,85519.72295954904,96100.17647506954
