fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,122651.93811640823,123624.99495748623,124548.99545975505,109066.00487185003
1,117100.67988383694,120556.9979465049,114221.79392210204,106997.41513936885
2,111039.14347882858,109901.83785490604,113772.7338337205,102240.6713133484
3,101273.88233844886,100991.37209793169,102454.58027055759,93712.94881496704
4,109709.15728447509,109570.42113256542,105837.29704878369,101973.80343756909
5,230579.54058519768,232740.0657330296,228434.13290786766,219960.92486486153
6,130021.55404362826,132618.29069126846,123749.50752881436,116958.87829825551
7,94806.0884468619,96335.96380655648,99612.50045402769,84098.7516400561
8,124333.00301521964,124679.31767052172,118744.23357811754,105809.39833066003
9,284706.55734445085,286790.1811174837,294786.29562771047,278883.59377804707
10,175482.5111529022,170238.72882671814,166787.39189880865,160326.044141016
11,276431.47619696584,276475.08820357686,296347.8185248709,253602.8074552853
12,162442.64517629772,160925.77219314096,166778.77588724878,157688.72317807077
13,86257.74358809284,92162.5461207332,88015.68289194495,78847.93065530786
14,119419.41694676028,119089.46945656372,114025.92449871256,109012.39986596181
15,134088.4373807984,139292.3991410449,118125.52125043237,109801.91650435896
16,96426.32662605053,96044.2244327785,90802.93836746486,88328.05841690705
17,135575.29277075772,128514.78066676903,126941.93670114908,124119.15554032936
18,168015.55106141552,168157.4845061526,161224.41424457342,147494.50630159286
19,146986.47378434078,145977.69336829602,136589.40909105015,129200.08206651882
20,157083.73284951824,162497.72300553403,160285.90676028654,142537.30088688302
21,162007.9619191247,148460.99201636564,143174.53359394617,135380.915875425
22,178289.40351122286,172319.69603317278,172398.71262492496,159604.97356091137
23,134746.53220154988,120932.73734819888,114597.6925275807,114465.99517201955
24,98358.93618604016,97963.68021451538,92198.27123766535,86500.54269143775
25,87827.14429462803,87076.05081955969,86132.93003712823,76713.16090469356
26,93035.18956609123,92461.82176307823,93163.2892735397,81231.31416159285
27,105632.69903890009,101114.99297931734,97287.06442720818,99120.09916104349
28,115206.00999454987,115495.0794609721,119080.86142777023,106709.84320365764
29,109284.09958787888,111973.33390002734,99043.86708220276,88827.20427862318
