fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,116478.81266114481,114892.20705702809,105767.36747881165,104822.05490417127
1,101291.81828973978,96943.95965280704,89588.98739057066,93794.92396462496
2,106167.49834378253,104984.05007792733,102284.96352299865,96498.40621175314
3,106077.2770797912,107422.6495108733,98186.71561867042,99000.45000822896
4,111004.25787413568,109870.61684367068,102585.49930758262,103966.0801615754
5,224659.28734714983,223158.5184314752,220257.69074579945,214690.9903380515
6,131131.64552468297,123917.3406215535,120252.65423697566,114238.28278120073
7,90739.59980512231,93076.19581866206,93138.49115030291,85271.50883796788
8,104169.66203424329,104671.83959965555,100013.36411802526,97079.57840306748
9,241260.4939679726,251993.1127582845,246527.4704351691,236660.67888136534
10,149100.42780410906,147667.88840104605,137842.58248318077,146753.276653867
11,227119.96671014716,230026.33463857733,235800.68561491038,214130.76443038313
12,118014.41799082875,109965.84498670169,109601.70968124965,125601.06030583868
13,83314.59902947916,80105.29190802423,72687.17838017282,72661.09771352312
14,112017.21742463691,112544.78310287517,105370.42218141377,109222.828119109
15,105354.00796595193,104571.14583903909,96731.08848509361,95475.39914579412
16,95448.61482443195,95325.16000669268,86480.00990807041,84572.33741803913
17,113665.21147886143,112696.70574842971,109461.02748109946,108418.66351455695
18,137977.18381089397,132229.023893001,119536.54515746137,125708.94934529491
19,128201.10514683418,127515.78479011552,121251.95429207254,114019.45257158368
20,142589.43015732273,139832.42447955787,125277.32434353862,126407.63020503745
21,148750.69185223113,145203.00960648505,136569.86379943808,128710.3111262466
22,176364.52511928754,159386.7589686678,159459.49896864075,156714.38240402684
23,120606.68140028892,111728.43160139956,107468.26266725198,105428.82159259162
24,95633.05732974171,92864.77272866834,83444.69787598703,85427.74263555474
25,82083.73527073962,82066.97310753354,76601.84483580475,73342.07256001481
26,73591.02566795966,74434.32442676915,71454.67755689647,63282.567505104205
27,111136.96650831496,106916.31086702118,98434.3930553534,102009.06056826429
28,109480.13546019906,107612.35703981256,99416.48618229535,95183.30521810947
29,99033.63114168988,107858.73124729763,91992.45979830643,87983.12846155508
