fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,17.75200754703593,16.478570107784794,16.48708581223639,16.790647122395576
1,15.93656221358562,14.505512236403773,14.611656369086141,14.979282659569641
2,16.01222245746216,13.86909699677757,14.153994271066455,14.355152371482815
3,17.46712622477286,15.317055765072665,15.613882640757312,16.093527264198173
4,16.094998889732555,14.406987879819305,14.623685568650378,14.905019041344
5,16.558437896694855,14.455199112580283,14.755523347094131,15.304159871919424
6,17.46077223624188,15.638942825444131,15.838425357232358,16.242128265585723
7,17.60936946972441,16.253061274317886,16.28864543391708,16.498750965649528
8,16.172629164666127,14.84229961894155,14.906717499498026,15.296713630699522
9,17.104875492649214,15.380804711577092,15.617117295240362,16.05183905388822
10,15.88003904436893,14.33551863913982,14.444877780687126,14.645778498045662
11,15.701154075889109,14.456632139886286,14.468248570314701,14.921156603511193
12,15.725973260041064,14.184477454981415,14.35960467301732,14.644632818627612
13,15.48258832043169,13.644370506190782,13.890589749989827,14.208432781926486
14,15.76163257273724,14.374204988536922,14.491156167094275,14.85960440194229
15,15.989172728951077,14.263464619756144,14.49098547566218,14.833536154228856
16,15.510735135531037,14.386668562091062,14.378014100853685,14.299773306554323
17,16.80550885627817,15.61542897363543,15.58731681531194,15.823007005178805
18,16.28940185680233,14.290542097920811,14.640099603208357,15.117107810399183
19,17.321779378135187,16.073596024565916,16.126931955404192,16.50051765427704
20,17.038530732051747,15.678985756986,15.639577634541924,15.772694293123372
21,15.87539669258331,14.252053598652436,14.392769988709206,14.896775807557372
22,17.16305674721573,16.230685828108744,16.15736412654806,16.048252889340176
23,15.165671236005446,13.563682819415837,13.701283022928385,14.470474175052043
24,16.59050023234652,15.428048547986537,15.512154439460192,15.43051613413142
25,14.835016319797715,13.393614131882208,13.55073183993515,13.713603434556424
26,15.016331186707285,13.992778713297529,14.037657661604792,14.159601343903438
27,15.754252916953059,14.516813258760099,14.554747377479707,14.616420941188927
28,15.063452685275962,13.687070806949045,13.818782567753372,13.98783457433488
29,15.909115079903698,14.66234527484976,14.704354029905025,14.813007798675988
