fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,178251.48989017293,157277.68781537405,157840.2517594899,162502.86564855473
1,151650.46192120115,145436.0312803359,139937.04673855452,138338.04550201332
2,169993.48220010026,146995.37216940653,146575.270215577,149211.59751981686
3,162326.82424059813,153068.8790298353,145948.49666550054,155018.59161166506
4,174604.7509457768,151976.2107931696,151079.10819013862,156670.8260706313
5,277850.03275787504,269506.5865363279,264276.75130930095,265111.47626389406
6,162588.2149213882,151881.07391618734,148334.6586099231,149205.03659012562
7,154818.73761401436,135981.23862097992,133059.72758226655,147736.43084699122
8,181554.78469592976,163621.20492689466,161934.31284163875,167932.447791031
9,275377.23214468046,258268.9004193756,254304.1155870751,264271.0454511005
10,174399.3123168501,161510.71524710255,158118.13299557642,161907.56419520086
11,205703.1715820879,181326.65656416223,180044.2178270465,184011.1841742367
12,151657.44690315207,134677.24364958532,131291.42590599167,139720.5064846886
13,149104.5251578445,138898.19620430857,134210.99669821243,139787.73628958763
14,175952.87924361136,161128.36676762544,156949.79890835736,164744.46512251388
15,160171.96892910657,148547.36970873867,145752.2015455342,150793.495248759
16,145820.47657228523,126040.14893201152,123008.90674937142,133470.93991380793
17,175788.29871012608,158804.7947719489,156582.11699412754,164678.06773530357
18,151408.8511857113,134717.7579776212,131353.76702029203,134419.51106868612
19,174577.79862604896,168785.03829494995,160149.89339605943,167356.94927088043
20,199375.13131631352,171230.3465098142,169022.43372581244,183579.98185358368
21,194333.71949718244,171847.98445943586,171377.18703393935,180498.78790417916
22,220728.49150479512,182372.0498002693,183922.35217780998,213756.1911092566
23,155600.02620038326,149531.1116079906,142424.65881232315,137487.53670136997
24,160491.02995333262,139347.00118698255,134931.64326291493,143500.38899271967
25,132468.45676191832,115461.66514342288,109807.28915781526,118363.92611994276
26,108311.58238577176,98656.45505506967,96060.82752425263,99908.12572068065
27,135691.90026101546,125054.44004358222,119942.61564007765,120245.13846273291
28,120285.6562561026,112460.13647708614,107604.52904585913,108054.06752469657
29,131546.80910423998,118819.79096093011,112771.17528466425,126868.30471422261
