fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,141139.8793139408,131391.94389894203,121801.60367050343,121347.99594230256
1,108809.32496707409,103573.18459272654,96500.79229661099,98628.37826977803
2,125051.3396306121,116139.37964427522,108528.73689373331,104760.5660767447
3,117846.479602409,112232.4522892534,105409.31727055738,104753.41942841024
4,117520.45606673419,112400.60367631118,105584.47255240535,105137.20714039805
5,240068.18809113436,236318.00024652458,230030.6688228464,222698.67053970482
6,137299.22734149554,120836.77235278075,112444.45266300101,119315.99743704287
7,108422.5941427583,103998.4536704248,97473.8398503005,96096.5099128506
8,133116.86147883057,121398.134406429,112365.83885414887,113641.25589541606
9,269436.3472244351,286897.41544654354,267060.0887406927,254085.34180654786
10,176380.391600075,162754.70120111623,155755.1665364412,154123.34449279652
11,243146.70651188094,225554.50235004417,221292.11756299788,232394.55967159782
12,153661.28679971502,140093.49447992037,139247.8327578598,134836.4120414725
13,92516.01878069334,88979.63659702813,78379.5431944452,83636.89167795778
14,124415.28051999961,115928.49412361221,110100.32818998503,116926.49120663766
15,112749.93080894399,109382.06715835647,99962.84773798962,100816.06237812222
16,105866.98098118001,89892.66689555463,85849.22077551669,92515.07441528502
17,137383.76554633246,129742.78491153385,123158.0139561353,118101.44804109723
18,143558.19378164862,126144.76901457494,118963.89336785585,127873.12564286927
19,150329.96187705593,134377.33327032847,128701.55214690603,126469.41857845434
20,160966.7007836013,142882.82308188893,135116.69262233222,140860.61908577642
21,146045.48977825747,140059.51397050463,133419.84490526846,136449.7372280111
22,161700.89039986162,159459.8644920867,152949.6391817666,151752.68488870276
23,130895.9320829855,122189.53776865343,111807.91080321914,112088.14685930523
24,104875.73649736698,102483.98507229386,89096.49594257008,91181.26564260904
25,89032.94685191361,83763.91752360029,76417.52386962628,78731.38785751643
26,88285.14233404369,70512.82755473083,69683.47880787277,75014.22615659761
27,113968.393976513,106285.9949339317,101128.33222116125,102054.10261869212
28,102732.02613842236,100225.34790561513,98861.04071520957,89844.37431556173
29,108183.04002631985,95027.67271224418,90234.74596992576,91756.05134746215
