fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,124264.92452215755,121672.76498504962,107695.00233322746,109959.39535232895
1,112438.60904781417,104637.38511426309,94554.77522427874,88718.62288710829
2,112695.39884772061,106618.75663907336,99788.87142980506,97916.18371890573
3,98300.81632116738,97813.59315751112,91726.23450835478,91167.31561933059
4,113452.55034632806,113172.83924892877,103612.13030430686,102114.86718330068
5,236787.1253820409,232431.78721151003,218556.74673836614,222251.08154368988
6,127900.05706772293,125462.66158258524,113549.74448066474,109072.26654866886
7,104693.23292498568,100301.62302950629,94729.23844889704,93331.270482396
8,112607.84909280953,113032.12465478569,104188.7966392431,103123.12279770033
9,242034.38033394484,247681.9988910327,226234.96866222526,230526.7223351683
10,154084.42985332155,156301.79472647913,142166.26287060915,139661.33775646912
11,232753.8257343739,238023.44392985007,240720.57496889727,222175.03629863946
12,144193.27225556865,138011.74130474133,142767.53426761608,135748.72546256066
13,79785.69932406327,80800.06350939132,73128.11541315587,72748.23964173572
14,116597.35650419032,110507.20590458566,105518.2427581011,106934.33649639635
15,146658.39662227692,114350.16404585914,108673.18258200992,106107.9684652005
16,112669.14838394949,94449.74755607471,89323.79599226083,91700.19226420476
17,120792.33185290756,120125.90539939878,111710.26863540498,115578.10905112652
18,141463.06255095865,128877.17844963657,128282.14065031924,117979.38692975535
19,134150.48463943618,123353.2353817892,118258.1323459252,114966.87565997923
20,145350.08463511078,137935.5416666166,126741.60323884877,131816.6702252867
21,145366.52160661053,144977.27827561568,131775.7793065894,125493.34947985422
22,158373.24099793815,160752.80334280588,152295.3077522767,144814.93994122342
23,113655.18111622744,100415.94174986504,98149.74065033058,103013.14302547679
24,95500.18586984181,89284.62275375768,84702.40384049212,81479.35575296753
25,92628.7692181713,93169.7904249313,83558.47772662422,79270.46960322236
26,77280.36730407373,71656.34201202985,65114.25807643122,67484.75297387327
27,113920.00573492078,100693.37848375094,91750.22730551576,98440.5514084691
28,98997.26575945172,98514.16198306944,90172.10248238215,83833.80553981174
29,99898.51062170634,86770.2405336352,81130.99332170167,89043.9769936359
