fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,140022.83613584266,135370.4484056006,118264.86844716576,134130.76500663566
1,124704.94654155213,111768.37132606604,107243.4252420033,113349.51773252182
2,123650.71691341877,110113.39261857394,106045.6516506512,115412.1851186623
3,132624.34477862297,120291.8362970014,112767.58990980854,115589.60902388101
4,131129.78179945744,120327.58584610796,113579.02641620178,119093.7306454824
5,248302.42480992782,258958.76149272968,239082.02161660878,232784.7012724389
6,147299.93180956438,129757.8694823567,127031.14311934124,134777.62532670476
7,111483.7920370084,106125.90494243558,94304.88048914469,98255.86001251654
8,121739.8265435732,121309.06852785144,110083.45093618163,115777.42219160867
9,276804.35780876246,257364.2364956225,259090.4290046741,260276.0159678512
10,186125.41006035137,183217.9945128556,174900.1264488865,163788.35678860845
11,260824.36919166404,266927.68937802897,262803.05260304175,240307.54380201915
12,144863.13776250553,139350.49774164127,135439.75127628824,143675.43564788156
13,103661.13705297459,95179.62981815693,86717.98266614029,93814.81096497261
14,141302.87846551885,123688.36566020694,117779.75649144857,125887.7937591553
15,137718.07057697256,122032.57617765936,111708.71589228798,132059.83380174052
16,131670.41062877883,103332.89691445668,99149.77811979245,112612.82696741079
17,159323.09728158184,129259.01326180363,125945.73304091435,141648.98073700815
18,151617.36591091013,132813.19891955337,124338.3794456456,132981.79144840036
19,157805.69467338265,150530.76961293333,140521.55730805456,144098.5294486322
20,165302.69991278855,181003.2195871925,150366.09603978094,146345.98349398116
21,169712.8716010066,146780.1733456614,140531.39426161637,141664.23954938285
22,183130.75679362024,160975.52887435426,157256.24950643082,160128.2226559001
23,132308.75064494493,123528.75169991808,116171.28579718231,123294.00326442723
24,125716.59910524549,108985.6549521467,98771.33433765284,104117.0757980011
25,106933.88772533447,93907.7870090079,87060.44699244424,94316.80743704719
26,97280.43277442237,81974.42415187978,77245.33557888777,80733.4082207495
27,124104.96408573074,110588.498249672,101337.00028220187,111710.19560013844
28,122445.55008706903,118359.22122800574,105543.81582422533,103961.04072808493
29,110280.48628835358,107626.73458187196,96635.24009406382,97267.7623608036
