fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,140205.3426980304,121194.48359765435,119078.18927402383,129104.53429974505
1,113300.58510841911,97747.06218011402,95547.81118805909,104799.29943069784
2,111906.5643482493,97459.08940627109,95945.08660680633,106524.86670016001
3,113213.44228737084,109458.38415545256,101035.29713377055,107108.04211702377
4,119598.09513285235,109859.681460024,105564.01605842474,115463.02693944305
5,229835.829824929,211856.7221577205,212599.7037844051,223648.23002791422
6,137641.18035782405,117630.22630934566,114601.16228487558,130224.45424556713
7,114325.21409464246,104985.12507301604,100256.8495643781,106037.83558238874
8,130977.37309518975,108800.59594289423,108420.97957789565,123165.27624635758
9,239684.8052287537,231004.11582537004,223309.30089119848,231016.58894497258
10,151175.55487725892,138057.17100327852,132899.840113188,142586.76804595356
11,222818.2784854173,209366.5713210277,205788.97783922628,209475.05653724307
12,157273.06284188776,145980.66689930685,141787.17837938113,150541.48375710216
13,97292.50704540343,90888.42708203051,84808.47670270584,94659.05032069536
14,126026.0381364337,110606.93674399398,108483.91160735903,118396.53153031273
15,118064.74748428605,101346.67611416605,100146.14287350464,108614.60423324826
16,104333.01431668465,89350.34563439025,86984.31084375909,95292.98483484636
17,121339.27671306895,118350.6095306787,109093.08359372844,113584.41880863068
18,129657.24590446755,107143.602374936,105756.4103167048,123177.68659445894
19,137594.56394908452,125542.1903453212,121974.74583377174,129518.2174372531
20,145203.17430100706,136299.7796521812,128774.03379785265,135195.17153919174
21,144137.2255730711,129404.74315428949,126762.64038403542,132764.14144114076
22,151205.16675800842,145529.41479304124,138006.69852740932,141425.69877358692
23,120742.8091644265,116612.79795647525,110825.85192878122,112923.67024998067
24,117265.27564684537,107281.25527664705,103673.61619921074,103955.65118931995
25,91105.25675137728,81768.02488739799,77098.90130777456,86063.1133708153
26,75109.67784450308,62493.80288221654,60896.05680078868,72532.72035043861
27,109900.00271854624,99667.67851330413,95422.08005517327,98702.37245791053
28,99832.68500620194,85907.64000281085,81312.34339120948,88098.18322127583
29,101766.86471260301,84478.7246279215,79566.18054969105,94405.52980837107
