fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,1.3263103666363392,11.204907512474557,288,11.318267900245353,16,11.324129064685629,14,11.32763175654552,13,11.30487294979776,9,11.40316528120094
1,396,1.5383888058637194,10.13053158758501,238,10.257308956804803,6,10.287999147019608,4,10.287999147019608,4,10.287999147019608,4,10.327359594388335
2,396,1.542714855323974,9.286729504003832,259,9.432114861647063,14,9.446696148819825,8,9.446696148819825,8,9.482862533050056,5,9.515167256731438
3,396,1.0775803217304247,10.74293878799497,222,10.789510129394595,19,10.79544653461342,9,10.79544653461342,9,10.806343490961044,7,10.900825981711463
4,396,1.4954832504981914,9.491739953439284,162,9.561256663218662,7,9.569510433280529,5,9.592301362244262,3,9.592301362244262,3,9.642049527782657
5,396,0.9703602697544159,9.706765265048935,242,9.79645359189727,21,9.806073947902123,16,9.808640029906712,13,9.83367761712326,10,9.923245511212865
6,396,0.9562474453223698,10.967525805067334,233,11.04220460297777,10,11.051065362425529,7,11.051065362425529,7,11.083792565218506,3,11.092455540025222
7,396,1.4071466151553789,11.227203308447619,182,11.288175264725194,12,11.304937649195942,8,11.304937649195942,8,11.31445194640907,5,11.355359997826232
8,396,1.5370113490536097,10.402755094292882,166,10.375352785351119,4,10.36622116158004,2,10.376870935751738,1,10.376870935751738,1,10.353677397937544
9,396,1.120553999823666,11.089337841821417,261,11.18686145317823,19,11.21305839065497,10,11.221610431613191,9,11.224736514412303,8,11.302041399280386
10,396,1.527664875335761,10.226769824717445,221,10.370834910720856,6,10.370834910720856,6,10.376967933990755,5,10.376967933990755,5,10.37764845028523
11,396,1.5461278051125924,10.851439202345254,229,10.969293711257695,5,10.965442507555219,2,10.965442507555219,2,10.978716832089356,1,10.967678348153399
12,396,1.3835001507257974,9.577050814972976,205,9.669610992765401,10,9.667862444639958,9,9.667862444639958,9,9.672446280157384,8,9.70417725481746
13,396,1.0291396182669366,9.345469227975684,226,9.425733616657487,10,9.427693881591559,9,9.427693881591559,9,9.427693881591559,9,9.498956276317658
14,396,1.0872466962518055,9.685770649197622,165,9.735274512027415,7,9.75417890204825,6,9.7549165282884,5,9.761869402580384,4,9.812150635446159
15,396,0.8590351670364762,9.65558485468136,231,9.714662644825871,31,9.734532398978368,17,9.739702778496264,14,9.748609210518401,12,9.886418226464693
16,396,1.1853538626856752,9.585891635954713,196,9.673040523911645,12,9.685735019828623,7,9.685735019828623,7,9.689979818657545,6,9.75968013317631
17,396,0.9835204073060909,10.975491823690751,180,11.03242192204761,18,11.069753837450651,9,11.069753837450651,9,11.069753837450651,9,11.194260078242424
18,396,1.1951271268486785,9.931770699347362,154,9.99607923500718,10,10.008156832599433,6,10.013440545510456,5,10.013440545510456,5,10.056611784442062
19,396,1.1967384888080803,11.111473370027912,187,11.333920963168465,4,11.335328072734672,3,11.339323102358827,2,11.339323102358827,2,11.367565234243912
20,396,1.5648426881672495,10.993455440651493,245,11.12383340625029,9,11.151921185833622,6,11.15086852011319,3,11.15086852011319,3,11.175235659026963
21,396,1.6268631322728881,9.577294714557771,203,9.677066528453604,9,9.677066528453604,9,9.67358106939103,8,9.65362766501089,7,9.688477326876114
22,396,1.6862924489751676,11.206738498551031,249,11.229882171058554,9,11.224874343303023,6,11.224874343303023,6,11.22981161744701,4,11.259464370709859
23,396,1.7246327558292829,9.65714600216958,234,9.814464648895374,11,9.834303707470312,7,9.834303707470312,7,9.858897661322803,6,9.995142683917672
24,396,1.7625456207104881,10.415482988036416,192,10.420605318490404,9,10.34307976000118,7,10.34307976000118,7,10.34307976000118,7,10.350746832046756
25,396,1.197365430262674,9.018062167701205,179,8.982062220490485,8,8.977839933602661,7,8.977839933602661,7,8.977839933602661,7,8.933076083650523
26,396,1.4279964416842061,9.082075083076544,257,9.187891210959112,21,9.214656206484394,13,9.236061425409204,9,9.24572383884566,7,9.316804494840847
27,396,1.336118606029701,10.077382488291768,93,10.103522365283762,8,10.09669397050406,4,10.09669397050406,4,10.09669397050406,4,10.202589090702327
28,396,1.015625759307286,9.340133473004574,222,9.413308289449146,16,9.444688158353191,8,9.446308531899218,6,9.45891088165558,3,9.52444296547703
29,396,0.9146612731539061,9.93766656524492,217,10.008416223108728,12,10.017977310029735,7,10.017977310029735,7,10.02500401371321,6,10.096294063984798
