fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,74796.78346374146,157747.60597431147,54,159337.98919081438,3,159730.3841910077,2,159529.00611302353,1,159529.00611302353,1,159867.85331393348
1,121,65167.09555551116,137342.09295741262,46,133217.58721151852,2,133217.58721151852,2,133217.58721151852,2,133217.58721151852,2,134724.77761724725
2,121,32051.195989355438,123228.90983535947,35,124526.31822281098,5,124292.0916847407,3,125183.09138983628,2,125649.21332891559,1,126138.2622443753
3,121,36186.47295498096,123648.50018728236,28,124627.94572271123,3,124762.30461382991,2,124349.60813743169,1,124349.60813743169,1,124390.20294058227
4,121,19106.708746667213,127141.0919961147,23,126735.72935186002,2,126995.84029943559,1,126995.84029943559,1,126995.84029943559,1,127041.52718879578
5,121,19016.388322657538,254252.22463114388,7,253941.95135397514,2,253941.95135397514,2,253941.95135397514,2,253941.95135397514,2,255631.56697712958
6,121,49305.339868245275,164362.26930021704,41,165087.8945904117,1,165087.8945904117,1,165087.8945904117,1,165087.8945904117,1,164970.67475136623
7,121,84063.47181367473,123370.23813484465,40,122994.76948629838,1,123536.95271217861,0,123536.95271217861,0,123536.95271217861,0,123536.95271217861
8,121,35457.99553797216,148906.67098106723,58,140560.59717092724,1,140560.59717092724,1,140874.66477526657,0,140874.66477526657,0,140874.66477526657
9,121,29576.928000722677,299194.00087398663,26,298547.71295448527,2,298869.5762734939,1,298869.5762734939,1,298869.5762734939,1,299262.47857410525
10,121,83542.30685569416,247382.14767811127,42,254950.21427713922,2,254950.21427713922,2,254950.21427713922,2,257249.54592883668,1,255234.8374745622
11,121,132130.52720939092,364215.9698976493,70,376185.43107992015,1,376185.43107992015,1,376185.43107992015,1,376185.43107992015,1,374075.80945523083
12,121,257271.63347245767,209100.68570390437,52,211369.29379338282,2,211369.29379338282,2,211369.29379338282,2,224728.86947887862,0,224728.86947887862
13,121,17146.871602863444,98920.12531890378,15,97696.36308851995,1,97696.36308851995,1,97764.18590035143,0,97764.18590035143,0,97764.18590035143
14,121,43609.25127528778,125540.83276643007,39,126597.51242137513,4,126747.90188930155,2,128092.4181821361,1,128092.4181821361,1,131955.43716384165
15,121,30103.444273891353,121094.29802558679,30,116608.32498537934,3,117340.08497969936,1,117340.08497969936,1,116882.78567400064,0,116882.78567400064
16,121,24348.378358276204,110000.30448892649,35,112179.51327640247,3,112562.56702745217,2,112562.56702745217,2,112848.11191221657,1,112796.08950387036
17,121,29508.90068015714,140156.5233405586,71,139627.44895011204,1,139737.99684119623,0,139737.99684119623,0,139737.99684119623,0,139737.99684119623
18,121,141949.6776992609,188318.30637240992,63,191956.7873074996,2,191956.7873074996,2,192177.67313141693,1,192177.67313141693,1,198470.51491301856
19,121,66476.31853680113,159216.02876656217,50,163892.03196265627,3,164411.1838621624,2,164411.1838621624,2,164411.1838621624,2,166827.1137592064
20,121,117552.41858129621,179847.88788192414,43,182294.40012200185,1,182294.40012200185,1,182294.40012200185,1,182294.40012200185,1,188555.32679734967
21,121,55423.21202753724,160842.12580943096,44,159224.1156303656,5,158991.05788356214,3,158991.05788356214,3,159788.95022246646,2,159091.84637362362
22,121,51322.03457070037,182112.25395977515,79,193630.568526884,2,195837.64874763065,0,195837.64874763065,0,195837.64874763065,0,195837.64874763065
23,121,50260.75967021214,138247.01107855563,61,139204.72532396027,2,139732.7113068613,1,140239.17706768317,0,140239.17706768317,0,140239.17706768317
24,121,25991.60228835512,108176.82824027611,45,110289.33380213741,6,111633.91649765307,2,111633.91649765307,2,111726.9908984997,1,111297.56357477835
25,121,45584.440174673175,97637.54155657413,62,96968.47279650414,2,97021.44074710333,1,97021.44074710333,1,97021.44074710333,1,100411.6067042914
26,121,22787.961536596704,85919.28773272021,65,98643.62392072404,8,98771.84907295617,7,98961.99592924684,5,99145.4714998843,3,99828.24675876998
27,121,23942.113709385543,119318.30880259027,78,124005.20366166701,12,125241.1230643818,2,124852.33044309753,1,124223.22485164205,0,124223.22485164205
28,121,27889.692358407152,156990.80824912,44,148637.1536723093,3,148476.1909688323,2,148476.1909688323,2,148693.12736465456,0,148693.12736465456
29,121,96397.63638294606,114041.23043897083,49,118311.63303947028,2,118158.7249508115,1,118158.7249508115,1,118486.43245776139,0,118486.43245776139
