fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,1.2908793292283527,11.69269203177135,192,11.801452074428807,25,11.831653975946681,15,11.835934491845356,13,11.843611806072078,12,11.931007172295638
1,396,1.322365927015318,10.267844543851183,181,10.329773323607272,17,10.354587006713333,6,10.335883124901587,5,10.340117900154263,3,10.362290087377428
2,396,0.9091365795371829,9.34344378811991,185,9.343752584587332,22,9.360626812995358,17,9.371983637655402,15,9.296665488223203,12,9.290365270037375
3,396,1.2208392678283713,10.53446167607649,235,10.602587602447697,9,10.608384951951804,6,10.608384951951804,6,10.627089637471055,3,10.663240864881562
4,396,0.9681298588763512,9.482015331112386,229,9.504520535827043,19,9.500030838454924,11,9.510164154318865,8,9.505154214662525,5,9.48275466257036
5,396,1.0447416873631934,9.680143334715098,214,9.769055606711511,16,9.77240981366174,8,9.774780722401967,7,9.792046564057669,4,9.818406898675299
6,396,0.8286640058121815,11.03016510275461,239,11.043811438415995,16,11.02293593561594,10,11.02468912229374,9,10.975155104571721,6,10.986530705670594
7,396,1.0349944903093453,10.957531322500063,215,10.944214708003106,26,10.920883881338796,15,10.919565303695054,13,10.921270735660874,11,10.912475381793566
8,396,1.2539822614394347,10.174903201826847,278,10.395608350679925,29,10.431416758907435,17,10.454763224227534,13,10.462345537662545,7,10.502562889430692
9,396,1.1265793801374235,10.872869928195936,224,10.972597290662181,13,10.984254291417741,7,10.988244636610577,6,11.01729865842508,2,11.027081791934364
10,396,1.1509982212086998,10.023215539868813,159,10.068076701348527,10,10.042438430043676,6,10.042438430043676,6,10.042438430043676,6,10.017146885766653
11,396,0.9408832219156712,10.531652473524499,198,10.591748017517467,20,10.606767682430297,13,10.613384452484182,12,10.608588686026419,10,10.65658806776024
12,396,1.0247615550268263,9.694622497083941,180,9.746084408109553,12,9.74835284268636,10,9.720264897709658,7,9.744497174949073,5,9.763376859713105
13,396,0.9098924382767045,9.272690752562898,172,9.290388366190323,13,9.292797033327226,8,9.292797033327226,8,9.30067694960265,6,9.350332831373949
14,396,2.2756294647561655,9.78301632501294,130,9.92546318939772,1,9.92546318939772,1,9.92546318939772,1,9.92546318939772,1,9.97734080801197
15,396,0.9672827360896008,9.825423786463006,288,9.973723755617124,21,10.007481336742071,9,10.01647671135246,7,10.02702278025123,5,10.107090351953675
16,396,1.2080275987090008,9.72840381255779,260,9.82246793021754,19,9.84833567580984,10,9.841756247495171,8,9.855620926750735,5,9.890156029700545
17,396,0.8806317568785595,10.93022688237433,273,11.047606222788806,27,11.070340498018693,19,11.10011113634395,16,11.152289551969442,8,11.228978400545722
18,396,1.7036367209844057,9.923190935103847,170,10.03395658877146,8,10.053534227268717,4,10.053534227268717,4,10.058518938891275,2,10.09709660823096
19,396,0.9545127237390879,11.114608521626776,212,11.115794411601028,25,11.14818910308442,14,11.155493068164647,12,11.166322546767137,8,11.256431593834993
20,396,1.6959437927948262,10.905797080812773,241,11.09798386770256,20,11.141954733750044,10,11.178166305445533,8,11.190869382034661,5,11.228630484925995
21,396,2.1525302077039683,9.752488618085179,258,9.99337992122722,11,10.006625483033528,8,10.006384398324483,7,10.047267149496452,4,10.137878112706549
22,396,1.5276471434409613,11.120127940599277,331,11.35896168302351,30,11.421826819689727,15,11.441891697663683,11,11.441891697663683,11,11.534715851187695
23,396,1.6998275919689743,9.874539347069998,181,9.909571633408303,6,9.925545282175735,4,9.912219208669356,2,9.91589850967605,1,9.933597093464359
24,396,1.2070935734417754,10.581809866726289,182,10.608128239561061,14,10.589798731374673,9,10.591928066941454,8,10.601899056241146,6,10.591768525723941
25,396,1.86640244253567,8.901385444851357,263,9.219866193509205,8,9.228824343129569,3,9.228824343129569,3,9.23474363524559,2,9.26909066794514
26,396,1.0141622134819603,9.150015195173015,160,9.191245480527947,9,9.20576411517261,4,9.205500561451556,1,9.205500561451556,1,9.222476276784914
27,396,1.142319333005542,9.856992896747654,201,9.895261708358415,13,9.897215931255472,8,9.897215931255472,8,9.894319537892018,5,9.9294897583975
28,396,0.900246971294383,9.2960442552176,264,9.506721214700677,25,9.48176965728756,14,9.487342974036666,12,9.492477810712094,10,9.566079365322073
29,396,1.5166542968267929,10.08814689025474,233,10.271432914818506,15,10.335997855703162,4,10.335997855703162,4,10.35387150729882,1,10.36044393964374
