fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,40935.72743218086,128028.67098330367,80,132484.69738953398,8,133133.2949052025,3,133459.6180190485,1,133358.0225996569,0,133358.0225996569
1,121,27848.374833473383,101163.60827104273,87,104173.66498590137,8,105323.70772062479,3,104953.74317362449,2,105097.67721902435,1,105252.89551028132
2,121,11790.208804490432,111401.86556583561,72,112660.8709682057,13,113022.09844496528,4,113022.09844496528,4,112815.51670697007,1,113485.18915678094
3,121,11020.832939003265,113384.57841976652,91,113762.40524692679,32,115289.99446905323,18,115922.71633853915,14,115441.82821202924,8,118353.23138994694
4,121,17801.972675207697,115157.0541807554,82,113640.39213160762,9,112499.44466218512,6,112160.68532302835,4,112336.15954553141,2,112608.23756962112
5,121,16034.970957102523,229992.47959038964,92,228660.86505823027,28,227200.59891711327,14,226968.7501460215,11,228112.14475140814,7,229435.70918331505
6,121,34899.0674409928,127376.61090003654,79,130702.67408522697,8,133309.16647297158,5,133309.16647297158,5,134391.73307754777,4,137809.14774962395
7,121,53856.03356084878,94486.62193516981,107,104565.63657888303,6,105410.08800875371,4,105410.08800875371,4,105890.90132179677,3,113002.40202550341
8,121,21124.284218924277,115127.48927177735,92,117902.4085475875,14,120996.08032225953,3,121382.04124332525,2,122130.9503754484,1,123106.12015744022
9,121,23901.889441532752,248820.48487084574,64,237433.98739658992,7,229236.78995320422,2,229236.78995320422,2,229397.2992319392,1,229638.02378031705
10,121,59707.96081377426,160521.9426506678,56,162705.1935345097,3,162718.61644034818,2,163591.88761749776,1,163591.88761749776,1,162340.9513257514
11,121,43569.17023051471,209027.6556207299,79,205818.08082125042,7,207050.97059917444,1,207050.97059917444,1,207050.97059917444,1,206766.2404810441
12,121,34275.98437529854,120411.34466501529,60,123014.13328633182,6,122954.98460146139,5,122954.98460146139,5,122954.98460146139,5,132843.48247236665
13,121,10961.476313849587,88929.25394703934,97,89205.1646864853,26,91422.5011960476,16,91582.21980255793,13,92394.50595584825,8,93274.21073155753
14,121,26302.8978211586,116000.81489184103,93,122895.42378153969,10,123599.75818977877,5,123628.1724093443,3,123258.66794106898,1,124676.38671423045
15,121,14674.123296096095,105910.56392977053,72,107828.6307859793,9,108465.12089121662,5,108465.12089121662,5,108465.12089121662,5,109698.46282573881
16,121,18774.369425676865,95911.49910002352,89,99121.96464509952,11,100996.42058897602,3,101147.88717786972,2,101327.69762115541,0,101327.69762115541
17,121,18821.238275341857,120073.40293021363,76,121263.59021820707,8,118721.71945749674,5,119307.0005057942,3,119307.0005057942,3,119741.90312789382
18,121,25843.89682572394,111672.74529876046,74,125516.6059573883,7,125978.4829096252,5,125978.4829096252,5,126236.66669223478,4,129264.81661212577
19,121,82375.04969162133,139682.9290564545,103,147384.52370091612,7,148614.24153013417,3,148968.708956514,2,148968.708956514,2,148395.91911628286
20,121,54356.18345828802,141642.57881257898,93,142693.30167616977,0,142693.30167616977,0,142693.30167616977,0,142693.30167616977,0,142693.30167616977
21,121,20260.78752913224,133775.4376512668,83,137287.52747346714,13,138862.12367057503,4,139060.40493955827,3,139364.15601056424,2,139608.55786512516
22,121,19743.446241310132,154966.42040301234,80,157040.80807826648,3,155280.02155733568,1,155280.02155733568,1,155182.72967745332,0,155182.72967745332
23,121,49552.9477438168,108353.02440195545,79,112693.1953329344,1,112847.35614889176,0,112847.35614889176,0,112847.35614889176,0,112847.35614889176
24,121,25339.56914560974,104253.38123223346,103,108576.63833852332,27,112729.94693444639,5,112590.08751216787,3,113061.87408268837,2,113858.2782363979
25,121,21804.61521891309,82724.63785161306,70,82618.3445855584,3,82618.3445855584,3,82618.3445855584,3,83663.02094026281,1,83609.385261343
26,121,29027.11345625603,70161.44669315388,99,77256.41464570622,3,77526.66733496814,1,77526.66733496814,1,77526.66733496814,1,77025.3633285758
27,121,23101.297195513398,96731.90557859925,105,100386.22751613129,16,102447.0213377544,3,102571.42801197062,2,103096.87356743283,1,103605.09175976118
28,121,24755.383511920172,95622.47690197497,79,99493.69086872703,4,100223.7406326493,1,100223.7406326493,1,100223.7406326493,1,101910.35767176752
29,121,24444.729041018545,93825.69167255162,94,95189.2831216811,16,91622.42289518802,11,91253.9573862164,6,91396.37669089437,5,92962.69856783525
