fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,2.4056522822387616,12.743891736487775,315,13.226588947063357,27,13.329306677336124,12,13.353388346784572,8,13.353388346784572,8,13.466767648865316
1,396,1.7211399833471033,11.075343387823336,312,11.438252914617571,53,11.564127875210179,23,11.618489849928363,16,11.653045893647324,11,11.8292145708086
2,396,1.4418784456799305,10.411550562518487,293,10.698656218140828,54,10.805020385475297,29,10.859237389830765,21,10.982965060016621,8,11.085490961232143
3,396,1.0762387583240736,11.147914727098929,335,11.405322279738979,98,11.538475474609053,59,11.589394117983648,46,11.66602027366441,31,12.102329796584227
4,396,1.5589953054625243,10.572131614286894,287,10.880861469728401,54,11.000622641813491,26,11.036962553056252,22,11.132002958286023,15,11.328062643898585
5,396,1.2128720148617953,10.594075399097925,323,10.896846985378273,72,10.996121345413611,44,11.033282231110114,37,11.1015831617421,26,11.43743544646396
6,396,0.8795598995908056,12.286621840864422,317,12.416086545973238,103,12.497012331183358,59,12.538522599010006,48,12.592369800015529,32,12.879912298718066
7,396,1.185079362115269,12.500681716577647,288,12.82808413951738,71,12.950336619319339,34,12.996514932738839,25,13.078466487325413,12,13.149911579793544
8,396,1.5535176218761186,11.752193696511203,238,11.953645672854034,32,11.999200934144316,23,12.013700046364916,19,12.045401892301289,17,12.21955155239039
9,396,1.5255894123457594,12.460310407236847,290,12.767445564798262,56,12.861887523257861,30,12.895004026001295,23,12.95631987522943,14,13.29618058886044
10,396,1.7230338840068828,11.233812911361591,319,11.476209836855505,42,11.517128763498384,28,11.53359980836439,25,11.500138896068625,22,11.431616967871737
11,396,1.2712621698040518,11.387616649817215,283,11.62667716987079,59,11.689027266924803,35,11.704647515883714,31,11.754932953249506,23,12.015486539991022
12,396,1.4694573027779512,10.679631118922154,221,10.782639730855639,39,10.851235108751064,23,10.876192121068488,19,10.889014970695513,16,11.142155636178455
13,396,1.0506657874752061,10.174260966661647,292,10.341769621137122,67,10.44038177577794,36,10.477829727635346,27,10.514278832714458,19,10.841353880648315
14,396,1.438447659828056,10.816206668491953,305,11.147112550230371,66,11.300475016702768,33,11.336002761328949,25,11.389502912980207,16,11.54760996712393
15,396,2.9484629790830055,10.786596104432412,275,11.232976264467203,12,11.279247654788628,6,11.320296136498243,3,11.33858661054411,2,11.369798207168037
16,396,1.0161427262084464,10.756067372280238,292,10.988685896242695,62,11.025043639954493,36,11.081661596969406,26,11.11738474964647,19,11.486850863109513
17,396,1.893165814636334,11.976863770268537,293,12.419287907151043,28,12.450794356595384,13,12.466792127015026,11,12.557128547925238,6,12.586437384427065
18,396,1.8201629772968189,10.961620058121008,329,11.433359965737608,48,11.565355059381037,23,11.655335712070777,15,11.690198889444046,11,11.927602266485419
19,396,1.6097445005091857,12.655510572561255,260,12.968280169389217,25,13.047012854604095,11,13.055693618485545,9,13.055693618485545,9,13.264570857859143
20,396,1.5165038978009322,12.2756836922809,300,12.537034654195772,52,12.645868847539136,23,12.666669445307516,18,12.7137397373144,15,12.948060077147161
21,396,1.340671121486885,10.86457554083607,301,11.170547929523577,93,11.355376883573571,47,11.399031318299583,39,11.46065165239257,25,11.758151626953909
22,396,1.9114834983358837,12.85069289141496,272,13.170086060237773,43,13.276219338498604,18,13.285093160889875,17,13.343796414030717,11,13.55745977981247
23,396,1.5012257307300554,10.871900910074602,292,11.11359605399338,48,11.232765534392735,20,11.278041603893763,13,11.30443027728757,10,11.493621362862793
24,396,1.7524506832953994,11.860377884910873,316,12.230765331755597,37,12.288873369556537,22,12.288774823294808,21,12.325056581146336,17,12.473055913221812
25,396,1.774328294347049,9.80738699150852,308,10.271321159606913,53,10.397929653989415,30,10.403229166716647,27,10.488504919607609,17,10.810697489696409
26,396,1.6582962090558173,10.363473617945237,263,10.576962665634568,23,10.669408038285496,8,10.669408038285496,8,10.710384709549082,4,10.847393001923496
27,396,2.560667417661591,11.056046478987536,273,11.383913296303355,15,11.399319115947982,12,11.41334009874824,10,11.412489373082416,9,11.590166265433341
28,396,1.0898363466654482,10.68057574192799,244,10.83934740976835,51,10.966897525980686,21,10.992324553097383,16,11.007665485747767,11,11.071224158419957
29,396,1.1140967961127275,11.244816579912197,292,11.390469593085143,97,11.514011698980692,48,11.527286761249268,36,11.597885652115215,19,11.724222565533431
