fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,165285.74423571047,226817.8893077102,88,252889.2641565564,15,261230.3955604408,12,263587.0954526736,10,283905.5956261634,4,311590.562420221
1,121,124172.98146079917,190831.1958106488,111,204121.90339909995,13,209261.86839978676,7,211530.54879125403,5,218218.1175613224,2,222372.8609201322
2,121,85029.16007745519,180603.88721409105,105,196030.8651107487,19,196329.58002407197,9,198676.6456952407,7,201828.41101989706,4,207554.39719629378
3,121,45016.747019182214,152840.00005112667,98,161438.4394182084,26,163824.4258771662,10,165140.11726283384,7,166773.99212862804,5,171335.92029008892
4,121,44980.68694385446,177628.58474169887,110,185734.2077751089,30,168362.089286908,14,169720.25115960644,12,171129.34349311562,8,175694.45831726523
5,121,45068.57392342099,329626.60371657985,84,335380.2416476047,15,319492.7285571463,6,319492.7285571463,6,322303.77256051154,3,320149.1374064619
6,121,75221.88842779976,246343.59069525186,82,259313.59073329798,17,273105.95405670605,10,276234.0724822171,7,281146.9613980781,3,280778.80404515396
7,121,128741.38832957539,167117.0531270022,79,175005.5199507982,10,182343.299800473,4,182343.299800473,4,182343.299800473,4,191935.46178670565
8,121,66649.44403428979,161743.6379872258,100,172081.44104988736,22,182033.57460226186,9,183546.32436802678,5,184948.1798906351,4,201077.64388703665
9,121,44901.28569156845,438917.70151776436,108,430462.6811315595,29,434031.72634341556,11,433842.5171925098,6,435265.8936013369,1,436624.1050331871
10,121,200846.84989479682,357246.6357067775,74,361539.288259999,9,366471.22597190127,4,369851.3470842145,3,363398.3989785534,2,379342.27877161116
11,121,308292.18542031135,466931.4534283067,84,480151.4761777003,5,495008.97523074644,1,495008.97523074644,1,509086.14508542616,0,509086.14508542616
12,121,217997.5834807175,282452.2543155545,66,304570.6072153687,5,310211.40390464134,2,310211.40390464134,2,316160.9641701095,0,316160.9641701095
13,121,74825.9365498572,174218.38757262737,82,185832.855426369,10,192799.53677917557,5,196913.72566494413,3,198376.6037397505,2,206550.87438406947
14,121,88662.52457362802,183984.70975163273,102,203040.64363613096,23,212638.7196993243,11,215821.95398483524,9,222173.68055320298,4,233699.26580732845
15,121,60433.4792551072,184335.7285948468,91,196380.92051657027,16,200084.1544426028,7,202365.98854873335,5,203240.55412773337,4,193225.7707622931
16,121,85782.2360613452,170732.41506557344,94,201469.3018903975,6,203495.6932147916,4,204890.07260663807,3,207838.431561266,1,214035.6844376863
17,121,81901.34930701253,185375.52953565793,108,217516.53219031065,23,227417.02491484792,11,230971.33110732344,9,237546.16937703223,4,250142.05840355027
18,121,100765.44596966889,286396.0423403853,98,301401.8062750717,8,306318.77470615803,4,306318.77470615803,4,307505.49600171344,3,312523.66976617486
19,121,114004.48699328715,301750.4241713975,101,307277.4374962561,20,316432.0333050374,12,318517.63028003735,11,327654.56330429664,6,351102.6784859229
20,121,178177.49630727601,297262.8800707277,91,319902.3903629551,6,337622.6619234966,3,337622.6619234966,3,337622.6619234966,3,348211.7613394155
21,121,103535.12026902515,253920.44101953582,61,262705.1022650483,11,265328.3195320085,7,266962.53731003706,6,266106.0489251123,5,284643.6530447641
22,121,93208.81862054767,267238.54042894114,98,287444.6428002493,19,298252.19066913775,6,299576.5030195059,5,302825.35979162477,1,306346.4246871518
23,121,146602.54774787286,179056.20163956837,91,206528.5577094504,9,216629.47993733257,3,220511.99006897796,1,220511.99006897796,1,232628.45248250556
24,121,95307.48748009092,143111.9628217782,106,171038.55998293997,14,179681.1904914118,5,181170.00032528798,4,183389.65127781095,3,190290.3070246369
25,121,51581.54537289018,115927.59786892176,113,124890.92183104983,41,133079.24314719276,22,138216.22431676104,13,142343.86206285498,8,151003.25697263065
26,121,56261.87217087771,112010.80831792514,115,126104.48437502241,54,142425.14750344484,27,148652.9189019515,20,153797.10042773274,14,180519.2660975363
27,121,46900.12288201872,166876.7199042034,100,177081.472726629,33,183397.41562568324,13,187119.54644502868,8,187934.97409287523,7,195746.58228652697
28,121,39906.691269568975,199642.39953049456,108,193120.44741826644,46,201033.23590821263,22,203156.4525090801,19,210756.85359690097,10,227089.61866850514
29,121,88869.34770106124,198471.2174030691,95,205883.6530372143,14,209173.11666632848,8,209483.12137086992,6,215434.39985133187,3,220530.2635381832
