fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,3.14393709440737,11.621247584322562,259,11.777685587772933,21,11.727804676999925,10,11.758118039205208,7,11.77519229319003,5,11.931421536819611
1,396,1.6211987089182616,10.363045024270138,124,10.372129630447896,7,10.361752420943622,2,10.354687428744622,1,10.354687428744622,1,10.364368406937992
2,396,1.1325182456293774,9.334570698946452,193,9.390055042151952,13,9.411725253323347,5,9.411725253323347,5,9.413005191298438,3,9.45425962734469
3,396,1.9216169527556497,10.354455408718156,188,10.381329766572325,10,10.403489519192288,9,10.399281663276447,7,10.378236781891717,4,10.376180980055027
4,396,1.2970890240184731,9.213153902183926,200,9.331830445260088,8,9.341768093027389,5,9.341580225805934,4,9.364446069066638,3,9.382996991668692
5,396,1.1173076403111097,9.523820011678952,166,9.584716053938486,12,9.61951792731594,7,9.61951792731594,7,9.636280940458361,3,9.686299036876898
6,396,1.2541373381019583,10.930040252681016,195,10.92383518406001,10,10.944324492879577,5,10.95063983432207,4,10.956421307894294,2,10.9739946292722
7,396,1.9658695902962,10.929015254611986,150,10.951625844903331,10,10.942361981084929,7,10.938232106730457,4,10.938232106730457,4,10.94024825703704
8,396,1.2978005063503244,10.061624153106262,172,10.15658694007387,5,10.15658694007387,5,10.15658694007387,5,10.149111005801709,3,10.10012632446874
9,396,1.7207154669472415,10.851262039749116,218,10.82258705789646,7,10.81390132143174,4,10.826272215734813,3,10.829933346076487,2,10.849979781741762
10,396,1.2197394839870621,10.493244461059014,158,10.584121951756826,8,10.584121951756826,8,10.585990974290935,7,10.579359378901156,5,10.57050891930253
11,396,2.0435930988392323,10.347005106699196,152,10.322985817839847,8,10.33233696460637,7,10.33958341596408,6,10.34740449457683,5,10.455429548291388
12,396,2.087407813579566,9.501335666830835,144,9.573721111637745,13,9.552099731292728,9,9.564965914545892,7,9.620417059892965,2,9.67619918827923
13,396,1.044123386337785,9.11437122814288,179,9.177438400184812,10,9.16149691918895,8,9.16149691918895,8,9.16567834361674,7,9.254190442522363
14,396,1.940046476277479,9.874243854832384,191,10.061248707002736,15,10.072195536930336,12,10.09555759392044,8,10.108497669735764,5,10.19374424008196
15,396,1.6905761426368522,9.812806213295367,238,9.913993123770954,41,9.969944499447854,28,9.978971305240691,26,9.997918632671201,21,10.269636202533448
16,396,2.0432089991202655,9.77681759649997,225,9.907104134578317,15,9.969747670550085,9,9.969747670550085,9,9.985475571291126,7,10.102002096863457
17,396,1.2735820334554364,11.1592481386817,217,11.217608507119877,9,11.21718759270549,4,11.215429538276307,3,11.215429538276307,3,11.21815194480957
18,396,2.544313058202452,10.142912264749055,264,10.441474402465012,27,10.502671931775051,21,10.553120070730849,17,10.553120070730849,17,11.154530459246455
19,396,1.1016341277853234,10.976232688865476,198,11.057111168125966,11,11.072894255463185,7,11.076777980215336,6,11.076777980215336,6,11.11408086431082
20,396,2.086215151238236,10.608033522311176,240,10.683413372138403,21,10.708677433678018,17,10.704139351410882,14,10.71563177135101,9,10.763268311675324
21,396,1.5425205191614768,9.571820347481344,250,9.855799533062575,14,9.88939112054211,4,9.900354634364101,2,9.912435552033237,0,9.912435552033237
22,396,2.500251654232309,11.343898223743443,316,11.6470965946206,24,11.682704751112652,12,11.677494456575157,10,11.680172369776754,8,11.823211916214207
23,396,1.8503257366870354,9.977365519763671,90,9.992726401074561,2,10.019144983561544,0,10.019144983561544,0,10.019144983561544,0,10.019144983561544
24,396,2.5034650491494803,10.094880397764985,129,10.16859223815944,6,10.156441023475043,5,10.199384948176348,4,10.221207733590132,3,10.277554476574116
25,396,1.2740031746646074,8.940468896204944,146,9.051738248611924,6,9.050804556311505,2,9.052870268940566,1,9.052870268940566,1,9.028307502130035
26,396,3.124748885605534,9.61894826624986,200,9.851877607282036,17,9.892331236026779,9,9.913285260734074,7,9.952457714366844,5,10.062290483540934
27,396,3.0988678538771173,9.70058809905998,148,9.78684258501777,8,9.804539271064911,6,9.843477453781814,5,9.874839690277748,2,9.964625882300947
28,396,0.9681995007583476,9.386430949808215,93,9.441604397060628,15,9.463897153989835,8,9.477318293570752,5,9.486585696844616,4,9.479963090781384
29,396,1.223481297238448,10.044509826799626,125,10.081684249988292,19,10.09765097055355,12,10.105689193697911,10,10.116076480824747,7,10.13625500991247
