fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,43035.46199669966,123624.99495748623,16,122151.86713465225,1,122151.86713465225,1,122651.93811640823,0,122651.93811640823,0,122651.93811640823
1,121,57024.94798476681,120556.9979465049,65,116512.55550675826,4,117183.20948050708,2,117287.14314860075,1,117287.14314860075,1,117100.67988383694
2,121,34671.242592894574,109901.83785490604,22,110873.28592087876,3,110971.51449574565,1,110971.51449574565,1,110971.51449574565,1,111039.14347882858
3,121,17802.78011376659,100991.37209793167,33,101497.5058952404,5,102262.38335705546,2,102262.38335705546,2,102123.91831756596,1,101273.88233844886
4,121,23367.149606188283,109570.42113256539,30,109794.65923448761,1,109794.65923448761,1,109794.65923448761,1,109794.65923448761,1,109709.15728447509
5,121,28539.215436667957,232740.0657330296,80,231355.75606884237,4,230579.54058519768,0,230579.54058519768,0,230579.54058519768,0,230579.54058519768
6,121,68242.1993440147,132618.29069126846,67,129799.92710680873,1,130021.55404362826,0,130021.55404362826,0,130021.55404362826,0,130021.55404362826
7,121,65726.42646597736,96335.96380655648,22,95709.23748148004,1,95709.23748148004,1,95709.23748148004,1,95709.23748148004,1,94806.0884468619
8,121,51594.68779903145,124679.31767052173,21,120563.43028605383,2,120563.43028605383,2,120563.43028605383,2,121572.37335797114,1,124333.00301521964
9,121,22236.11884044937,286790.1811174837,23,288012.57396337047,5,288836.338979788,3,288836.338979788,3,284419.0267870896,2,284706.55734445085
10,121,174359.054299987,170238.72882671814,60,175482.5111529022,0,175482.5111529022,0,175482.5111529022,0,175482.5111529022,0,175482.5111529022
11,121,109365.44681224879,276475.08820357686,10,279110.34179806535,2,279110.34179806535,2,279110.34179806535,2,279110.34179806535,2,276431.47619696584
12,121,152375.0436695564,160925.77219314096,15,162442.64517629772,0,162442.64517629772,0,162442.64517629772,0,162442.64517629772,0,162442.64517629772
13,121,22243.66863179342,92162.54612073321,55,89807.25632000319,8,86908.48768389082,3,86908.48768389082,3,86629.20983081734,2,86257.74358809284
14,121,15952.972625142225,119089.46945656372,53,118527.82282379008,7,119067.37914910587,3,119067.37914910587,3,119044.62979858718,2,119419.41694676028
15,121,57338.315617974426,139292.3991410449,43,134771.41202938973,1,134771.41202938973,1,134771.41202938973,1,134088.4373807984,0,134088.4373807984
16,121,80853.81984725327,96044.22443277847,17,96426.32662605053,0,96426.32662605053,0,96426.32662605053,0,96426.32662605053,0,96426.32662605053
17,121,28025.605016674464,128514.78066676905,69,132187.10575962786,8,134420.66557116964,5,134037.81383313637,4,134826.95453698072,2,135575.29277075772
18,121,76563.7699262982,168157.4845061526,71,170057.8750707344,2,170057.8750707344,2,170057.8750707344,2,170057.8750707344,2,168015.55106141552
19,121,89522.87211588857,145977.69336829602,77,145880.81747285972,1,146986.47378434078,0,146986.47378434078,0,146986.47378434078,0,146986.47378434078
20,121,160822.43549959856,162497.72300553403,83,158846.83376795216,2,157083.73284951824,0,157083.73284951824,0,157083.73284951824,0,157083.73284951824
21,121,59231.786824665025,148460.99201636564,74,155648.12769333812,6,158602.71335748836,1,158602.71335748836,1,158602.71335748836,1,162007.9619191247
22,121,47230.25058292838,172319.69603317278,33,172805.8854375559,2,172805.8854375559,2,172805.8854375559,2,172805.8854375559,2,178289.40351122286
23,121,50870.83753103456,120932.73734819888,19,124569.00882567411,3,124569.00882567411,3,125670.06319727424,2,125670.06319727424,2,134746.53220154988
24,121,28747.41132729057,97963.68021451538,38,98369.40995115814,4,98434.93621201132,2,98434.93621201132,2,98375.61202590505,1,98358.93618604016
25,121,20662.867581845017,87076.05081955969,37,88238.04834916096,4,88282.56696933592,2,88282.56696933592,2,87926.72181159795,1,87827.14429462803
26,121,30400.431614282614,92461.82176307823,20,92184.8847966909,1,93035.18956609123,0,93035.18956609123,0,93035.18956609123,0,93035.18956609123
27,121,30500.456276863682,101114.99297931734,29,102858.08411639114,3,103068.00728241302,1,103068.00728241302,1,103068.00728241302,1,105632.69903890009
28,121,26548.554065659984,115495.07946097213,25,116238.02207533647,1,115206.00999454987,0,115206.00999454987,0,115206.00999454987,0,115206.00999454987
29,121,59721.07170560613,111973.33390002734,71,110026.0278034161,8,111061.36171734797,5,111061.36171734797,5,109348.79118821317,2,109284.09958787888
