fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,1.1426450133551969,11.109666316803931,214,11.18632960485505,25,11.222557911218784,14,11.238038647226306,9,11.287862954157205,5,11.319376591852087
1,396,1.3538376521070203,9.800396066646723,229,9.914407449925038,17,9.926165389666863,8,9.935789916218727,7,9.942463294720486,6,9.959421102955544
2,396,1.0573860696947137,9.022185563539166,174,9.098466059698655,8,9.101640680455455,7,9.107649660933506,5,9.109217644507902,3,9.110571798037332
3,396,0.7825262809065436,10.361199939606744,227,10.372828690958519,17,10.378626722827404,9,10.387053274539545,6,10.389592840068579,5,10.395726210633503
4,396,1.3714097013666795,9.240392438672053,231,9.35522890960266,5,9.36200957634707,2,9.366779673910402,1,9.366779673910402,1,9.387215551396249
5,396,0.9506129976581578,9.695253373726183,295,9.860004523038914,23,9.89000477142439,11,9.903621968525941,9,9.907752666060633,8,9.957571510981195
6,396,0.8298594106149222,10.851502533166562,267,10.920781681902447,20,10.944558671361268,6,10.948114480794434,5,10.954302800250156,3,10.956835999507243
7,396,1.1762075793209374,10.685036431359748,220,10.77596261003429,9,10.786801900248985,5,10.786801900248985,5,10.806335227222158,3,10.83006592329788
8,396,0.8327656184246758,10.080402945667604,211,10.124919521826282,16,10.13028368476475,11,10.131945602021409,10,10.133061832611759,9,10.135385315185058
9,396,1.6509634316355648,10.923675993124036,210,10.983427814890566,13,11.005686311608386,8,10.994359019985513,5,11.000635875119686,4,11.082377371154143
10,396,0.6963956125699096,9.901413935522438,236,9.9632241770479,25,9.964066469181608,13,9.966220282116037,12,9.978945212373752,9,10.026911826371718
11,396,1.3480410540044603,10.46559381706592,200,10.496392636208169,19,10.518527548109633,12,10.518527548109633,12,10.523094701899886,10,10.598030324687059
12,396,1.644518046581443,9.477787556121296,162,9.545378363519424,7,9.575087273058875,3,9.560035118986535,2,9.560035118986535,2,9.599741366617089
13,396,1.0230659454208522,9.01738946752476,234,9.082307890695038,29,9.117122073663715,15,9.124147962717553,13,9.12467029757647,11,9.252744091169237
14,396,1.534403491380553,9.707424232388748,234,9.77113179801093,30,9.739195137137065,19,9.74445195256981,18,9.734466009785596,12,9.989866839527432
15,396,1.817275983440399,9.707253301781725,224,9.79999542851654,8,9.809396871647182,6,9.809396871647182,6,9.818227133034052,5,9.863047799351277
16,396,1.034560701299041,9.425459249244987,232,9.527985313130484,26,9.565290890524604,11,9.579531544125917,9,9.599702295259862,6,9.621849685253826
17,396,0.8108626639258518,10.856531816135076,219,10.884887465750825,17,10.935071507055369,7,10.948880119490898,3,10.948880119490898,3,10.994271020336717
18,396,1.0720680239621916,9.752137045730572,244,9.855317216072901,19,9.884921065695137,12,9.882340029539671,10,9.891155533595905,8,9.922295207250617
19,396,1.273006489663902,11.459933169169368,198,11.529220711311606,11,11.530829610798277,9,11.537421397601795,8,11.567527714690797,6,11.605903207871009
20,396,1.9358848732411056,10.818170853846238,210,10.912738975798705,15,10.888444833831615,10,10.888444833831615,10,10.944799596150222,5,11.094548994553087
21,396,3.053269395140927,9.60839614306626,220,9.752412344510153,1,9.752412344510153,1,9.752412344510153,1,9.752412344510153,1,9.767515882619922
22,396,2.1612519892834765,11.044358553882917,235,11.198138703307517,9,11.20041008660031,5,11.20041008660031,5,11.205425716859581,4,11.326312645085418
23,396,1.8540649335657318,9.674738991818302,239,9.82511948310237,11,9.822278816896953,8,9.816298255606787,6,9.816298255606787,6,9.877426868417093
24,396,1.8680132431949659,10.47122803992163,245,10.692190842613378,7,10.709570599803476,4,10.713829996451459,3,10.725849309935635,2,10.773596646648304
25,396,1.2799656333364178,8.723349285363085,217,8.828200933928754,14,8.829071536301415,9,8.826509811439804,8,8.830280659068567,5,8.780738028714012
26,396,1.237968793022878,9.117924599167747,190,9.19039629471886,13,9.188583640033851,8,9.18775969509782,6,9.20120719093047,5,9.249795983914378
27,396,0.9865600538533733,9.736556848375997,271,9.907482853984867,21,9.918368555425566,9,9.934556754889899,6,9.934556754889899,6,9.993795770782661
28,396,1.0140904488643796,9.214092961172783,213,9.289174682882779,11,9.305384102194637,4,9.30961309388388,3,9.314249012313212,2,9.330355581427622
29,396,1.485267939039574,10.030535594889132,271,10.284478332004449,23,10.316202317256236,12,10.316202317256236,12,10.336355030241482,9,10.432497686057637
