fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,29862.84894218132,114892.20705702809,45,115630.43794131218,3,115630.43794131218,3,115630.43794131218,3,115910.13796649748,2,116478.81266114481
1,121,38140.32283565416,96943.95965280704,67,99848.15762460449,5,101291.81828973978,0,101291.81828973978,0,101291.81828973978,0,101291.81828973978
2,121,17789.887238114992,104984.05007792731,37,105199.83033435923,2,105199.83033435923,2,105199.83033435923,2,105394.31161152525,1,106167.49834378253
3,121,13024.492325977728,107422.6495108733,82,104121.6232565223,15,104549.5196891991,9,104767.34148101472,4,104767.34148101472,4,106077.2770797912
4,121,15221.77155336874,109870.61684367068,41,111111.60196904447,5,110345.43388516779,3,110949.25733412555,1,110949.25733412555,1,111004.25787413568
5,121,19583.316749635156,223158.51843147518,35,223745.36948221963,3,223534.48135684442,2,223534.48135684442,2,223534.48135684442,2,224659.28734714983
6,121,63962.308439446446,123917.3406215535,74,124712.20548694546,4,124109.51001512494,3,125097.79934049507,2,126373.4116453367,1,131131.64552468297
7,121,55970.17520092111,93076.19581866206,39,91067.84416048083,1,90739.59980512231,0,90739.59980512231,0,90739.59980512231,0,90739.59980512231
8,121,20766.61594943575,104671.83959965556,61,103938.68554953832,2,104096.92938187541,1,104096.92938187541,1,104169.66203424329,0,104169.66203424329
9,121,26030.316189726385,251993.11275828452,44,246789.88039028976,6,244207.4274055142,5,244757.15442775725,4,239940.7119484032,3,241260.4939679726
10,121,116490.14700642001,147667.88840104605,54,149218.14987887224,2,149100.42780410906,0,149100.42780410906,0,149100.42780410906,0,149100.42780410906
11,121,45565.12473112207,230026.33463857736,64,226127.63098983452,7,224585.05452076747,1,224585.05452076747,1,224585.05452076747,1,227119.96671014716
12,121,353497.05075971666,109965.8449867017,64,118014.41799082875,0,118014.41799082875,0,118014.41799082875,0,118014.41799082875,0,118014.41799082875
13,121,15789.116466009606,80105.29190802423,84,82840.53737999001,7,83477.939548956,1,83477.939548956,1,83477.939548956,1,83314.59902947916
14,121,21370.679480984407,112544.7831028752,35,111642.94814027166,4,111395.89749903537,3,111026.44984076655,2,111386.00097351513,1,112017.21742463691
15,121,11810.6901513695,104571.14583903909,56,105042.66671281094,10,105322.71917517304,5,105322.71917517304,5,105554.62898256128,3,105354.00796595193
16,121,26755.484668307286,95325.1600066927,73,96128.36830341269,3,95704.14183687267,1,95704.14183687267,1,95704.14183687267,1,95448.61482443195
17,121,17921.43165395769,112696.70574842971,35,113006.57358642407,6,113255.32636576705,2,113255.32636576705,2,113255.32636576705,2,113665.21147886143
18,121,76063.74528690214,132229.023893001,79,133958.90694231543,3,136121.04984007895,1,136121.04984007895,1,136121.04984007895,1,137977.18381089397
19,121,127278.9242636931,127515.78479011553,61,128201.10514683418,0,128201.10514683418,0,128201.10514683418,0,128201.10514683418,0,128201.10514683418
20,121,37922.96146112275,139832.42447955787,97,143804.68378547035,14,144752.59550882867,7,143241.92531859456,4,143241.92531859456,4,142589.43015732273
21,121,25137.224190388584,145203.00960648505,73,147586.7761282051,10,148296.66864318008,6,148351.25580060465,3,148785.99408465213,2,148750.69185223113
22,121,38401.886448550526,159386.7589686678,69,165785.7082739511,10,167647.06173879196,5,167647.06173879196,5,168311.95355925805,4,176364.52511928754
23,121,28962.57879199989,111728.43160139956,65,115857.18568116741,3,116886.10017492456,2,116886.10017492456,2,116886.10017492456,2,120606.68140028892
24,121,29104.123965337603,92864.77272866834,76,94296.1384550668,7,95140.61079990189,4,95061.79089589865,3,95061.79089589865,3,95633.05732974171
25,121,15420.776422023711,82066.97310753354,15,82389.08203244492,2,82581.66666763289,1,82083.73527073962,0,82083.73527073962,0,82083.73527073962
26,121,18481.26440450412,74434.32442676915,61,73506.33495630775,4,73430.17905746622,2,73591.02566795966,0,73591.02566795966,0,73591.02566795966
27,121,38685.536757331785,106916.31086702118,93,110032.20711575531,2,110445.3239261966,1,111136.96650831496,0,111136.96650831496,0,111136.96650831496
28,121,40219.612119665086,107612.35703981256,108,105537.0115828012,17,106288.2469068168,6,106455.98314421352,4,106949.64003874359,3,109480.13546019906
29,121,51221.97229337798,107858.73124729765,64,106792.47443137778,2,99033.63114168988,0,99033.63114168988,0,99033.63114168988,0,99033.63114168988
