fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,1.5027967422854678,11.152302212096739,214,11.230449111785685,27,11.24582967212696,16,11.248104813314168,15,11.271252658828567,12,11.375366911919704
1,396,1.09154273536531,9.953943418425755,220,10.026424997887954,32,10.038461565267795,17,10.038461565267795,17,10.058209909597366,12,10.090178844951692
2,396,1.0712718010352897,9.074077297551494,198,9.155564701209457,17,9.188363558577644,10,9.198499820633273,7,9.197940818322637,6,9.227970920602182
3,396,0.6990387322141461,10.376714468926753,202,10.502515476229902,31,10.520357177108703,22,10.525014281052627,20,10.551075607735317,14,10.75460839395918
4,396,0.8093363461992802,9.326169648356215,202,9.401381340776293,27,9.417937566373123,14,9.420559885468144,13,9.453524630044821,9,9.519684965801027
5,396,0.6273494030677926,9.668538681835214,213,9.69940352805415,35,9.734314970588672,15,9.74182552693418,12,9.74182552693418,12,9.80033757830333
6,396,0.7634892192353588,10.906519233922062,238,11.003744951511106,25,11.000903589062458,17,11.002498515131762,15,11.01881973674037,10,11.017925673343854
7,396,0.822946934488281,10.718644289538151,198,10.797224935380427,21,10.82320923942535,14,10.824165420447962,12,10.834135702098243,10,10.953634549181325
8,396,0.8377114914469084,10.118181925507395,189,10.134773794918473,22,10.155003743080806,12,10.163074159234709,10,10.167456714147848,7,10.21356955384456
9,396,1.6085975921492404,10.933132269178786,185,11.00559413126707,16,10.997541781623584,11,10.993265335395435,7,11.00050393100997,5,11.023294031526722
10,396,1.1120251055068906,10.192269982601754,179,10.229722304826877,12,10.228630849471118,9,10.240976165542596,7,10.247472939967786,5,10.289241331088908
11,396,1.3746336204783822,10.569673660944456,225,10.571988634110756,22,10.584692062760865,14,10.573367127751608,11,10.585861225765283,9,10.666174484401187
12,396,1.5761286150544702,9.756554020375441,174,9.831888404405841,17,9.821541134692536,14,9.825835494405844,13,9.847701246160709,10,9.876091490528013
13,396,0.8726170576565953,9.270582016675073,234,9.36780703821708,23,9.355978628740138,16,9.351744340409628,11,9.35189451365114,10,9.348551194049072
14,396,1.0505650273277631,9.685957839914073,306,9.94071923243114,61,10.028898096075128,34,10.049645159957981,29,10.09501351396545,23,10.332549884919963
15,396,1.5528631702845732,9.529490769431872,232,9.642103696560076,10,9.654712175716435,6,9.658829883232537,5,9.67590716678157,4,9.763455876712891
16,396,1.0205110308287806,9.891593000795647,178,9.958772471330581,22,9.952623269703729,9,9.953865833494703,8,9.99148536730347,6,10.048131334628476
17,396,0.8210384875278358,10.779938784981455,216,10.880909036019805,28,10.88730451394795,18,10.88851413214531,17,10.904029200364969,13,10.96655273742543
18,396,1.2357892377877544,9.903134685445302,189,9.997467685395465,13,10.03607108745664,10,10.03607108745664,10,10.045922285743826,9,10.147406654859779
19,396,0.8989128521336852,11.335042350522903,178,11.386037570696669,14,11.382519352417415,8,11.382519352417415,8,11.38671905983897,7,11.405003939411793
20,396,0.9516768056924143,10.740481652687548,210,10.742299709745435,34,10.737572301930689,20,10.722763910091922,19,10.728646441704731,17,10.853182337754397
21,396,1.4603388543974505,9.675398108092516,225,9.828272254439776,8,9.833705427030239,7,9.840449175593355,4,9.840449175593355,4,9.872974243702192
22,396,1.2508884517958754,11.002108062263963,276,11.09960453609743,18,11.127108623960886,11,11.127108623960886,11,11.1343274691855,9,11.227468407491429
23,396,1.2046388413502833,9.770534367872948,198,9.807098491884371,13,9.83436683730068,4,9.83436683730068,4,9.83436683730068,4,9.841781604160701
24,396,2.0565922443703424,10.55615335200053,227,10.645532355319336,18,10.637002638206143,12,10.675429654456254,9,10.676063266170999,6,10.751646787109252
25,396,1.0034026085154204,8.808517309841882,166,8.904246264679692,18,8.95309553804062,10,8.98187034436717,7,8.985555731408597,6,9.023140004825418
26,396,0.8156809910932894,9.171224196429673,208,9.263152217214872,43,9.309061159607582,23,9.311553171961165,19,9.33411726037142,13,9.348242103829778
27,396,1.3595160810889502,9.833544419770986,153,9.874115687674475,4,9.883910557680956,1,9.883910557680956,1,9.883910557680956,1,9.883779001213362
28,396,0.6910455998308236,9.284524854398509,215,9.336203360460143,29,9.356770305501602,19,9.36481818912459,16,9.377714698712326,14,9.446381200321797
29,396,0.6883261256962273,9.853027015068912,144,9.859710233949356,22,9.855426582143892,11,9.862372242882572,9,9.864885669470741,8,9.843706341743731
