fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,50223.888423143864,131391.94389894203,89,139226.27423892645,7,140501.02785339928,1,141139.8793139408,0,141139.8793139408,0,141139.8793139408
1,121,27896.420924399907,103573.18459272651,56,106458.46754726024,4,107332.44559356781,2,107332.44559356781,2,107332.44559356781,2,108809.32496707409
2,121,20651.11665469744,116139.37964427519,98,120144.64987330233,22,120831.90667604122,12,122124.9185772951,9,121247.78793669293,6,125051.3396306121
3,121,25145.23658562744,112232.4522892534,81,117115.53391629172,8,117401.17412754796,3,117810.41879504372,2,117314.56926186125,1,117846.479602409
4,121,28513.034836709834,112400.60367631118,92,114662.13477137875,16,115767.79613874381,6,116310.08127283002,4,116551.05021470846,3,117520.45606673419
5,121,25352.718063325166,236318.0002465246,94,236971.59162055422,6,238149.07781895957,3,238149.07781895957,3,239123.28085486882,2,240068.18809113436
6,121,39958.837947232896,120836.77235278077,90,137559.89369472745,8,138097.38388700536,7,138125.5509126334,6,137672.7397340456,5,137299.22734149554
7,121,60004.72780394767,103998.4536704248,63,107461.02556777681,3,107461.02556777681,3,107461.02556777681,3,107224.09425085709,2,108422.5941427583
8,121,36213.29425601201,121398.134406429,74,128884.5904139327,6,130190.40456837484,3,130437.66514867423,2,130437.66514867423,2,133116.86147883057
9,121,24153.016156784146,286897.41544654354,82,272790.93132445676,10,273207.73945018876,7,272785.18078064267,6,269439.7420449026,3,269436.3472244351
10,121,61218.17322815794,162754.70120111623,62,171070.18081928507,6,171070.18081928507,6,171070.18081928507,6,171110.51477238003,5,176380.391600075
11,121,76264.15685899809,225554.50235004417,82,230891.01503135753,10,234452.2212813839,5,235903.9180988298,3,237337.02024006742,2,243146.70651188094
12,121,113789.20045868104,140093.49447992037,48,144857.8419538447,2,144857.8419538447,2,144857.8419538447,2,147699.31879738593,1,153661.28679971502
13,121,16062.943110727982,88979.63659702813,96,91117.6400890155,20,91745.18816016961,5,91858.56290837588,4,92646.45213292135,1,92516.01878069334
14,121,29268.912348552723,115928.4941236122,56,119193.32128498527,11,119730.55582433761,7,121036.73580560384,5,121539.20489382741,4,124415.28051999961
15,121,16575.785357058852,109382.06715835647,90,109931.21028849574,23,110784.67769633888,9,111047.96008620097,7,112070.4878580407,5,112749.93080894399
16,121,62856.18416927193,89892.66689555462,99,101366.51332671156,5,104775.55756104873,1,105866.98098118001,0,105866.98098118001,0,105866.98098118001
17,121,27547.79949798432,129742.78491153385,68,133853.6008315534,6,133853.6008315534,6,133697.99224534485,3,135176.99647634613,2,137383.76554633246
18,121,44769.91071663575,126144.76901457494,89,137157.445305242,9,140749.04681202743,5,140749.04681202743,5,142376.10509173092,4,143558.19378164862
19,121,178999.91483773346,134377.33327032847,87,150329.96187705593,0,150329.96187705593,0,150329.96187705593,0,150329.96187705593,0,150329.96187705593
20,121,37554.8218496829,142882.82308188893,68,145489.7055722274,10,147129.36900947188,6,147129.36900947188,6,149839.81042766833,2,160966.7007836013
21,121,36066.0557021965,140059.51397050463,90,144150.81667143403,10,145388.16306762997,6,145874.6386917023,5,146981.86809495022,2,146045.48977825747
22,121,36991.20982876549,159459.8644920867,75,160582.89010838998,6,160700.18627543948,4,162189.73173085653,2,162259.46222700254,1,161700.89039986162
23,121,38924.45383978354,122189.53776865343,62,128523.56191668996,10,129166.4895355781,5,129166.4895355781,5,129166.4895355781,5,130895.9320829855
24,121,46681.07893797636,102483.98507229386,78,103724.38810124187,2,104241.43167751642,1,104875.73649736698,0,104875.73649736698,0,104875.73649736698
25,121,14981.141762434072,83763.91752360029,63,85893.23488067919,14,86782.67954792203,9,88429.77535335511,3,88415.57960128298,2,89032.94685191361
26,121,33159.744196163985,70512.82755473083,108,79830.23020876097,19,84656.72797456605,5,84930.01301220467,4,84930.01301220467,4,88285.14233404369
27,121,45553.39012789886,106285.9949339317,66,106497.34551387228,5,107327.72663286864,3,107327.72663286864,3,107327.72663286864,3,113968.393976513
28,121,33384.775340113374,100225.34790561511,50,97775.40782466179,7,98713.14592926628,3,99717.32785024376,1,99717.32785024376,1,102732.02613842236
29,121,36105.8186434882,95027.67271224417,99,100635.2947062503,10,106730.44418402057,3,106730.44418402057,3,106730.44418402057,3,108183.04002631985
