fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,1.210182422544337,11.452004019908975,96,11.396646461274884,12,11.399614499722777,8,11.399614499722777,8,11.403972082277196,7,11.43763685449487
1,396,1.4913526114904034,9.933662726689045,154,9.944053889466538,8,9.942224038529556,3,9.943500107078174,2,9.944621066460646,0,9.944621066460646
2,396,1.3577650468216746,9.150394103046002,213,9.230031817601027,20,9.261633598954893,8,9.287450337894375,5,9.291800163520342,4,9.348793660954867
3,396,0.8538738748907048,10.390926332257266,165,10.38986681728199,8,10.361910070838375,2,10.361910070838375,2,10.370508722122516,0,10.370508722122516
4,396,1.0541893955500992,9.118881772775007,191,9.231124026164903,16,9.242814870127555,12,9.242814870127555,12,9.265707976950246,8,9.31717310020116
5,396,0.9509096858127843,9.569854328968802,154,9.57351555117,10,9.586368086506805,6,9.57960771890535,4,9.57960771890535,4,9.666546800316365
6,396,1.070063932858429,10.743146115177073,170,10.70118045448213,13,10.696833829310378,8,10.694457915939129,6,10.694552161445452,5,10.726763430742944
7,396,1.7060348337799136,10.629440803216498,157,10.696607149978238,11,10.756880129330423,7,10.76170320682432,6,10.776900550762205,4,10.980027135518787
8,396,1.7588255120575993,10.141031577538241,232,10.212160059646603,17,10.202466347033308,10,10.202466347033308,10,10.232458141439704,8,10.33289343540372
9,396,1.291327503303886,10.92738716422534,208,11.01270674101112,13,11.03182738723738,8,11.03182738723738,8,11.051727930381373,6,11.089552303253322
10,396,1.2781619289930237,10.421893108587273,122,10.507332484088264,12,10.585359086478169,6,10.608953574864293,5,10.608953574864293,5,10.680094699153722
11,396,1.4963153694540732,10.432080202344942,129,10.503217381350883,17,10.507614803480493,15,10.51261687036786,14,10.584880895367341,8,10.745690797821933
12,396,1.4014138150899107,9.430356937004664,211,9.477020288937537,21,9.515750332415802,11,9.53477687746333,9,9.535937885586769,8,9.644074799899483
13,396,1.0564678893459878,9.084202462554364,182,9.156697926336323,24,9.160083074634418,19,9.159077755873506,18,9.199545616477899,10,9.200643772257644
14,396,1.5929160394864643,9.968191400954348,113,10.02348824024962,3,10.02812082155575,2,10.02812082155575,2,10.02812082155575,2,10.057637837419282
15,396,1.2859690462656168,9.70330936678076,85,9.728130486806146,9,9.730923466884219,8,9.775944775163417,5,9.775944775163417,5,9.851814998040265
16,396,1.6437274906658934,9.410847249612685,137,9.46170394443616,13,9.479405171066476,10,9.519053488091593,6,9.53300112946904,4,9.589408706434615
17,396,1.1617878665935528,10.807123503703423,206,10.833123020571705,18,10.839418128633277,13,10.843439963506324,12,10.83647837036456,10,10.8533704297283
18,396,1.3480615874234358,9.641666565159204,98,9.65262939187952,10,9.660493914204135,5,9.660493914204135,5,9.660493914204135,5,9.712334567684838
19,396,1.5367601022359239,11.32323595887788,235,11.363858211734287,19,11.370351975227173,16,11.361183931348062,13,11.34415792653764,12,11.407179558018077
20,396,1.2106299467058175,10.620576913193762,116,10.65793603905056,14,10.676100657090606,8,10.687306812123413,6,10.687306812123413,6,10.809593153209532
21,396,1.9827267004859954,9.383870569605408,137,9.49323285804387,14,9.523644750300663,7,9.517767823405647,5,9.517767823405647,5,9.614506972451634
22,396,1.1230071797199872,10.930924557445762,161,10.92523123264207,21,10.890364625986097,14,10.906788137098577,10,10.911625894148871,8,10.961381129469896
23,396,1.4184400290192725,9.71410580692135,158,9.781802165562524,10,9.783914762946804,4,9.783914762946804,4,9.80658902604348,3,9.851842231757368
24,396,1.554847095083943,9.98175786893661,124,9.955712049720244,15,9.958792229845383,14,9.962176471680827,13,9.905976333088345,8,9.823767304005239
25,396,1.0412268712508337,8.708793763895125,137,8.748657180194954,10,8.75232818088294,6,8.75232818088294,6,8.76086118122467,5,8.827484511894507
26,396,1.3895425805789354,9.247668920420061,150,9.373823796847834,13,9.391100164002191,8,9.39726259981706,7,9.437258418499956,6,9.555135178874574
27,396,1.4884580430495118,9.68437690738579,182,9.7289153711267,6,9.735492349922103,3,9.736148563389426,1,9.735100101527951,0,9.735100101527951
28,396,1.0414985478159717,9.128465443269517,170,9.172165632764605,12,9.182452405979358,7,9.201750187180373,6,9.2096892782754,5,9.239452364593296
29,396,1.2596524197365073,9.998299867848313,211,10.004588146992356,18,10.005659186011584,9,10.005659186011584,9,10.00118765698102,7,10.016952433022333
