fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,42505.04924020222,121672.76498504962,68,124264.92452215755,0,124264.92452215755,0,124264.92452215755,0,124264.92452215755,0,124264.92452215755
1,121,53377.934219503346,104637.38511426309,79,108420.98197181257,5,108563.49381261897,4,108563.49381261897,4,111141.88037565854,2,112438.60904781417
2,121,20890.351064794595,106618.75663907334,45,109181.59525278576,7,110143.75670686271,2,110143.75670686271,2,110143.75670686271,2,112695.39884772061
3,121,20643.66519645995,97813.59315751113,76,99425.36898498407,2,99425.36898498407,2,99425.36898498407,2,98808.41988797177,1,98300.81632116738
4,121,25909.62136396838,113172.83924892877,80,112455.44209024333,9,112787.76211133675,3,112767.10604683108,2,113284.58715898871,1,113452.55034632806
5,121,14672.935265488684,232431.78721151,46,232768.46274284896,13,234794.56469364735,8,234967.95750099389,7,236079.2495437865,4,236787.1253820409
6,121,65321.13286763864,125462.66158258525,30,127613.69848530658,7,128865.58805509718,3,128865.58805509718,3,128775.94959230715,2,127900.05706772293
7,121,35325.63604614123,100301.62302950627,57,100425.52395156433,4,100425.52395156433,4,100499.04872605094,3,105409.7221906783,1,104693.23292498568
8,121,26429.806787282396,113032.12465478567,52,112746.03537643094,3,112746.03537643094,3,111381.90155431091,2,111566.29613827622,1,112607.84909280953
9,121,25987.696069002977,247681.9988910327,94,242316.2311604053,11,241228.23929126127,2,241791.93174089174,1,242034.38033394484,0,242034.38033394484
10,121,145669.3291109199,156301.79472647913,68,154058.12760939996,3,154870.46710283824,2,154870.46710283824,2,154870.46710283824,2,154084.42985332155
11,121,70103.40447018162,238023.44392985007,68,230672.2862280974,3,230781.38828213792,2,230781.38828213792,2,230781.38828213792,2,232753.8257343739
12,121,64611.7134562186,138011.74130474133,49,140139.26755019446,1,140139.26755019446,1,140139.26755019446,1,140139.26755019446,1,144193.27225556865
13,121,21469.858228815636,80800.06350939132,68,80380.68496766753,4,80054.95172468665,1,80054.95172468665,1,79785.69932406327,0,79785.69932406327
14,121,40580.35575232836,110507.20590458566,53,114693.67730727547,2,114693.67730727547,2,114693.67730727547,2,115286.24245257751,1,116597.35650419032
15,121,47181.61480285835,114350.16404585914,104,130680.97329220265,19,134557.2757379318,11,134557.2757379318,11,138135.72218450165,5,146658.39662227692
16,121,39246.57782999282,94449.7475560747,101,108990.84532808673,5,108892.04083768022,4,109720.69348043184,3,110104.28333356003,2,112669.14838394949
17,121,21729.026575721604,120125.90539939878,84,121571.76977059506,6,121455.23139435664,4,120987.64011601622,1,120987.64011601622,1,120792.33185290756
18,121,42244.36200598045,128877.17844963656,89,132938.3411722736,11,136346.0335196011,5,136346.0335196011,5,136604.26732922177,4,141463.06255095865
19,121,85129.48542720272,123353.2353817892,73,130155.63560997385,3,131236.1847688492,2,131236.1847688492,2,131895.3696096437,1,134150.48463943618
20,121,78467.24247988306,137935.5416666166,100,140032.3013308414,6,140966.6362349088,2,141505.39180851734,1,141505.39180851734,1,145350.08463511078
21,121,31976.320119415403,144977.27827561565,91,143636.01110868852,8,143455.50141300383,5,144090.27863441946,4,144497.75090397228,2,145366.52160661053
22,121,31913.25342987867,160752.80334280588,74,158615.55993029967,14,157481.20532244205,6,157769.0883932978,4,157623.2254598997,2,158373.24099793815
23,121,29904.931551264443,100415.94174986503,56,105298.79105003332,5,106774.4337060719,3,106774.4337060719,3,108068.59587807061,2,113655.18111622744
24,121,36236.67357396686,89284.62275375766,74,94712.63567727031,3,95489.57481580139,1,95500.18586984181,0,95500.18586984181,0,95500.18586984181
25,121,17668.96824495784,93169.7904249313,81,92382.4539359971,17,91785.09479572288,9,91758.5370728054,6,91537.95732625574,2,92628.7692181713
26,121,23828.23800608409,71656.34201202985,43,75616.42442959582,5,75986.6210720012,4,76973.84726072018,2,76973.84726072018,2,77280.36730407373
27,121,39754.77991851954,100693.37848375094,74,108623.71649741061,6,109817.15584388352,4,109817.15584388352,4,112836.94273327402,1,113920.00573492078
28,121,14071.461642016871,98514.16198306944,70,97661.65202849233,15,97939.43425644739,7,98360.445446732,6,98729.80454843953,3,98997.26575945172
29,121,44349.830150722075,86770.2405336352,97,92838.68997335531,12,95605.52835854497,6,95605.52835854497,6,97593.45367039395,4,99898.51062170634
