fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,1.4341708614617699,11.938881128304613,236,12.026441806876031,37,12.055551775740676,27,12.066671215634393,21,12.033700416316188,14,12.189194086100848
1,396,1.2713126356454172,10.866024468898548,152,10.937877719280504,22,11.02803386771047,7,11.025888685372243,6,11.030279424012964,5,11.104654863552607
2,396,0.9591064788852948,9.53986403552145,251,9.656345100295399,40,9.710956715929012,25,9.723852621948382,21,9.796172861337503,14,9.961333628469312
3,396,0.8999015504321716,10.886683009342462,253,11.002136077363991,49,11.056089613843486,33,11.073715129950306,26,11.088798337504809,23,11.483963143314716
4,396,0.8948715276187198,9.939755888310598,219,10.061101143360323,39,10.11262784312644,25,10.126078929693552,22,10.14068455267488,18,10.41469690354702
5,396,0.7302832953380684,10.133900199338283,262,10.257246437553512,63,10.307364553155661,36,10.31199459231164,34,10.345483782885065,24,10.60012444654902
6,396,1.4978047608866605,11.562497983905988,249,11.650373459564552,38,11.695580727657724,27,11.688110413468278,24,11.742423850921469,18,12.01557368366654
7,396,1.3156391031214059,11.584447522198223,276,11.8182766861867,46,11.893960366520492,26,11.903800015836932,22,11.996965603264083,15,12.257996690179983
8,396,1.0441942590856759,10.7286926390842,223,10.796920891079445,31,10.846130155018589,16,10.89764679676371,10,10.901440730481701,9,11.072129812508146
9,396,1.638070923230507,11.53453842538253,220,11.68737291930779,21,11.697964890738238,17,11.711774569983227,15,11.712720782399069,13,11.915588468325842
10,396,1.3469107522630843,10.713950295317245,217,10.807555474315647,24,10.836190747004265,15,10.840839869829853,14,10.854618877281917,11,10.926822858152626
11,396,1.147628652634777,10.97045042616582,229,11.109608330177304,33,11.117460148072013,23,11.134064313486254,18,11.15451494744465,13,11.215435419052667
12,396,2.0764836205563055,10.25994008636511,255,10.485331849591509,24,10.504754548151698,17,10.504754548151698,17,10.539676664697478,14,10.762680068669086
13,396,0.9464734787503536,9.668834449013616,246,9.802111892361527,38,9.81291185889891,24,9.816796199323699,20,9.821382517424846,18,9.985134556075826
14,396,1.5465744980923677,10.540143133862891,169,10.686680591167535,11,10.690021828209506,9,10.69776845332998,8,10.763753346127142,4,10.794993443322651
15,396,1.3235855814980122,10.180302477645558,297,10.398615477872722,43,10.472150721089696,23,10.491996398381266,20,10.511740865967424,17,10.79638966045369
16,396,1.0905963246941521,10.240075639072318,212,10.351700016549035,30,10.388376538657573,18,10.38621225255557,14,10.394487683067727,12,10.637373617054983
17,396,1.0316199249437996,11.32907037594809,261,11.480756944463534,39,11.535644805489694,19,11.547793728355831,17,11.545942337407322,15,11.852236135393778
18,396,1.1928858346409614,10.32858357368104,181,10.419358919968234,30,10.475767605440891,22,10.48485880113492,20,10.498472883126654,18,10.81048184102813
19,396,1.247950372117829,11.790631035952416,267,12.034218974145192,43,12.088038873906834,26,12.090854028143907,25,12.120787743484872,21,12.561999301834547
20,396,2.160172139984082,11.844459148997451,249,12.048527578184585,19,12.094759820271276,9,12.094759820271276,9,12.094759820271276,9,12.268953997471849
21,396,1.51663175795376,10.483651270157972,135,10.62547440044379,6,10.635199024564518,4,10.643969708631486,3,10.643969708631486,3,10.726508438122547
22,396,1.3940673071652103,11.562208475834403,224,11.71307206556225,27,11.758566239385232,18,11.749246363703193,17,11.763607596259844,14,12.055291981349447
23,396,1.6184443901164236,10.319421788455143,236,10.51843175982723,32,10.586302605758277,20,10.592825747260433,17,10.61256475074154,16,10.704160148642742
24,396,1.4608357574903061,11.148611732469888,226,11.192620800083922,30,11.178917402063353,20,11.182983115550195,18,11.256508148949631,9,11.312945349770134
25,396,1.8575536630365543,9.397636830329166,153,9.466759640435733,10,9.486559655571543,7,9.494263770872767,6,9.555902418877873,2,9.53502009888669
26,396,1.1080836455372414,9.7103249775363,232,9.87914041497361,29,9.91823017682566,14,9.932249941760857,12,9.941446844893761,11,10.137019192626544
27,396,1.522362978042134,10.109623425739114,271,10.397429612963496,29,10.421061506379678,24,10.43462294252465,22,10.456373601314413,19,10.924264172811972
28,396,0.9407738518502962,9.937597560058899,206,10.066671089201726,42,10.127510435006695,22,10.140889274205847,18,10.160531877431737,14,10.363516486375824
29,396,1.4722495763343857,10.62237596638459,183,10.669357274247766,25,10.694272697664132,16,10.703407361838764,14,10.703407361838764,14,10.938153351905866
