fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,84659.6109010832,135370.4484056006,89,137432.08891179555,5,137850.1066449248,3,137850.1066449248,3,139128.70481676262,1,140022.83613584266
1,121,41227.60540033201,111768.37132606604,83,118550.73241740021,9,119626.46458079605,5,121517.39985849692,3,122331.01765482142,2,124704.94654155213
2,121,16272.573677624654,110113.39261857391,85,111903.22521089298,28,113131.2179788257,19,113939.80868632725,15,114820.53400064724,11,123650.71691341877
3,121,28606.9613007148,120291.8362970014,95,126210.53169595548,16,128389.15100420728,7,128928.13933230175,4,129329.50032842088,3,132624.34477862297
4,121,21511.683799313694,120327.58584610796,90,123136.93958377323,19,124762.6163318752,12,125949.28410747043,10,127143.27864471509,8,131129.78179945744
5,121,15762.744799709071,258958.76149272974,87,250140.58757613972,31,249442.67093722368,21,250505.92103221852,14,250637.30713851983,7,248302.42480992782
6,121,28675.292488655203,129757.8694823567,91,133471.80702638102,18,136139.7262005459,9,136139.7262005459,9,136848.35191994542,6,147299.93180956438
7,121,88154.43511222002,106125.90494243558,89,109572.54383929337,3,111577.9346203705,2,111577.9346203705,2,111577.9346203705,2,111483.7920370084
8,121,13839.464713605437,121309.06852785146,75,122762.81919815726,19,123549.85348129935,11,124249.37173625123,9,125213.48486955764,6,121739.8265435732
9,121,31431.831530093612,257364.23649562246,77,250748.39859668113,9,253882.38212419563,6,253981.88637442602,4,255922.74786922033,2,276804.35780876246
10,121,74391.22004325544,183217.9945128556,51,184934.26060173332,1,184934.26060173332,1,186125.41006035137,0,186125.41006035137,0,186125.41006035137
11,121,71312.56888781993,266927.68937802897,64,267115.3912275301,6,259848.6059831388,2,260592.6240748757,1,260824.36919166404,0,260824.36919166404
12,121,214429.90225731058,139350.49774164127,53,144863.13776250553,0,144863.13776250553,0,144863.13776250553,0,144863.13776250553,0,144863.13776250553
13,121,16069.662983488639,95179.62981815694,85,98447.41047489583,19,98565.0089080758,11,99001.23331496822,8,100602.26554706776,5,103661.13705297459
14,121,17009.037937698773,123688.36566020694,72,127263.80202521238,28,127947.05659103651,19,129202.03369306587,12,129556.42531859716,10,141302.87846551885
15,121,32685.534111671586,122032.57617765936,111,125131.94293888261,28,130918.86214880332,10,131355.1487826839,9,133142.56871763954,6,137718.07057697256
16,121,39842.283187613524,103332.89691445668,114,113102.41582612268,27,117234.48872349999,13,119045.6166273508,10,120417.47873113742,8,131670.41062877883
17,121,26615.283378534226,129259.01326180364,110,137162.3899978537,40,142450.54695905483,24,143532.21208070297,21,145758.0959524542,16,159323.09728158184
18,121,50605.13928610929,132813.19891955337,106,143519.09159320797,16,147339.44612067507,8,147339.44612067507,8,147848.24383621296,7,151617.36591091013
19,121,210095.00121310705,150530.76961293333,66,156688.21762908273,1,157805.69467338265,0,157805.69467338265,0,157805.69467338265,0,157805.69467338265
20,121,47653.11076918501,181003.21958719252,82,172906.4774829563,8,170862.69230128147,4,170862.69230128147,4,170862.69230128147,4,165302.69991278855
21,121,53004.30234556866,146780.1733456614,90,159634.11758250394,12,163156.06598521795,6,164149.43703617307,5,164992.80027313493,3,169712.8716010066
22,121,33563.25846439089,160975.52887435426,93,172090.19553494526,29,175408.51597284825,14,176471.06335567185,9,177450.37495511488,5,183130.75679362024
23,121,52004.38347897094,123528.75169991808,94,127554.3512592086,9,128624.45534761428,6,129696.10260694858,3,130166.57518684378,1,132308.75064494493
24,121,42990.72317871111,108985.65495214668,107,118959.86914426138,20,123035.58706560699,7,123511.91834910019,5,124051.83352031339,3,125716.59910524549
25,121,18699.747945395102,93907.7870090079,98,100463.48784275257,22,102409.70358256788,14,103832.54852099899,8,104822.70475816386,5,106933.88772533447
26,121,26040.30576222482,81974.42415187976,106,87505.95128518835,25,90809.66820339017,12,91381.53955879791,10,93660.30680111509,6,97280.43277442237
27,121,29840.717619655967,110588.49824967199,100,112372.9054350323,16,114222.52747284649,12,115257.98919661032,10,118136.00557677654,6,124104.96408573074
28,121,31939.423297972848,118359.22122800576,107,117038.33859337,22,117992.54081462133,12,118453.61492550255,11,116662.0896210521,9,122445.55008706903
29,121,49333.17515601368,107626.73458187195,64,109284.81238863025,4,109633.70718907085,1,110280.48628835358,0,110280.48628835358,0,110280.48628835358
