fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,396,1.0774324158547435,12.148567728395738,245,12.333673427385849,40,12.368354859811735,27,12.379506053743556,23,12.418723572069919,16,12.621262941585577
1,396,0.817251075696376,10.677095972485844,183,10.737273964196286,33,10.776235007028411,14,10.768910490135926,12,10.770973608748175,10,10.7831551593915
2,396,0.9421303001624218,9.90264691411098,204,10.00188283124341,32,10.068088517028935,14,10.077512419847716,12,10.085975898504884,10,10.100691785888003
3,396,0.6075937449504392,10.725518785906235,286,10.825569334252553,77,10.872648148468192,46,10.894799021237418,37,10.920710857955227,29,11.216846803654326
4,396,0.7489323654419231,9.798036898435257,266,9.927051195184726,60,9.979514124559497,34,10.00088291587703,29,10.019233049989483,24,10.329054010307305
5,396,0.6219859311078406,10.171390771411938,251,10.250692853009925,57,10.288392216996547,32,10.306929164782776,24,10.33101655497723,19,10.5035402484988
6,396,0.6256128733985107,11.506743718630192,244,11.524331604669557,52,11.560081513546457,27,11.57307400169298,22,11.588940762888992,16,11.701677254775113
7,396,1.0616651516528268,11.427008699259863,173,11.509038955767195,34,11.55370367430241,22,11.582724191537366,16,11.588429516938406,15,11.828967668543267
8,396,0.711649427342168,10.698576599529778,240,10.862597896052474,74,10.901071799246349,47,10.915718303436753,40,10.957946108389779,28,11.258259635196287
9,396,1.7262420906236897,11.617893943349907,242,11.739508760489482,24,11.765942411600047,14,11.756305584679206,13,11.771925388070963,11,11.922360351892968
10,396,0.7387862609285565,10.4760511460354,206,10.525085574584184,41,10.546213890502555,23,10.553421877191807,18,10.56727922284886,15,10.712969369027256
11,396,0.9088157346677131,10.75516107667864,234,10.823435273770794,30,10.847293482691859,20,10.84323624433135,19,10.874794979438045,12,10.918306216393576
12,396,0.7117393244188316,9.994017370570681,211,10.073462831818432,40,10.114994873967955,17,10.122707318209752,14,10.139243062348786,9,10.254810997401465
13,396,0.8068344428221546,9.745763394834244,223,9.865851908651889,33,9.881492868770628,17,9.884093318440332,14,9.903070339334553,9,9.959403547446323
14,396,1.2237194859748637,10.15557293840083,277,10.384144569840384,44,10.444532072367656,26,10.487231082734358,18,10.540917723868452,11,10.790294609021192
15,396,0.5886529857794658,10.103384750561375,235,10.179443723391637,70,10.236563518087955,38,10.254569918466219,27,10.268545291424562,20,10.466818851454653
16,396,0.6937456052623939,9.981512714207879,218,10.05739228022384,50,10.110095397136055,26,10.119432649188184,23,10.136393827379452,17,10.35809007774144
17,396,0.6001187069850038,11.197810924746328,183,11.244731316015962,40,11.264336609410268,24,11.268693282766382,19,11.271341179856218,18,11.373223552660304
18,396,0.8754029006906993,10.330014247709325,216,10.43558083753779,33,10.468867965463382,20,10.494289178538518,14,10.489824687172375,13,10.636910648235954
19,396,0.7669418390161259,11.833003433089651,239,11.954210171784936,50,11.996216146396574,31,12.028088622009449,24,12.069289296994558,16,12.268352730671708
20,396,1.0090724919019232,11.386466556389786,279,11.549326473788266,54,11.616491131555302,30,11.625547258412604,27,11.648223492283426,23,12.05078506729993
21,396,1.4250374867643107,10.27186193303316,247,10.502437861448504,47,10.5448633303435,28,10.54790315655463,26,10.592717876172907,18,11.048474304282061
22,396,1.4025445479669176,11.390779608934658,242,11.509507007033935,24,11.544000034470901,13,11.552248583926726,11,11.548997291056773,8,11.758339643413544
23,396,0.8755028223860498,9.971146134773983,242,10.095664649909873,48,10.129036468093227,22,10.145784283581328,18,10.158621582983997,13,10.305375193851825
24,396,0.8485638379677808,11.07676666328807,259,11.240227174172526,55,11.308441616900545,29,11.33767352788063,21,11.356457502466393,16,11.632255176004328
25,396,0.8904221630334436,9.224686652644802,217,9.348146588817865,37,9.380422951405519,25,9.399155477958585,20,9.419551108339014,14,9.467114550148196
26,396,0.7197571098122457,9.579199506670827,273,9.715510557997865,67,9.764376639809857,40,9.777607699017768,31,9.812415649558385,22,10.00677242099012
27,396,0.8191353321173742,10.460928832769975,212,10.558878026712364,41,10.590277995716006,24,10.60036487540905,19,10.620957280318963,12,10.72659050033884
28,396,0.6664687879158586,9.813113833802856,271,9.951167573832207,62,10.02006748426649,36,10.044815484111728,26,10.076673149234002,20,10.290149197070281
29,396,0.7237445145286981,10.328262801787758,236,10.37716709936833,54,10.428257683190504,26,10.458816582296397,20,10.478648070598675,14,10.617091078169228
