fold,n_sensors,noise_sd,mse_z0.0,n_chose_z0.0,mse_z1.0,n_chose_z1.0,mse_z1.645,n_chose_z1.645,mse_z1.96,n_chose_z1.96,mse_z2.576,n_chose_z2.576,mse_plain_full
0,121,14768.91718649643,121194.48359765435,101,127858.35975386722,36,129308.12924982478,20,130551.55664764231,15,132139.56561944186,10,140205.3426980304
1,121,18864.645403232327,97747.06218011402,89,102166.10468678978,28,106061.5858538998,14,107739.52184030847,10,108481.43433522747,9,113300.58510841911
2,121,9876.343892843237,97459.08940627109,110,102063.44693840019,53,104061.16656269613,32,105650.66145771743,25,106985.82773542323,18,111906.5643482493
3,121,13889.423110474303,109458.38415545257,113,110919.88116949575,34,110191.47104160917,19,110391.84211758104,18,112026.25247134527,11,113213.44228737084
4,121,12201.871201174119,109859.68146002402,85,114424.64671197331,22,116724.95938447381,10,115457.80198030028,9,116143.66703400359,6,119598.09513285235
5,121,14680.547348927945,211856.7221577205,109,214478.4890424636,51,216533.474403082,31,218020.52763200243,26,219721.56856722073,19,229835.829824929
6,121,27184.38344020884,117630.22630934566,114,126727.02216466144,24,129732.47929501568,13,129958.1620789726,12,130476.1361352347,11,137641.18035782405
7,121,12660.302495416472,104985.12507301604,100,106806.58981699075,39,107563.34695877439,22,108070.6884006531,18,108306.99978390867,13,114325.21409464246
8,121,12982.486281840267,108800.59594289423,108,114063.06811489133,44,116430.37822230063,29,117381.29786965111,24,121252.22476532156,15,130977.37309518975
9,121,17315.35356051665,231004.11582537004,102,231448.36361876086,24,231466.37956289615,13,231760.60645610953,11,232478.52139500002,8,239684.8052287537
10,121,84841.7569711955,138057.17100327852,89,138154.01117722387,8,140216.10770845052,5,140260.3128823622,4,140260.3128823622,4,151175.55487725892
11,121,33172.73125724997,209366.5713210277,89,213604.90735181392,14,215632.50618327188,6,216837.15667174946,4,216837.15667174946,4,222818.2784854173
12,121,51322.388359640005,145980.66689930685,91,153750.50463985553,9,155054.47121236363,5,155054.47121236363,5,156881.10365617165,3,157273.06284188776
13,121,15539.839021969969,90888.42708203051,96,94628.59946444674,24,95775.64302382199,13,96252.04469107221,11,96260.07787253159,6,97292.50704540343
14,121,13273.09913975754,110606.93674399398,98,115150.27570826266,33,116424.51053320908,22,118018.55040031498,16,118469.54266224848,14,126026.0381364337
15,121,24655.282680569555,101346.67611416604,110,109681.46994882093,19,114091.89632772341,7,114580.67076011453,5,116023.65743333509,3,118064.74748428605
16,121,14220.618610524787,89350.34563439025,95,93448.39821039115,29,94694.48688431854,18,95648.10507159507,13,96240.51913099339,10,104333.01431668465
17,121,12274.376150963268,118350.60953067873,94,120062.5197007812,31,121172.99377276699,20,120512.2548443989,18,120368.39241552584,10,121339.27671306895
18,121,28238.21101296806,107143.602374936,106,119316.61768809054,20,123610.37441293107,10,123610.37441293107,10,126405.60802263329,5,129657.24590446755
19,121,59899.99785277547,125542.19034532119,98,133727.83234441633,7,135564.00677782233,3,135564.00677782233,3,137594.56394908452,0,137594.56394908452
20,121,93582.85859055075,136299.7796521812,82,143882.05715841684,3,145203.17430100706,0,145203.17430100706,0,145203.17430100706,0,145203.17430100706
21,121,24274.24353776333,129404.7431542895,108,133548.97675187048,23,135837.1365513679,12,136050.7886715603,11,138704.77849964856,8,144137.2255730711
22,121,13835.599447616798,145529.41479304124,102,147616.98639040155,40,149527.6732997322,24,149566.43110665432,19,148197.1160064306,13,151205.16675800842
23,121,33400.95592972663,116612.79795647523,80,118236.98861210176,7,120447.30662429016,1,120447.30662429016,1,120447.30662429016,1,120742.8091644265
24,121,22166.21250424519,107281.25527664703,82,111904.66930112547,12,114003.00956617491,4,114688.730234322,3,115197.21039750356,2,117265.27564684537
25,121,15590.054859246899,81768.02488739799,106,83239.22572718686,46,85252.81956100425,31,86040.42394584577,24,87081.45742084467,15,91105.25675137728
26,121,13893.30995776718,62493.80288221654,116,65499.504314577,49,68454.10491360234,23,69907.02228514696,16,72621.35733370662,7,75109.67784450308
27,121,28252.57954618258,99667.67851330411,94,103403.25220869895,10,104794.93561503963,7,104802.33897896626,5,107108.13416657304,2,109900.00271854624
28,121,16558.573416623152,85907.64000281085,110,88281.29015854636,30,93925.78425001282,12,94334.6656977835,10,94424.59770377989,8,99832.68500620194
29,121,23101.971991975955,84478.72462792149,112,88765.056451791,31,91899.95257077923,18,93185.2396024538,14,94611.56330299728,9,101766.86471260301
