fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,159867.85331393348,139886.41049291537,138424.6706153291,139886.41049291537,True,86,121
1,134724.77761724725,131078.12963910858,127905.7648065298,131078.12963910858,True,50,121
2,126138.2622443753,127927.62533012743,118866.81086872877,127927.62533012743,True,68,121
3,124390.20294058227,123469.75945399734,120998.65794216347,124390.20294058227,False,66,121
4,127041.52718879578,121775.19111197902,122772.48873503761,127041.52718879578,False,50,121
5,255631.56697712958,254891.06835221915,250963.2959870539,254891.06835221915,True,53,121
6,164970.67475136623,168771.83435099493,156224.3445529728,164970.67475136623,False,69,121
7,123536.95271217861,124750.33632041073,117447.20093777437,123536.95271217861,False,45,121
8,140874.66477526657,140299.54420710646,131984.35780634443,140299.54420710646,True,70,121
9,299262.47857410525,299955.19761190005,288166.7478004206,299955.19761190005,True,58,121
10,255234.8374745622,258932.94718229823,251260.56777620004,255234.8374745622,False,63,121
11,374075.80945523083,369134.457274422,349012.8916486164,374075.80945523083,False,45,121
12,224728.86947887862,189703.2116258355,173769.97027324841,189703.2116258355,True,58,121
13,97764.18590035143,97865.56677860842,92024.86056431035,97764.18590035143,False,47,121
14,131955.43716384165,118028.7085268766,117196.46398790764,118028.7085268766,True,70,121
15,116882.78567400064,125488.1159008177,116128.70662359515,116882.78567400064,False,28,121
16,112796.08950387036,116221.0944133494,111386.39238930661,116221.0944133494,True,81,121
17,139737.99684119623,134787.47834197036,133538.4633431807,134787.47834197036,True,85,121
18,198470.51491301856,201162.54790210444,186706.3811026314,198470.51491301856,False,69,121
19,166827.1137592064,194189.3627177839,173439.78678409493,166827.1137592064,False,41,121
20,188555.32679734967,195676.8032992338,178948.04073252802,188555.32679734967,False,91,121
21,159091.84637362362,157410.46542737616,155465.95748897694,157410.46542737616,True,67,121
22,195837.64874763065,178035.47122670524,179466.61127278954,178035.47122670524,True,100,121
23,140239.17706768317,136800.8567193302,132138.59509458282,136800.8567193302,True,88,121
24,111297.56357477835,112535.69987895242,108100.19240100158,112535.69987895242,True,78,121
25,100411.6067042914,99258.0837977489,96736.8457402392,99258.0837977489,True,66,121
26,99828.24675876998,86780.59960213241,92752.75474765865,86780.59960213241,True,52,121
27,124223.22485164205,121784.4163741337,117714.63053120914,121784.4163741337,True,78,121
28,148693.12736465456,137166.78164138913,134265.64935437278,137166.78164138913,True,75,121
29,118486.43245776139,120292.59084026913,117394.59512415543,120292.59084026913,True,62,121
