fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,133358.0225996569,125977.40352771066,124789.93289035739,125977.40352771066,True,97,121
1,105252.89551028132,121542.03891507143,105979.30840871247,105252.89551028132,False,27,121
2,113485.18915678094,108813.44647920963,109407.40551879711,108813.44647920963,True,54,121
3,118353.23138994694,116796.07697247334,114675.73827540777,116796.07697247334,True,66,121
4,112608.23756962112,113858.19251962213,110202.4311866619,112608.23756962112,False,46,121
5,229435.70918331505,220885.48149859588,223101.71725414615,220885.48149859588,True,76,121
6,137809.14774962395,134082.56867595602,129943.30707076275,137809.14774962395,False,52,121
7,113002.40202550341,102319.82646296678,101911.11892942745,102319.82646296678,True,106,121
8,123106.12015744022,121644.6317937213,118579.40813094881,123106.12015744022,False,41,121
9,229638.02378031705,242424.2161777624,230665.81824831892,229638.02378031705,False,37,121
10,162340.9513257514,159082.83048783868,156268.5429156713,162340.9513257514,False,45,121
11,206766.2404810441,216294.4146763007,195103.60265627256,216294.4146763007,True,44,121
12,132843.48247236665,133403.39950013382,126423.95432067165,133403.39950013382,True,72,121
13,93274.21073155753,91022.2314636679,90107.678339447,93274.21073155753,False,56,121
14,124676.38671423045,125046.0534125554,121548.58666185051,124676.38671423045,False,32,121
15,109698.46282573881,116599.91444511803,108538.51058045728,109698.46282573881,False,19,121
16,101327.69762115541,103082.86457596785,98955.78473310711,101327.69762115541,False,36,121
17,119741.90312789382,141353.53056459047,126008.43669543492,119741.90312789382,False,18,121
18,129264.81661212577,121210.388237978,126994.47980128761,121210.388237978,True,82,121
19,148395.91911628286,141568.36474385447,136491.29514196358,141568.36474385447,True,76,121
20,142693.30167616977,148474.99913309168,138112.9433977174,142693.30167616977,False,51,121
21,139608.55786512516,138504.0031839108,136388.77570635173,138504.0031839108,True,62,121
22,155182.72967745332,168809.779236201,154318.96442021892,155182.72967745332,False,59,121
23,112847.35614889176,121001.47782724313,110222.75294748276,112847.35614889176,False,63,121
24,113858.2782363979,108269.63669048533,106413.50373093087,108269.63669048533,True,85,121
25,83609.385261343,90161.50350650035,82701.72000883636,83609.385261343,False,38,121
26,77025.3633285758,73134.7110085538,72204.97247316781,73134.7110085538,True,86,121
27,103605.09175976118,101994.9417619944,100352.59852454024,101994.9417619944,True,88,121
28,101910.35767176752,114532.82119931115,104482.511911599,101910.35767176752,False,67,121
29,92962.69856783525,98526.50585860068,92680.79468649912,92962.69856783525,False,32,121
