fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,13.466767648865316,13.56759721993399,13.169961365525738,13.56759721993399,True,198,396
1,11.8292145708086,12.117962590362781,11.786692947766602,12.117962590362781,True,185,396
2,11.085490961232143,10.920216834715106,10.737224338954586,11.085490961232143,False,176,396
3,12.102329796584227,12.172128650592377,11.924295047486616,12.102329796584227,False,151,396
4,11.328062643898585,11.268953340504334,11.039884246865716,11.268953340504334,True,190,396
5,11.43743544646396,11.398618686056604,11.22651610595508,11.398618686056604,True,195,396
6,12.879912298718066,12.841806959271553,12.64857845968778,12.841806959271553,True,209,396
7,13.149911579793544,12.801593349354203,12.74691763402215,12.801593349354203,True,261,396
8,12.21955155239039,12.231834831462407,12.083708334762502,12.231834831462407,True,183,396
9,13.29618058886044,12.991292201453113,12.912539371191103,12.991292201453113,True,181,396
10,11.431616967871737,11.472149713167303,11.249685070282043,11.472149713167303,True,219,396
11,12.015486539991022,12.019543184283645,11.82207596170682,12.019543184283645,True,212,396
12,11.142155636178455,11.124507494781902,10.900456705577385,11.124507494781902,True,196,396
13,10.841353880648315,10.763481063439178,10.615840423426034,10.763481063439178,True,180,396
14,11.54760996712393,11.810203248372444,11.407474777317324,11.54760996712393,False,201,396
15,11.369798207168037,11.748653371553432,11.180998747190323,11.369798207168037,False,149,396
16,11.486850863109513,11.303981385965503,11.237048806573641,11.486850863109513,False,180,396
17,12.586437384427065,12.812877226669372,12.337556433205263,12.586437384427065,False,160,396
18,11.927602266485419,11.777504868659914,11.609185437962706,11.777504868659914,True,216,396
19,13.264570857859143,13.200774412683856,12.974253882735,13.264570857859143,False,123,396
20,12.948060077147161,12.77747520127183,12.590580949474859,12.948060077147161,False,190,396
21,11.758151626953909,12.15779340132622,11.728848947523284,11.758151626953909,False,185,396
22,13.55745977981247,13.520643917648371,13.148240990406352,13.55745977981247,False,208,396
23,11.493621362862793,11.554164755211406,11.328330447216732,11.493621362862793,False,159,396
24,12.473055913221812,12.358684342844866,12.06670238914908,12.358684342844866,True,270,396
25,10.810697489696409,11.313094459598645,10.770762957932858,10.810697489696409,False,178,396
26,10.847393001923496,11.314719701841364,10.766689478104682,10.847393001923496,False,91,396
27,11.590166265433341,11.819602078096663,11.436669516444894,11.590166265433341,False,166,396
28,11.071224158419957,11.35608498672835,10.964287666364786,11.071224158419957,False,214,396
29,11.724222565533431,11.711070123075302,11.518299735038772,11.711070123075302,True,260,396
