fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,311590.562420221,274680.24871832604,259633.9022850916,274680.24871832604,True,67,121
1,222372.8609201322,306791.099154047,218700.0707022871,222372.8609201322,False,15,121
2,207554.39719629378,213283.22971329463,192689.56707068594,207554.39719629378,False,65,121
3,171335.92029008892,180985.93517096216,169458.3530670669,171335.92029008892,False,54,121
4,175694.45831726523,180001.58490358855,169115.39959683013,175694.45831726523,False,49,121
5,320149.1374064619,322335.17614964955,308098.2776066189,320149.1374064619,False,59,121
6,280778.80404515396,249096.03267571752,253297.16211428295,249096.03267571752,True,74,121
7,191935.46178670565,196729.64971336073,186676.778036775,196729.64971336073,True,41,121
8,201077.64388703665,194179.81648679136,184242.871676433,194179.81648679136,True,47,121
9,436624.1050331871,498112.8965029921,435343.85521366005,436624.1050331871,False,53,121
10,379342.27877161116,399042.525798095,373121.2292509924,379342.27877161116,False,42,121
11,509086.14508542616,455832.61828870774,454025.08343921846,455832.61828870774,True,76,121
12,316160.9641701095,360891.8975985294,297907.5028900169,316160.9641701095,False,47,121
13,206550.87438406947,212137.99777096754,188677.09860995362,206550.87438406947,False,42,121
14,233699.26580732845,229150.84823250226,208878.25518343534,229150.84823250226,True,53,121
15,193225.7707622931,219183.646993277,191853.87894436592,193225.7707622931,False,25,121
16,214035.6844376863,253368.82015303973,205246.56723863934,214035.6844376863,False,21,121
17,250142.05840355027,262641.8802634522,241833.75785253092,250142.05840355027,False,38,121
18,312523.66976617486,284429.86377244233,274540.54612442694,312523.66976617486,False,75,121
19,351102.6784859229,344323.44976605405,331046.85474891035,344323.44976605405,True,44,121
20,348211.7613394155,341752.20021908416,323411.05806532607,341752.20021908416,True,54,121
21,284643.6530447641,265922.14948214684,263185.44012437866,265922.14948214684,True,71,121
22,306346.4246871518,332037.0970605321,295344.5432521586,306346.4246871518,False,62,121
23,232628.45248250556,270691.62903312163,220684.1209321875,232628.45248250556,False,19,121
24,190290.3070246369,183615.12939668773,172541.38462168418,190290.3070246369,False,49,121
25,151003.25697263065,177869.81854943285,148558.0505336587,151003.25697263065,False,28,121
26,180519.2660975363,163487.70706787557,154891.01890221558,163487.70706787557,True,96,121
27,195746.58228652697,176314.40691789417,172391.58340366575,176314.40691789417,True,76,121
28,227089.61866850514,266073.5032922633,238378.7603398695,266073.5032922633,True,50,121
29,220530.2635381832,274276.0093403822,220987.45835431622,220530.2635381832,False,13,121
