fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,11.612198559197216,11.361355366071672,11.282692709645769,11.612198559197216,False,204,396
1,10.18825337330305,10.086815927701176,9.966470670543925,10.086815927701176,True,250,396
2,9.45280066367725,9.429506038296402,9.284546774855322,9.45280066367725,False,137,396
3,10.714571297382964,10.726432600180724,10.573483517925833,10.714571297382964,False,195,396
4,9.532990428769965,9.506292252354184,9.357608697787777,9.506292252354184,True,219,396
5,9.94949268915467,10.011074859194508,9.874472491943095,9.94949268915467,False,177,396
6,11.260137778219686,11.32294384419503,11.125779661985794,11.260137778219686,False,174,396
7,11.075961536162017,11.13271464843899,10.984404320928268,11.13271464843899,True,213,396
8,10.504714188431457,10.381712574891946,10.338017343000859,10.504714188431457,False,211,396
9,11.146753344752483,11.148017100871131,10.990241166521795,11.146753344752483,False,189,396
10,10.45408418541175,10.375083182642145,10.228577990678314,10.375083182642145,True,239,396
11,10.526333114634738,10.519058846021627,10.397444637701286,10.526333114634738,False,197,396
12,10.03196872308191,10.024674886218163,9.83009382542895,10.024674886218163,True,196,396
13,9.254024985671013,9.508522471871347,9.25925664324415,9.254024985671013,False,136,396
14,10.020497634773784,9.944341322216962,9.838096962191488,10.020497634773784,False,269,396
15,9.93145199374936,10.082348879233512,9.836760940296504,9.93145199374936,False,134,396
16,9.856734735115351,9.79071671218192,9.672849851809499,9.79071671218192,True,244,396
17,11.16515217934366,11.043773229792082,10.889099806262733,11.043773229792082,True,264,396
18,10.053776461470887,10.286359616195861,9.946406588435071,10.053776461470887,False,162,396
19,11.873335817660823,11.466683255251347,11.420220008936788,11.466683255251347,True,216,396
20,11.170016250093731,10.941099455624098,10.893849210759631,10.941099455624098,True,271,396
21,9.905102849801565,9.867804757958801,9.719362913975873,9.867804757958801,True,278,396
22,11.435551961377179,11.638547914771932,11.323048513701496,11.435551961377179,False,188,396
23,9.951352436025571,9.893203248116187,9.765332354505995,9.951352436025571,False,161,396
24,10.37578650749243,11.06090340668701,10.350494407059932,10.37578650749243,False,118,396
25,9.07980499452765,8.795177231078219,8.881198093066041,9.07980499452765,False,146,396
26,9.290084910824664,9.949397776450978,9.251778954739583,9.290084910824664,False,56,396
27,9.978743496042647,9.780285188590218,9.69647322707972,9.780285188590218,True,245,396
28,9.533541428906526,9.51462499951675,9.382547354363174,9.51462499951675,True,221,396
29,10.368910135168814,10.147253684599677,10.045706874721894,10.147253684599677,True,262,396
