fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,136013.9193645739,130861.63707332955,127848.48445389197,130861.63707332955,True,82,121
1,123889.08304328691,114089.34263699703,112614.19774306373,123889.08304328691,False,54,121
2,115090.12022557863,108034.62748183726,106937.65486625557,108034.62748183726,True,82,121
3,104989.26325855096,113162.45771166426,106960.12497640343,104989.26325855096,False,41,121
4,120684.17034713709,117414.49004678958,115291.18556641848,120684.17034713709,False,62,121
5,229092.79927812165,229580.3678895409,225009.41349219257,229092.79927812165,False,51,121
6,131743.90517263755,115952.19284324614,126037.5403213997,115952.19284324614,True,55,121
7,105388.14619904832,102719.6482570619,100101.20317434569,102719.6482570619,True,74,121
8,117405.49583934764,118624.19846135823,114099.0153016054,117405.49583934764,False,50,121
9,247167.4827094536,250247.00296603589,246205.17449574074,250247.00296603589,True,67,121
10,147235.57910299473,150325.90959300383,145115.37444743654,150325.90959300383,True,68,121
11,224129.34027499953,198287.96496175017,214694.93425928932,198287.96496175017,True,67,121
12,141879.85542137048,124160.53427976629,119439.73463053227,124160.53427976629,True,65,121
13,91825.21610619342,87782.22958775105,87621.90226991575,91825.21610619342,False,61,121
14,116091.28304156491,119194.30019760448,114599.25633368394,119194.30019760448,True,53,121
15,118230.19328898196,117928.45212628672,115321.23502154856,118230.19328898196,False,65,121
16,96350.99648222898,121518.4932094134,97671.44867585247,96350.99648222898,False,26,121
17,123163.33689555665,130000.19996173786,124831.6383923342,123163.33689555665,False,65,121
18,121179.45060811602,127969.82402676652,115039.28778601243,121179.45060811602,False,19,121
19,148134.10206487516,133290.18713797853,135208.45635028096,133290.18713797853,True,92,121
20,139694.51376984207,135045.12773398313,133158.46137582662,135045.12773398313,True,84,121
21,137592.01764592584,140952.57797170148,136415.88931824334,137592.01764592584,False,48,121
22,158898.0301984679,166586.2705059181,159043.87916571015,158898.0301984679,False,57,121
23,116452.18958188422,116398.23439939035,112311.73484718324,116452.18958188422,False,69,121
24,111794.80505869661,131875.56957024586,110700.98177969134,111794.80505869661,False,15,121
25,89544.27470305105,85888.65054957384,85854.57899308563,85888.65054957384,True,81,121
26,71276.59427145346,81699.83689069726,69185.04297684591,71276.59427145346,False,17,121
27,103532.68113572992,103506.16784573879,98742.27488540357,103506.16784573879,True,70,121
28,99247.55219497412,95477.09961895134,92886.73826361854,95477.09961895134,True,95,121
29,112485.19903005061,101600.49843382211,102093.84924595022,101600.49843382211,True,113,121
