fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,122651.93811640823,126083.43837347305,120951.26447683129,122651.93811640823,False,23,121
1,117100.67988383694,133265.18356460836,112575.90004194861,133265.18356460836,True,96,121
2,111039.14347882858,115654.3533690758,106499.21851121761,111039.14347882858,False,69,121
3,101273.88233844886,106881.19114577815,102559.6654352005,101273.88233844886,False,50,121
4,109709.15728447509,115621.71110422788,108483.63508709613,109709.15728447509,False,47,121
5,230579.54058519768,237028.14885222094,231665.98418586547,237028.14885222094,True,80,121
6,130021.55404362826,129104.02048956789,125842.57466483329,130021.55404362826,False,74,121
7,94806.0884468619,95426.73882418146,93023.50616663283,95426.73882418146,True,82,121
8,124333.00301521964,113970.06147468703,108309.06194107882,113970.06147468703,True,61,121
9,284706.55734445085,304911.03947698703,289976.8702788949,284706.55734445085,False,36,121
10,175482.5111529022,181770.25309430592,177605.7130042367,175482.5111529022,False,84,121
11,276431.47619696584,282553.9629392123,258044.24507664694,276431.47619696584,False,29,121
12,162442.64517629772,176303.3261334282,153037.71784703943,162442.64517629772,False,30,121
13,86257.74358809284,90382.86529335161,84803.96486171945,90382.86529335161,True,62,121
14,119419.41694676028,129240.1898210644,120723.62218819796,119419.41694676028,False,62,121
15,134088.4373807984,119918.17805041457,130951.51562249863,134088.4373807984,False,52,121
16,96426.32662605053,115268.1890972897,88609.94202651257,96426.32662605053,False,20,121
17,135575.29277075772,136913.0466522282,134916.45033304644,136913.0466522282,True,100,121
18,168015.55106141552,164347.3617510238,153753.23028734248,164347.3617510238,True,97,121
19,146986.47378434078,151737.72806333413,138021.25908846848,151737.72806333413,True,91,121
20,157083.73284951824,173705.7761074011,158577.49932608832,173705.7761074011,True,93,121
21,162007.9619191247,146544.5610887034,149304.8293930068,146544.5610887034,True,91,121
22,178289.40351122286,176132.11161573167,171978.1777633858,176132.11161573167,True,67,121
23,134746.53220154988,127509.75310123761,123001.20979331751,134746.53220154988,False,34,121
24,98358.93618604016,98490.72351740666,92934.03703467337,98358.93618604016,False,49,121
25,87827.14429462803,86339.05653914991,86190.34490085638,87827.14429462803,False,48,121
26,93035.18956609123,91851.82764841939,85835.38953732542,93035.18956609123,False,40,121
27,105632.69903890009,114360.01254738317,102320.25380551198,105632.69903890009,False,52,121
28,115206.00999454987,123018.37761855821,114133.5729998217,115206.00999454987,False,26,121
29,109284.09958787888,109507.6707673886,112137.51017693321,109507.6707673886,True,88,121
