fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,116478.81266114481,118984.63051603442,115510.16930429862,118984.63051603442,True,71,121
1,101291.81828973978,112425.1207425086,101117.62735752309,101291.81828973978,False,37,121
2,106167.49834378253,104651.53710660391,102012.26617135585,106167.49834378253,False,18,121
3,106077.2770797912,108693.15563374877,103787.04355446443,108693.15563374877,True,78,121
4,111004.25787413568,114191.96447016203,108364.3383372229,111004.25787413568,False,52,121
5,224659.28734714983,227137.97922979106,225127.65238545084,224659.28734714983,False,26,121
6,131131.64552468297,122459.19955989871,124202.03560394527,122459.19955989871,True,93,121
7,90739.59980512231,98601.14120091825,90981.40938854858,90739.59980512231,False,58,121
8,104169.66203424329,107931.46045523277,101571.25668596888,104169.66203424329,False,37,121
9,241260.4939679726,263392.23413182166,249768.14636731968,241260.4939679726,False,38,121
10,149100.42780410906,173006.94468097572,153131.49539401662,173006.94468097572,True,50,121
11,227119.96671014716,237008.22658108475,204197.79800909228,237008.22658108475,True,92,121
12,118014.41799082875,162865.2325018839,113607.22187768627,118014.41799082875,False,59,121
13,83314.59902947916,77934.02382345624,78079.60282757443,77934.02382345624,True,90,121
14,112017.21742463691,128947.01476922512,112761.72503993135,112017.21742463691,False,24,121
15,105354.00796595193,104816.46873260822,103612.27547400343,105354.00796595193,False,48,121
16,95448.61482443195,93948.84512281115,90503.33214969735,93948.84512281115,True,60,121
17,113665.21147886143,122659.92603347995,116011.80613398828,113665.21147886143,False,34,121
18,137977.18381089397,147760.01435581423,129789.08608765586,137977.18381089397,False,43,121
19,128201.10514683418,129674.25838769872,120021.01311040082,128201.10514683418,False,53,121
20,142589.43015732273,135621.79432527922,135573.5896557372,135621.79432527922,True,87,121
21,148750.69185223113,137181.51341610888,141816.38616333253,148750.69185223113,False,59,121
22,176364.52511928754,167395.85929384932,159217.2180797635,167395.85929384932,True,55,121
23,120606.68140028892,112994.70216511628,110180.07870465386,120606.68140028892,False,58,121
24,95633.05732974171,97373.99244740272,93799.78441786948,95633.05732974171,False,54,121
25,82083.73527073962,81933.12751437373,79266.23430763248,82083.73527073962,False,57,121
26,73591.02566795966,82061.39610524343,73654.8404237088,73591.02566795966,False,43,121
27,111136.96650831496,122820.11726287134,109404.78785649517,111136.96650831496,False,75,121
28,109480.13546019906,111766.77134237025,108920.9629557051,111766.77134237025,True,109,121
29,99033.63114168988,100599.48440545397,93747.85291087143,99033.63114168988,False,63,121
