fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,17.75200754703593,17.12005598367125,16.892639302880973,17.12005598367125,True,208,396
1,15.93656221358562,15.382106202604303,15.05269878060537,15.382106202604303,True,224,396
2,16.01222245746216,14.231219796984044,14.085238939777383,14.231219796984044,True,279,396
3,17.46712622477286,16.278943600120215,15.984639331531348,16.278943600120215,True,212,396
4,16.094998889732555,14.97862397263117,14.79566747620517,14.97862397263117,True,248,396
5,16.558437896694855,15.32046211295546,15.157744436105341,15.32046211295546,True,300,396
6,17.46077223624188,16.323430498109865,16.17415240641791,16.323430498109865,True,284,396
7,17.60936946972441,16.73072645180658,16.512795809541714,16.73072645180658,True,261,396
8,16.172629164666127,15.72728270755707,15.48275660107581,15.72728270755707,True,279,396
9,17.104875492649214,16.359062949744462,15.99829073470272,16.359062949744462,True,248,396
10,15.88003904436893,14.77384340459024,14.686609747168518,14.77384340459024,True,300,396
11,15.701154075889109,15.301213733393356,15.100476828620165,15.301213733393356,True,259,396
12,15.725973260041064,14.807011172968503,14.639055859470911,14.807011172968503,True,224,396
13,15.48258832043169,14.453854703552379,14.209881658492035,14.453854703552379,True,258,396
14,15.76163257273724,15.114328322234735,14.887109217907048,15.114328322234735,True,275,396
15,15.989172728951077,14.852223330420365,14.763104024388097,14.852223330420365,True,286,396
16,15.510735135531037,14.384035354945333,14.212381401731447,14.384035354945333,True,284,396
17,16.80550885627817,16.04003506363425,15.885423374673318,16.04003506363425,True,286,396
18,16.28940185680233,15.21584615589368,15.013819343450578,15.21584615589368,True,268,396
19,17.321779378135187,16.896992816780585,16.693636533868556,16.896992816780585,True,238,396
20,17.038530732051747,16.199282707903226,15.98708059842717,16.199282707903226,True,278,396
21,15.87539669258331,15.088055252643503,14.918036069881502,15.088055252643503,True,274,396
22,17.16305674721573,16.399950947737743,16.06192485887137,16.399950947737743,True,264,396
23,15.165671236005446,15.016852105455918,14.543288756751513,15.016852105455918,True,221,396
24,16.59050023234652,15.707848740004376,15.465908934062096,15.707848740004376,True,292,396
25,14.835016319797715,13.851600652636854,13.729602926648422,13.851600652636854,True,293,396
26,15.016331186707285,14.414618937298798,14.14288722447785,14.414618937298798,True,253,396
27,15.754252916953059,14.713996816168176,14.59271974251746,14.713996816168176,True,268,396
28,15.063452685275962,14.232293941383162,13.957354029390954,14.232293941383162,True,274,396
29,15.909115079903698,15.100073565793664,14.829051564192337,15.100073565793664,True,280,396
