fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,178251.48989017293,173041.82584047105,168113.87854244307,173041.82584047105,True,53,121
1,151650.46192120115,149373.96655255934,142931.64705173526,149373.96655255934,True,81,121
2,169993.48220010026,154728.81970730942,152904.59165462633,154728.81970730942,True,67,121
3,162326.82424059813,170309.85782499987,159087.1609350533,162326.82424059813,False,55,121
4,174604.7509457768,168719.29973689825,161686.01086560628,174604.7509457768,False,50,121
5,277850.03275787504,273572.46493137884,267573.3466364123,273572.46493137884,True,74,121
6,162588.2149213882,157781.01322852515,151411.12973960125,157781.01322852515,True,53,121
7,154818.73761401436,165210.3448477724,152105.47246023885,154818.73761401436,False,30,121
8,181554.78469592976,179906.96008273668,172480.98783092148,179906.96008273668,True,51,121
9,275377.23214468046,282466.8603981005,271043.2181522564,282466.8603981005,True,49,121
10,174399.3123168501,175815.7460883766,168320.6811712483,174399.3123168501,False,73,121
11,205703.1715820879,188997.22621790302,185294.67159101265,188997.22621790302,True,85,121
12,151657.44690315207,151214.05919511802,142896.7858722982,151214.05919511802,True,62,121
13,149104.5251578445,154616.59577893434,144378.0317298545,154616.59577893434,True,58,121
14,175952.87924361136,173170.96024754716,166279.91395847287,173170.96024754716,True,77,121
15,160171.96892910657,162706.31932768718,155248.03678459348,162706.31932768718,True,64,121
16,145820.47657228523,143537.88616470972,140144.96925272676,143537.88616470972,True,65,121
17,175788.29871012608,176872.64297693557,168973.8757262342,175788.29871012608,False,56,121
18,151408.8511857113,141467.2364956309,135239.3868492608,141467.2364956309,True,72,121
19,174577.79862604896,184984.87432365125,171869.8810973078,174577.79862604896,False,40,121
20,199375.13131631352,203297.80319518238,189923.6426268145,199375.13131631352,False,51,121
21,194333.71949718244,194046.5636479317,185102.9113507259,194046.5636479317,True,61,121
22,220728.49150479512,253328.60203210448,216221.7513476204,220728.49150479512,False,26,121
23,155600.02620038326,140167.56595825736,139706.42837108258,140167.56595825736,True,87,121
24,160491.02995333262,151532.24760663632,147926.50861857866,151532.24760663632,True,75,121
25,132468.45676191832,132552.05502437643,126005.42683319398,132552.05502437643,True,95,121
26,108311.58238577176,109121.49697454338,102669.93112595928,108311.58238577176,False,54,121
27,135691.90026101546,125968.52933705407,124692.84809293796,125968.52933705407,True,87,121
28,120285.6562561026,123713.82044813909,115002.74452343748,123713.82044813909,True,65,121
29,131546.80910423998,146494.78278185969,127405.8705885737,131546.80910423998,False,40,121
