fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,141139.8793139408,135392.4515698256,131990.40334611165,135392.4515698256,True,93,121
1,108809.32496707409,113794.18293817999,106314.66519019566,108809.32496707409,False,64,121
2,125051.3396306121,108307.35079462698,109383.14874207406,108307.35079462698,True,104,121
3,117846.479602409,113554.42204796958,111096.01643036192,113554.42204796958,True,54,121
4,117520.45606673419,115318.62829268111,112639.96856847106,115318.62829268111,True,73,121
5,240068.18809113436,229852.07713112698,226982.55563466426,229852.07713112698,True,93,121
6,137299.22734149554,124305.2020783771,124811.15174348325,137299.22734149554,False,42,121
7,108422.5941427583,103594.05306700816,101742.79669945197,103594.05306700816,True,83,121
8,133116.86147883057,118846.8544433593,122409.87495997293,118846.8544433593,True,65,121
9,269436.3472244351,283554.9372263393,258508.91964008057,283554.9372263393,True,67,121
10,176380.391600075,161740.02339931377,164890.32750276165,176380.391600075,False,42,121
11,243146.70651188094,258519.49414549916,235816.62128258322,243146.70651188094,False,60,121
12,153661.28679971502,140381.2333349498,136249.92634709424,140381.2333349498,True,49,121
13,92516.01878069334,99371.58624116382,91466.32633225077,92516.01878069334,False,55,121
14,124415.28051999961,140138.8694237887,123447.21868321479,124415.28051999961,False,14,121
15,112749.93080894399,111640.60556990803,109062.0092105097,111640.60556990803,True,77,121
16,105866.98098118001,106658.79006925928,97940.60386738433,106658.79006925928,True,93,121
17,137383.76554633246,128781.58642225798,129672.34140842498,137383.76554633246,False,33,121
18,143558.19378164862,140879.43150067513,138618.97532311926,143558.19378164862,False,36,121
19,150329.96187705593,143103.81569141737,138196.27726738236,143103.81569141737,True,72,121
20,160966.7007836013,149854.5972046651,152248.39058118872,149854.5972046651,True,64,121
21,146045.48977825747,151892.05012318495,144488.01840629082,151892.05012318495,True,56,121
22,161700.89039986162,167156.89007267632,156433.8036634864,161700.89039986162,False,37,121
23,130895.9320829855,123340.30802044038,120291.24367337939,123340.30802044038,True,58,121
24,104875.73649736698,100914.62611074187,99766.96028540234,100914.62611074187,True,93,121
25,89032.94685191361,87335.75782381304,87918.95665944954,87335.75782381304,True,66,121
26,88285.14233404369,88411.21538935797,83777.6815921923,88411.21538935797,True,107,121
27,113968.393976513,116006.15764970405,109394.08914391,113968.393976513,False,19,121
28,102732.02613842236,105947.6346753476,98615.56580865821,105947.6346753476,True,45,121
29,108183.04002631985,100108.12909213993,98142.18907299022,100108.12909213993,True,75,121
