fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,11.43763685449487,11.233447991043253,11.163301900041768,11.233447991043253,True,156,396
1,9.944621066460646,9.934662575959798,9.812126996646505,9.944621066460646,False,197,396
2,9.348793660954867,9.363710388525451,9.08637693615348,9.363710388525451,True,259,396
3,10.370508722122516,10.312634901939758,10.270669924860487,10.370508722122516,False,205,396
4,9.31717310020116,9.038829174563835,9.06071674199525,9.038829174563835,True,270,396
5,9.666546800316365,9.606176904910054,9.550693981241059,9.606176904910054,True,228,396
6,10.726763430742944,10.923690611877308,10.707706744021635,10.923690611877308,True,260,396
7,10.980027135518787,10.688497717768387,10.69181508673817,10.688497717768387,True,216,396
8,10.33289343540372,10.026117786648019,9.993500191601683,10.026117786648019,True,316,396
9,11.089552303253322,10.630800572181176,10.60261023099397,10.630800572181176,True,300,396
10,10.680094699153722,10.514242799329704,10.460404653375745,10.514242799329704,True,208,396
11,10.745690797821933,11.200970697793261,10.743543924436226,11.200970697793261,True,192,396
12,9.644074799899483,9.300651096220264,9.251940825755838,9.300651096220264,True,300,396
13,9.200643772257644,8.897906910735175,8.87582921707576,8.897906910735175,True,254,396
14,10.057637837419282,9.7085459693921,9.610456247463024,9.7085459693921,True,306,396
15,9.851814998040265,9.55255482153332,9.518228521704687,9.55255482153332,True,125,396
16,9.589408706434615,9.619151213465154,9.443512592931793,9.589408706434615,False,224,396
17,10.8533704297283,10.815908823641871,10.690021618845025,10.815908823641871,True,251,396
18,9.712334567684838,9.793007945573502,9.60694242290928,9.712334567684838,False,191,396
19,11.407179558018077,10.917642204946212,10.875853554779047,10.917642204946212,True,288,396
20,10.809593153209532,10.444147698556195,10.546920359239067,10.444147698556195,True,246,396
21,9.614506972451634,9.507635171005619,9.43139840562538,9.507635171005619,True,223,396
22,10.961381129469896,11.102200788548581,10.879784361031092,10.961381129469896,False,164,396
23,9.851842231757368,10.019855743832789,9.685911453107096,9.851842231757368,False,212,396
24,9.823767304005239,10.534558386677759,9.969806493619222,9.823767304005239,False,96,396
25,8.827484511894507,8.651782063741834,8.682472875501647,8.827484511894507,False,157,396
26,9.555135178874574,9.064943512952516,9.110745880249382,9.064943512952516,True,248,396
27,9.735100101527951,9.683055813991404,9.540989910402763,9.735100101527951,False,193,396
28,9.239452364593296,9.214944926642922,9.129250518464843,9.214944926642922,True,220,396
29,10.016952433022333,9.836007884924024,9.786157422518759,9.836007884924024,True,308,396
