fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,124264.92452215755,119126.30286623513,120595.82213318406,124264.92452215755,False,68,121
1,112438.60904781417,93314.97212686224,94173.74162017593,93314.97212686224,True,93,121
2,112695.39884772061,102667.99785367932,102701.61565339415,102667.99785367932,True,81,121
3,98300.81632116738,101292.42870291062,95919.68061630867,98300.81632116738,False,45,121
4,113452.55034632806,108721.03083224365,107752.18970800297,108721.03083224365,True,91,121
5,236787.1253820409,230961.99434452775,232529.73679433618,236787.1253820409,False,46,121
6,127900.05706772293,114595.60185426012,123035.05067644134,127900.05706772293,False,73,121
7,104693.23292498568,100450.69060865104,100340.4970847613,104693.23292498568,False,34,121
8,112607.84909280953,114287.95306999759,110009.30677762326,114287.95306999759,True,88,121
9,242034.38033394484,255265.72057453837,246115.7008045522,255265.72057453837,True,101,121
10,154084.42985332155,151980.79100368786,152320.27674128587,154084.42985332155,False,62,121
11,232753.8257343739,241731.12841926224,223301.93939217183,241731.12841926224,True,85,121
12,144193.27225556865,147472.3354026584,137470.93559789707,144193.27225556865,False,32,121
13,79785.69932406327,80794.30450227119,79941.69147864023,80794.30450227119,True,83,121
14,116597.35650419032,117906.43598286608,114779.49924206443,117906.43598286608,True,68,121
15,146658.39662227692,105814.42981180211,115497.10222332782,105814.42981180211,True,109,121
16,112669.14838394949,99309.17783978657,94722.05889358562,99309.17783978657,True,100,121
17,120792.33185290756,130478.06958405695,124912.60935798581,120792.33185290756,False,75,121
18,141463.06255095865,125687.88317145307,123597.6526011902,125687.88317145307,True,109,121
19,134150.48463943618,128534.4132811851,117326.1538021633,128534.4132811851,True,100,121
20,145350.08463511078,148949.93981554089,141910.09119561664,145350.08463511078,False,83,121
21,145366.52160661053,129662.13566834103,137207.6624956943,129662.13566834103,True,101,121
22,158373.24099793815,154760.12574043497,149008.7587578894,158373.24099793815,False,27,121
23,113655.18111622744,115437.27614240635,106811.32071075014,113655.18111622744,False,33,121
24,95500.18586984181,90995.1162934326,87986.38363772848,95500.18586984181,False,69,121
25,92628.7692181713,84224.22231120736,84045.09209802572,84224.22231120736,True,101,121
26,77280.36730407373,77252.64028873736,75217.18019095986,77280.36730407373,False,34,121
27,113920.00573492078,100999.06508534956,99824.15241103849,100999.06508534956,True,109,121
28,98997.26575945172,91072.03675285318,89825.99060984807,91072.03675285318,True,46,121
29,99898.51062170634,99034.3723166835,95273.51603053814,99034.3723166835,True,76,121
