fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,12.189194086100848,13.012590788704378,12.284328557900164,12.189194086100848,False,122,396
1,11.104654863552607,11.033908167700503,10.920739770677923,11.033908167700503,True,218,396
2,9.961333628469312,10.145277139204195,9.865441259361758,9.961333628469312,False,151,396
3,11.483963143314716,11.33125394811084,11.175832757597117,11.33125394811084,True,168,396
4,10.41469690354702,10.322777978089434,10.232436048908825,10.322777978089434,True,208,396
5,10.60012444654902,10.58687476853205,10.441158771099397,10.60012444654902,False,192,396
6,12.01557368366654,11.798136242577534,11.691500658473505,11.798136242577534,True,262,396
7,12.257996690179983,11.863486605238226,11.82266411062113,11.863486605238226,True,276,396
8,11.072129812508146,11.062479474753472,10.99403787313445,11.062479474753472,True,218,396
9,11.915588468325842,12.067290019868013,11.762482284272403,11.915588468325842,False,169,396
10,10.926822858152626,11.086853569146916,10.903479605096589,10.926822858152626,False,134,396
11,11.215435419052667,11.277081714907537,11.058799110347493,11.215435419052667,False,205,396
12,10.762680068669086,10.435587981319255,10.332015410233906,10.435587981319255,True,246,396
13,9.985134556075826,10.088315093599693,9.884375809278396,9.985134556075826,False,176,396
14,10.794993443322651,10.712207638818013,10.558886336518695,10.794993443322651,False,247,396
15,10.79638966045369,10.687821102234542,10.55076354433417,10.687821102234542,True,240,396
16,10.637373617054983,10.556610836962278,10.433826386086418,10.637373617054983,False,232,396
17,11.852236135393778,11.974319227724303,11.752320839461644,11.852236135393778,False,140,396
18,10.81048184102813,10.675633868049676,10.561570115174629,10.81048184102813,False,150,396
19,12.561999301834547,12.511184270721056,12.231815963091233,12.511184270721056,True,179,396
20,12.268953997471849,11.865421216846144,11.743898454704837,11.865421216846144,True,230,396
21,10.726508438122547,10.890671604506052,10.635132712522628,10.726508438122547,False,164,396
22,12.055291981349447,11.95918158286538,11.824020749120592,12.055291981349447,False,199,396
23,10.704160148642742,10.558400568528189,10.456551052811339,10.558400568528189,True,234,396
24,11.312945349770134,11.379330598471249,11.15985489974195,11.312945349770134,False,172,396
25,9.53502009888669,9.75348364310859,9.516460609602873,9.53502009888669,False,176,396
26,10.137019192626544,10.10860334524459,9.931340678955262,10.10860334524459,True,210,396
27,10.924264172811972,11.249027486020994,10.853789892920002,10.924264172811972,False,151,396
28,10.363516486375824,10.27096143031284,10.110780658536184,10.27096143031284,True,265,396
29,10.938153351905866,11.379164823511296,10.879818395361733,10.938153351905866,False,88,396
