fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,140022.83613584266,160857.91227571538,141239.75821653468,140022.83613584266,False,11,121
1,124704.94654155213,129337.14804659237,119748.08859149877,124704.94654155213,False,55,121
2,123650.71691341877,124745.93808923844,122127.09461840011,123650.71691341877,False,43,121
3,132624.34477862297,121683.50742591271,120871.49357441322,121683.50742591271,True,76,121
4,131129.78179945744,127563.67849162481,123999.03498477946,127563.67849162481,True,65,121
5,248302.42480992782,245598.96265976224,243950.11721064037,248302.42480992782,False,52,121
6,147299.93180956438,144348.87865066086,144371.92680855055,144348.87865066086,True,85,121
7,111483.7920370084,108506.10434523142,105030.67639473159,108506.10434523142,True,74,121
8,121739.8265435732,132460.63789499566,122034.1245731399,121739.8265435732,False,33,121
9,276804.35780876246,280289.8396067343,273225.87542929413,276804.35780876246,False,46,121
10,186125.41006035137,171359.36243169717,171644.811290907,171359.36243169717,True,82,121
11,260824.36919166404,257587.34064690754,243319.6558894469,257587.34064690754,True,49,121
12,144863.13776250553,169278.53639592748,136796.1386649436,144863.13776250553,False,43,121
13,103661.13705297459,104127.809794556,100542.96644096794,103661.13705297459,False,64,121
14,141302.87846551885,138641.80009099393,136919.55870963744,141302.87846551885,False,53,121
15,137718.07057697256,156854.13539192575,139903.53975408856,137718.07057697256,False,25,121
16,131670.41062877883,125365.86593881402,120949.35012926265,125365.86593881402,True,96,121
17,159323.09728158184,152598.7318871539,149901.08331262355,152598.7318871539,True,77,121
18,151617.36591091013,147010.6606948222,141692.4551576314,147010.6606948222,True,93,121
19,157805.69467338265,167766.1847356398,148949.55432088027,157805.69467338265,False,55,121
20,165302.69991278855,161479.27111429287,153069.16001027302,161479.27111429287,True,69,121
21,169712.8716010066,149232.36693200318,151271.17369161948,149232.36693200318,True,102,121
22,183130.75679362024,169620.71002428074,169267.47555421424,169620.71002428074,True,85,121
23,132308.75064494493,142461.71210685818,126960.03159726324,132308.75064494493,False,19,121
24,125716.59910524549,115013.17363956655,113984.15009216918,115013.17363956655,True,89,121
25,106933.88772533447,104297.27741597522,101623.01371251166,106933.88772533447,False,47,121
26,97280.43277442237,89268.55016528018,87444.02192834564,89268.55016528018,True,104,121
27,124104.96408573074,126226.89060546519,119191.0307921627,124104.96408573074,False,63,121
28,122445.55008706903,120076.19514638212,112549.45017517623,120076.19514638212,True,93,121
29,110280.48628835358,107847.49224006847,106941.59443423491,110280.48628835358,False,55,121
