fold,mse_seed0,mse_seed1,mse_selective,mse_globalpick,globalpick_is_seed1,n_sensors_chose_seed1,n_sensors
0,140205.3426980304,134189.83733530148,133938.719135907,134189.83733530148,True,87,121
1,113300.58510841911,108403.67446670981,108047.14234868434,108403.67446670981,True,76,121
2,111906.5643482493,113832.2815059887,110574.18700531371,111906.5643482493,False,45,121
3,113213.44228737084,116202.56077060474,111751.42336463377,113213.44228737084,False,56,121
4,119598.09513285235,124927.14090356341,118026.8151866504,119598.09513285235,False,20,121
5,229835.829824929,231817.34897254276,226910.12402962157,231817.34897254276,True,63,121
6,137641.18035782405,135924.96794005146,131918.68498030768,135924.96794005146,True,62,121
7,114325.21409464246,112051.59194325989,110517.13306824118,112051.59194325989,True,80,121
8,130977.37309518975,129169.35302805861,127942.71679755505,130977.37309518975,False,33,121
9,239684.8052287537,238004.9804142327,236421.77818339018,238004.9804142327,True,53,121
10,151175.55487725892,152171.00397953865,145232.11918411555,151175.55487725892,False,26,121
11,222818.2784854173,214448.67762759177,213666.20247601802,214448.67762759177,True,51,121
12,157273.06284188776,159306.38848727162,153776.21045093384,157273.06284188776,False,67,121
13,97292.50704540343,106224.84996343906,100440.77743275273,97292.50704540343,False,37,121
14,126026.0381364337,122819.46794048611,122881.30450655286,122819.46794048611,True,67,121
15,118064.74748428605,115099.94635360509,113146.33148736432,115099.94635360509,True,77,121
16,104333.01431668465,102344.82110788481,99379.74331691144,104333.01431668465,False,45,121
17,121339.27671306895,120328.14476535712,118410.6171212993,120328.14476535712,True,67,121
18,129657.24590446755,134016.66760066256,125518.6730432959,134016.66760066256,True,64,121
19,137594.56394908452,139164.44856761876,134238.14811328315,137594.56394908452,False,69,121
20,145203.17430100706,144238.8583868062,138455.97687800624,145203.17430100706,False,75,121
21,144137.2255730711,137216.95754502944,137310.07423628485,137216.95754502944,True,85,121
22,151205.16675800842,147557.43686869554,147295.84477755165,147557.43686869554,True,81,121
23,120742.8091644265,119629.53973816297,116248.97170252114,120742.8091644265,False,34,121
24,117265.27564684537,108086.90234587796,106803.84573906583,108086.90234587796,True,89,121
25,91105.25675137728,95748.4418273037,93016.6518987042,91105.25675137728,False,54,121
26,75109.67784450308,81334.6638314718,74063.99637888062,75109.67784450308,False,38,121
27,109900.00271854624,103239.96758796963,100882.0451990856,103239.96758796963,True,79,121
28,99832.68500620194,93246.25615424603,96385.11879520271,93246.25615424603,True,52,121
29,101766.86471260301,101219.07514190169,98639.65015741596,101219.07514190169,True,68,121
