fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,11.40316528120094,11.512418828082545,11.204907512474557,288,396
1,10.327359594388335,10.080981066649095,10.13053158758501,238,396
2,9.515167256731438,9.393006358457084,9.286729504003832,259,396
3,10.900825981711463,10.984164293727737,10.74293878799497,222,396
4,9.642049527782657,9.774841252724435,9.491739953439284,162,396
5,9.923245511212865,9.822380299137114,9.706765265048935,242,396
6,11.092455540025222,11.2143874853389,10.967525805067334,233,396
7,11.355359997826232,11.367606439616802,11.227203308447619,182,396
8,10.353677397937544,10.673059065329912,10.402755094292882,166,396
9,11.302041399280386,11.201327016338942,11.089337841821417,261,396
10,10.37764845028523,10.30410274917025,10.226769824717445,221,396
11,10.967678348153399,11.135265384738718,10.851439202345254,229,396
12,9.70417725481746,9.785114685314012,9.577050814972976,205,396
13,9.498956276317658,9.454952578464948,9.345469227975684,226,396
14,9.812150635446159,10.003337730629935,9.685770649197622,165,396
15,9.886418226464693,9.763321931068337,9.65558485468136,231,396
16,9.75968013317631,9.871869992111145,9.585891635954713,196,396
17,11.194260078242424,11.292979149651387,10.975491823690751,180,396
18,10.056611784442062,10.28787811981797,9.931770699347362,154,396
19,11.367565234243912,11.212368351731467,11.111473370027912,187,396
20,11.175235659026963,11.116580768713325,10.993455440651493,245,396
21,9.688477326876114,10.123952084541223,9.577294714557771,203,396
22,11.259464370709859,11.41835849526729,11.206738498551031,249,396
23,9.995142683917672,9.81856460460395,9.65714600216958,234,396
24,10.350746832046756,10.964984008793492,10.415482988036416,192,396
25,8.933076083650523,9.524298202054732,9.018062167701205,179,396
26,9.316804494840847,9.277961332172744,9.082075083076544,257,396
27,10.202589090702327,10.551731037494907,10.077382488291768,93,396
28,9.52444296547703,9.618263725334257,9.340133473004574,222,396
29,10.096294063984798,10.143040218589341,9.93766656524492,217,396
