fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,159867.85331393348,202097.7251861224,157747.60597431147,54,121
1,134724.77761724725,212485.49215670288,137342.09295741262,46,121
2,126138.2622443753,131089.4165920672,123228.90983535947,35,121
3,124390.20294058227,135198.8662895227,123648.50018728236,28,121
4,127041.52718879578,144813.88416353977,127141.0919961147,23,121
5,255631.56697712958,306044.50604184455,254252.22463114388,7,121
6,164970.67475136623,175013.32718976034,164362.26930021704,41,121
7,123536.95271217861,147717.59844638404,123370.23813484465,40,121
8,140874.66477526657,161580.70570418282,148906.67098106723,58,121
9,299262.47857410525,342473.28057556483,299194.00087398663,26,121
10,255234.8374745622,252712.08935946808,247382.14767811127,42,121
11,374075.80945523083,386775.4267146762,364215.9698976493,70,121
12,224728.86947887862,241840.3773904192,209100.68570390437,52,121
13,97764.18590035143,114165.25422512906,98920.12531890378,15,121
14,131955.43716384165,134119.84122907516,125540.83276643007,39,121
15,116882.78567400064,142367.25579511674,121094.29802558679,30,121
16,112796.08950387036,133534.28924763366,110000.30448892649,35,121
17,139737.99684119623,150664.39825651466,140156.5233405586,71,121
18,198470.51491301856,241922.7951512612,188318.30637240992,63,121
19,166827.1137592064,180673.30876911175,159216.02876656217,50,121
20,188555.32679734967,212443.61504623038,179847.88788192414,43,121
21,159091.84637362362,182727.4110107595,160842.12580943096,44,121
22,195837.64874763065,188992.8629529567,182112.25395977515,79,121
23,140239.17706768317,156002.29303859576,138247.01107855563,61,121
24,111297.56357477835,119928.40687961824,108176.82824027611,45,121
25,100411.6067042914,108389.84438338895,97637.54155657413,62,121
26,99828.24675876998,89368.99131414997,85919.28773272021,65,121
27,124223.22485164205,129505.30403049261,119318.30880259027,78,121
28,148693.12736465456,171154.04485658242,156990.80824912,44,121
29,118486.43245776139,125516.80425092283,114041.23043897083,49,121
