fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,133358.0225996569,129243.05372114106,128028.67098330367,80,121
1,105252.89551028132,102278.27882648609,101163.60827104273,87,121
2,113485.18915678094,115486.54833067681,111401.86556583561,72,121
3,118353.23138994694,113841.51072169805,113384.57841976652,91,121
4,112608.23756962112,119159.88602938583,115157.0541807554,82,121
5,229435.70918331505,237924.82571927377,229992.47959038964,92,121
6,137809.14774962395,138160.82333296418,127376.61090003654,79,121
7,113002.40202550341,97836.29014038939,94486.62193516981,107,121
8,123106.12015744022,116689.41352560688,115127.48927177735,92,121
9,229638.02378031705,277574.48128452984,248820.48487084574,64,121
10,162340.9513257514,175292.7467193682,160521.9426506678,56,121
11,206766.2404810441,247942.31460665067,209027.6556207299,79,121
12,132843.48247236665,124759.53521407043,120411.34466501529,60,121
13,93274.21073155753,89129.84921761126,88929.25394703934,97,121
14,124676.38671423045,115986.8859366315,116000.81489184103,93,121
15,109698.46282573881,110128.56603346433,105910.56392977053,72,121
16,101327.69762115541,103292.73433707142,95911.49910002352,89,121
17,119741.90312789382,121635.14079432967,120073.40293021363,76,121
18,129264.81661212577,122214.37861483266,111672.74529876046,74,121
19,148395.91911628286,147979.5717378946,139682.9290564545,103,121
20,142693.30167616977,151734.99245271183,141642.57881257898,93,121
21,139608.55786512516,136365.25575999945,133775.4376512668,83,121
22,155182.72967745332,164071.31668372484,154966.42040301234,80,121
23,112847.35614889176,122329.91622851841,108353.02440195545,79,121
24,113858.2782363979,110056.55454497102,104253.38123223346,103,121
25,83609.385261343,88019.45544210682,82724.63785161306,70,121
26,77025.3633285758,71262.37168923263,70161.44669315388,99,121
27,103605.09175976118,97051.72608428307,96731.90557859925,105,121
28,101910.35767176752,104830.51230338444,95622.47690197497,79,121
29,92962.69856783525,99158.98313743141,93825.69167255162,94,121
