fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,13.466767648865316,14.411017507359317,12.743891736487775,315,396
1,11.8292145708086,12.009891716679368,11.075343387823336,312,396
2,11.085490961232143,10.996300755366002,10.411550562518487,293,396
3,12.102329796584227,11.297165320460918,11.147914727098929,335,396
4,11.328062643898585,10.98670325629408,10.572131614286894,287,396
5,11.43743544646396,10.915835797248798,10.594075399097925,323,396
6,12.879912298718066,12.776621988785966,12.286621840864422,317,396
7,13.149911579793544,12.907379739849656,12.500681716577647,288,396
8,12.21955155239039,12.332921535005351,11.752193696511203,238,396
9,13.29618058886044,12.894351006833752,12.460310407236847,290,396
10,11.431616967871737,11.62639952014352,11.233812911361591,319,396
11,12.015486539991022,12.132590251983295,11.387616649817215,283,396
12,11.142155636178455,11.231613872733005,10.679631118922154,221,396
13,10.841353880648315,10.459917304464186,10.174260966661647,292,396
14,11.54760996712393,11.386634171332695,10.816206668491953,305,396
15,11.369798207168037,12.881362858217125,10.786596104432412,275,396
16,11.486850863109513,11.088055607798886,10.756067372280238,292,396
17,12.586437384427065,12.727705878684064,11.976863770268537,293,396
18,11.927602266485419,11.440371262527407,10.961620058121008,329,396
19,13.264570857859143,13.353787835051428,12.655510572561255,260,396
20,12.948060077147161,12.738206500950879,12.2756836922809,300,396
21,11.758151626953909,11.535425012208027,10.86457554083607,301,396
22,13.55745977981247,13.69215361300773,12.85069289141496,272,396
23,11.493621362862793,12.143950394792789,10.871900910074602,292,396
24,12.473055913221812,12.603887012373843,11.860377884910873,316,396
25,10.810697489696409,10.322074818088268,9.80738699150852,308,396
26,10.847393001923496,10.98366137293513,10.363473617945237,263,396
27,11.590166265433341,11.69406830701892,11.056046478987536,273,396
28,11.071224158419957,11.790383105309939,10.68057574192799,244,396
29,11.724222565533431,12.02676162813635,11.244816579912197,292,396
