fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,311590.562420221,244054.04723180403,226817.8893077102,88,121
1,222372.8609201322,195014.67412560573,190831.1958106488,111,121
2,207554.39719629378,187088.83756679023,180603.88721409105,105,121
3,171335.92029008892,158706.06520036014,152840.00005112667,98,121
4,175694.45831726523,182198.6619698312,177628.58474169887,110,121
5,320149.1374064619,344880.26392247697,329626.60371657985,84,121
6,280778.80404515396,263255.3967088555,246343.59069525186,82,121
7,191935.46178670565,181104.92001327276,167117.0531270022,79,121
8,201077.64388703665,170267.2708998817,161743.6379872258,100,121
9,436624.1050331871,469938.13817527186,438917.70151776436,108,121
10,379342.27877161116,389912.7049295605,357246.6357067775,74,121
11,509086.14508542616,512228.9120117181,466931.4534283067,84,121
12,316160.9641701095,347768.92547152523,282452.2543155545,66,121
13,206550.87438406947,201374.95026265428,174218.38757262737,82,121
14,233699.26580732845,191636.5276210911,183984.70975163273,102,121
15,193225.7707622931,200758.54410682907,184335.7285948468,91,121
16,214035.6844376863,180746.59834161727,170732.41506557344,94,121
17,250142.05840355027,191093.63353780683,185375.52953565793,108,121
18,312523.66976617486,319396.6144120549,286396.0423403853,98,121
19,351102.6784859229,326749.35152564605,301750.4241713975,101,121
20,348211.7613394155,337422.24808811164,297262.8800707277,91,121
21,284643.6530447641,277842.2431191139,253920.44101953582,61,121
22,306346.4246871518,289074.4908699831,267238.54042894114,98,121
23,232628.45248250556,205478.54438256944,179056.20163956837,91,121
24,190290.3070246369,158499.1615671921,143111.9628217782,106,121
25,151003.25697263065,116690.70760950055,115927.59786892176,113,121
26,180519.2660975363,118712.3397843687,112010.80831792514,115,121
27,195746.58228652697,175145.04062724984,166876.7199042034,100,121
28,227089.61866850514,207975.30314799558,199642.39953049456,108,121
29,220530.2635381832,211445.88703390036,198471.2174030691,95,121
