fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,11.612198559197216,11.491513314133263,11.29715687474366,249,396
1,10.18825337330305,10.65916950487526,10.101766073995273,115,396
2,9.45280066367725,9.72467642322943,9.33150462047153,162,396
3,10.714571297382964,10.633064451596887,10.525774901217664,220,396
4,9.532990428769965,9.889318971706693,9.437245695358296,174,396
5,9.94949268915467,10.393237642243783,9.924656898132193,187,396
6,11.260137778219686,11.833610742617516,11.129732709142708,199,396
7,11.075961536162017,11.948690064920779,11.084639681249676,182,396
8,10.504714188431457,10.83856524412116,10.332682848025065,180,396
9,11.146753344752483,11.550997354335058,10.987878234390914,213,396
10,10.45408418541175,10.657801768409158,10.272395892352531,229,396
11,10.526333114634738,10.85598597806209,10.408248977329379,178,396
12,10.03196872308191,10.176087656470324,9.735087717763976,246,396
13,9.254024985671013,9.900155155445695,9.176852830973894,166,396
14,10.020497634773784,10.116482857859996,9.737191511407385,265,396
15,9.93145199374936,10.183034958273382,9.678929238168065,238,396
16,9.856734735115351,10.372075556260727,9.632562256080533,179,396
17,11.16515217934366,11.57524615418065,11.023593995849751,271,396
18,10.053776461470887,10.37768384731202,9.83425458424078,199,396
19,11.873335817660823,11.796847474996044,11.575908359574635,177,396
20,11.170016250093731,11.478475111596518,10.935731581738732,263,396
21,9.905102849801565,10.859037169281347,9.923974430163591,155,396
22,11.435551961377179,12.070360948311604,11.288230983847882,120,396
23,9.951352436025571,10.464224109682176,9.858714782350242,223,396
24,10.37578650749243,10.97884426684875,10.283340897400262,214,396
25,9.07980499452765,9.563845060983212,9.009909382877382,120,396
26,9.290084910824664,10.100427632361267,9.271489095509278,154,396
27,9.978743496042647,10.505890499380815,9.880753713074194,148,396
28,9.533541428906526,9.844020253565915,9.356611139928848,176,396
29,10.368910135168814,10.579895311511711,10.152946769209214,240,396
