fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,136013.9193645739,124570.67557018057,120296.10821715156,101,121
1,123889.08304328691,123715.10948220616,116608.78218062583,36,121
2,115090.12022557863,111626.64738852759,109145.82533474131,87,121
3,104989.26325855096,117790.68244050923,104807.52029201682,42,121
4,120684.17034713709,110870.9481187275,109914.5654402192,83,121
5,229092.79927812165,236005.7769594856,232186.09572001296,105,121
6,131743.90517263755,138616.30755348573,133813.00266878938,48,121
7,105388.14619904832,103441.28262790121,99577.24744873626,80,121
8,117405.49583934764,120665.47119466223,114537.39389921523,72,121
9,247167.4827094536,260186.69224256845,246555.6662761335,67,121
10,147235.57910299473,147781.5954662391,139382.2655812129,58,121
11,224129.34027499953,221343.66756415358,213363.11883208685,57,121
12,141879.85542137048,139545.68400059504,130500.86836097908,58,121
13,91825.21610619342,88615.92402955653,87580.18873392824,72,121
14,116091.28304156491,115931.5928872185,111681.34141383003,73,121
15,118230.19328898196,112146.61221814046,107109.50585465351,98,121
16,96350.99648222898,107723.50331698617,92509.80265248154,30,121
17,123163.33689555665,125932.6872149256,121261.55723020114,95,121
18,121179.45060811602,129819.50567256074,116687.08984035763,45,121
19,148134.10206487516,137640.19441863956,132534.16833138175,87,121
20,139694.51376984207,140867.40760536023,135710.82173559026,76,121
21,137592.01764592584,138485.01720315506,133056.22277273715,44,121
22,158898.0301984679,154562.9702181183,151739.3719208736,96,121
23,116452.18958188422,127973.78526617058,117013.99589783388,85,121
24,111794.80505869661,101149.28302128786,98656.38880679841,87,121
25,89544.27470305105,87526.05572437227,86004.75406933838,83,121
26,71276.59427145346,78130.95003974561,70270.48817822638,76,121
27,103532.68113572992,95864.67075356402,94860.40978959833,99,121
28,99247.55219497412,104122.02033989635,93499.52011060186,83,121
29,112485.19903005061,90525.14605605903,91209.67091958824,107,121
