fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,11.931421536819611,12.043145368542742,11.621247584322562,259,396
1,10.364368406937992,11.06698896973324,10.363045024270138,124,396
2,9.45425962734469,10.141961872165032,9.334570698946452,193,396
3,10.376180980055027,11.075571107054476,10.354455408718156,188,396
4,9.382996991668692,9.308329600082331,9.213153902183926,200,396
5,9.686299036876898,10.048745141790066,9.523820011678952,166,396
6,10.9739946292722,11.601698240927332,10.930040252681016,195,396
7,10.94024825703704,11.73735065963886,10.929015254611986,150,396
8,10.10012632446874,10.853617104090867,10.061624153106262,172,396
9,10.849979781741762,11.507526744879728,10.851262039749116,218,396
10,10.57050891930253,11.099451646563166,10.493244461059014,158,396
11,10.455429548291388,11.329594705607242,10.347005106699196,152,396
12,9.67619918827923,9.929525211494637,9.501335666830835,144,396
13,9.254190442522363,9.539004038315463,9.11437122814288,179,396
14,10.19374424008196,10.340246193636943,9.874243854832384,191,396
15,10.269636202533448,10.174794546718756,9.812806213295367,238,396
16,10.102002096863457,10.164569036804336,9.77681759649997,225,396
17,11.21815194480957,12.030676541732246,11.1592481386817,217,396
18,11.154530459246455,10.376586772935235,10.142912264749055,264,396
19,11.11408086431082,11.889851421023327,10.976232688865476,198,396
20,10.763268311675324,11.080316085238788,10.608033522311176,240,396
21,9.912435552033237,9.923444408060178,9.571820347481344,250,396
22,11.823211916214207,11.655941478803744,11.343898223743443,316,396
23,10.019144983561544,10.646817959546885,9.977365519763671,90,396
24,10.277554476574116,10.99026816137301,10.094880397764985,129,396
25,9.028307502130035,9.27771864281842,8.940468896204944,146,396
26,10.062290483540934,9.978875662944809,9.61894826624986,200,396
27,9.964625882300947,10.269577140863012,9.70058809905998,148,396
28,9.479963090781384,10.50873278746299,9.386430949808215,93,396
29,10.13625500991247,10.517479547264173,10.044509826799626,125,396
