fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,122651.93811640823,174640.24710794204,123624.99495748623,16,121
1,117100.67988383694,153254.66348795273,120556.9979465049,65,121
2,111039.14347882858,149434.1441988545,109901.83785490604,22,121
3,101273.88233844886,132249.71640129286,100991.37209793167,33,121
4,109709.15728447509,128502.62911232407,109570.42113256539,30,121
5,230579.54058519768,259594.83383229448,232740.0657330296,80,121
6,130021.55404362826,149810.441202366,132618.29069126846,67,121
7,94806.0884468619,142039.81757162057,96335.96380655648,22,121
8,124333.00301521964,147389.58526395145,124679.31767052173,21,121
9,284706.55734445085,356487.6019803973,286790.1811174837,23,121
10,175482.5111529022,204591.40686206587,170238.72882671814,60,121
11,276431.47619696584,396804.41902286105,276475.08820357686,10,121
12,162442.64517629772,215918.31258240194,160925.77219314096,15,121
13,86257.74358809284,120247.52093258388,92162.54612073321,55,121
14,119419.41694676028,139885.94924170428,119089.46945656372,53,121
15,134088.4373807984,145549.85966566807,139292.3991410449,43,121
16,96426.32662605053,123927.17335474372,96044.22443277847,17,121
17,135575.29277075772,152951.8646600004,128514.78066676905,69,121
18,168015.55106141552,188370.86517856072,168157.4845061526,71,121
19,146986.47378434078,180325.84301384227,145977.69336829602,77,121
20,157083.73284951824,226279.7794330592,162497.72300553403,83,121
21,162007.9619191247,178522.22761743588,148460.99201636564,74,121
22,178289.40351122286,214756.69977380396,172319.69603317278,33,121
23,134746.53220154988,134590.57156591772,120932.73734819888,19,121
24,98358.93618604016,116926.05765076636,97963.68021451538,38,121
25,87827.14429462803,122723.59801747127,87076.05081955969,37,121
26,93035.18956609123,128442.16907840632,92461.82176307823,20,121
27,105632.69903890009,118583.89326774923,101114.99297931734,29,121
28,115206.00999454987,162118.47290839904,115495.07946097213,25,121
29,109284.09958787888,140084.40627828168,111973.33390002734,71,121
