fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,11.319376591852087,11.715489927641709,11.109666316803931,214,396
1,9.959421102955544,10.232469104229569,9.800396066646723,229,396
2,9.110571798037332,9.632026284296172,9.022185563539166,174,396
3,10.395726210633503,11.127077171535346,10.361199939606744,227,396
4,9.387215551396249,9.772125283581605,9.240392438672053,231,396
5,9.957571510981195,10.016201691058585,9.695253373726183,295,396
6,10.956835999507243,11.291094050677186,10.851502533166562,267,396
7,10.83006592329788,11.17452070430827,10.685036431359748,220,396
8,10.135385315185058,10.582461847355178,10.080402945667604,211,396
9,11.082377371154143,11.59119506880872,10.923675993124036,210,396
10,10.026911826371718,10.57982426960282,9.901413935522438,236,396
11,10.598030324687059,10.999796603084723,10.46559381706592,200,396
12,9.599741366617089,10.161631169733775,9.477787556121296,162,396
13,9.252744091169237,9.529667063308443,9.01738946752476,234,396
14,9.989866839527432,10.458827485454087,9.707424232388748,234,396
15,9.863047799351277,10.407429821330124,9.707253301781725,224,396
16,9.621849685253826,10.26163414757727,9.425459249244987,232,396
17,10.994271020336717,11.551705283287182,10.856531816135076,219,396
18,9.922295207250617,10.151682588863933,9.752137045730572,244,396
19,11.605903207871009,12.267920099927434,11.459933169169368,198,396
20,11.094548994553087,11.464134163805216,10.818170853846238,210,396
21,9.767515882619922,10.271460232246596,9.60839614306626,220,396
22,11.326312645085418,11.69287076030038,11.044358553882917,235,396
23,9.877426868417093,10.178162716833873,9.674738991818302,239,396
24,10.773596646648304,10.852975994559158,10.47122803992163,245,396
25,8.780738028714012,9.204742806202589,8.723349285363085,217,396
26,9.249795983914378,10.015161290051514,9.117924599167747,190,396
27,9.993795770782661,10.29020804316546,9.736556848375997,271,396
28,9.330355581427622,9.964455977059517,9.214092961172783,213,396
29,10.432497686057637,10.620146718338905,10.030535594889132,271,396
