fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,116478.81266114481,126078.824485324,114892.20705702809,45,121
1,101291.81828973978,104712.37969092681,96943.95965280704,67,121
2,106167.49834378253,124265.74995324663,104984.05007792731,37,121
3,106077.2770797912,114601.62474719548,107422.6495108733,82,121
4,111004.25787413568,118618.89893927248,109870.61684367068,41,121
5,224659.28734714983,251591.25436437305,223158.51843147518,35,121
6,131131.64552468297,145990.88309014632,123917.3406215535,74,121
7,90739.59980512231,126829.61645905497,93076.19581866206,39,121
8,104169.66203424329,118379.37583702615,104671.83959965556,61,121
9,241260.4939679726,294010.59036774246,251993.11275828452,44,121
10,149100.42780410906,157250.30413246938,147667.88840104605,54,121
11,227119.96671014716,297782.8775104728,230026.33463857736,64,121
12,118014.41799082875,123755.74956991649,109965.8449867017,64,121
13,83314.59902947916,80274.25816363971,80105.29190802423,84,121
14,112017.21742463691,127054.61438024692,112544.7831028752,35,121
15,105354.00796595193,110104.98638280509,104571.14583903909,56,121
16,95448.61482443195,103779.24905609524,95325.1600066927,73,121
17,113665.21147886143,131042.22238282536,112696.70574842971,35,121
18,137977.18381089397,142874.39421141215,132229.023893001,79,121
19,128201.10514683418,140805.50843033125,127515.78479011553,61,121
20,142589.43015732273,148320.70809228244,139832.42447955787,97,121
21,148750.69185223113,151592.32859298005,145203.00960648505,73,121
22,176364.52511928754,172987.0565354104,159386.7589686678,69,121
23,120606.68140028892,118321.4984952335,111728.43160139956,65,121
24,95633.05732974171,96159.47143918935,92864.77272866834,76,121
25,82083.73527073962,94645.04520449745,82066.97310753354,15,121
26,73591.02566795966,105004.99762635364,74434.32442676915,61,121
27,111136.96650831496,112845.12790839886,106916.31086702118,93,121
28,109480.13546019906,121609.22916682065,107612.35703981256,108,121
29,99033.63114168988,122356.55039005388,107858.73124729765,64,121
