fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,17.75200754703593,16.648390298650323,16.478570107784794,265,396
1,15.93656221358562,14.73633570118379,14.505512236403773,244,396
2,16.01222245746216,13.957431520492039,13.86909699677757,282,396
3,17.46712622477286,15.458488776208348,15.317055765072663,275,396
4,16.094998889732555,14.628315378138636,14.406987879819305,273,396
5,16.558437896694855,14.616277614349574,14.455199112580283,312,396
6,17.46077223624188,15.808069174777318,15.638942825444131,281,396
7,17.60936946972441,16.422627922254314,16.253061274317886,292,396
8,16.172629164666127,15.02059156231183,14.84229961894155,276,396
9,17.104875492649214,15.524581063733567,15.38080471157709,280,396
10,15.88003904436893,14.47517106013211,14.335518639139819,309,396
11,15.701154075889109,14.651636301878806,14.456632139886283,269,396
12,15.725973260041064,14.263114871636542,14.184477454981417,303,396
13,15.48258832043169,13.797535670718647,13.644370506190782,293,396
14,15.76163257273724,14.585440318517247,14.374204988536922,265,396
15,15.989172728951077,14.387219689578545,14.263464619756142,303,396
16,15.510735135531037,14.598051896349602,14.38666856209106,249,396
17,16.80550885627817,15.734797063465747,15.615428973635428,283,396
18,16.28940185680233,14.432492982491496,14.290542097920813,295,396
19,17.321779378135187,16.448576190394398,16.073596024565916,250,396
20,17.038530732051747,15.810346804638703,15.678985756986,277,396
21,15.87539669258331,14.312800632823171,14.252053598652436,311,396
22,17.16305674721573,16.424858601708767,16.230685828108744,251,396
23,15.165671236005446,13.615795340993461,13.563682819415837,294,396
24,16.59050023234652,15.810777811392672,15.428048547986537,258,396
25,14.835016319797715,13.60846061442909,13.39361413188221,287,396
26,15.016331186707285,14.200825573145588,13.992778713297529,267,396
27,15.754252916953059,14.663509399349108,14.516813258760099,277,396
28,15.063452685275962,13.844404281962595,13.687070806949043,276,396
29,15.909115079903698,14.827719053696233,14.662345274849761,301,396
