fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,178251.48989017293,157937.44345393742,157277.68781537405,86,121
1,151650.46192120115,149099.14660887758,145436.0312803359,88,121
2,169993.48220010026,148644.38194346637,146995.37216940653,78,121
3,162326.82424059813,157928.05150509902,153068.8790298353,56,121
4,174604.7509457768,152088.65286284505,151976.2107931696,85,121
5,277850.03275787504,274050.5139869559,269506.5865363279,63,121
6,162588.2149213882,155040.7643477918,151881.07391618734,57,121
7,154818.73761401436,138050.75983267915,135981.23862097992,80,121
8,181554.78469592976,166163.47964827085,163621.20492689466,90,121
9,275377.23214468046,261984.14157195733,258268.9004193756,87,121
10,174399.3123168501,165979.9113271302,161510.71524710255,80,121
11,205703.1715820879,182046.77334615387,181326.65656416226,100,121
12,151657.44690315207,137072.47200811806,134677.24364958532,83,121
13,149104.5251578445,148845.8891537098,138898.19620430857,65,121
14,175952.87924361136,163369.946085674,161128.36676762544,76,121
15,160171.96892910657,156339.19955038262,148547.36970873867,68,121
16,145820.47657228523,128870.64558573418,126040.14893201154,85,121
17,175788.29871012608,162715.0338965363,158804.7947719489,73,121
18,151408.8511857113,135705.35569108918,134717.7579776212,78,121
19,174577.79862604896,171305.1732531585,168785.03829494995,60,121
20,199375.13131631352,172187.0975986801,171230.3465098142,98,121
21,194333.71949718244,172590.41517802532,171847.98445943586,82,121
22,220728.49150479512,181490.67163630406,182372.0498002693,80,121
23,155600.02620038326,163605.89047642914,149531.1116079906,49,121
24,160491.02995333262,146358.00668850145,139347.00118698255,67,121
25,132468.45676191832,117058.43395905654,115461.66514342287,93,121
26,108311.58238577176,104085.28117355723,98656.45505506969,65,121
27,135691.90026101546,129067.42988609165,125054.44004358222,68,121
28,120285.6562561026,117885.15828629202,112460.13647708617,80,121
29,131546.80910423998,120873.42099155676,118819.79096093013,82,121
