fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,141139.8793139408,131793.46350133274,131391.94389894203,89,121
1,108809.32496707409,110778.74410421596,103573.18459272651,56,121
2,125051.3396306121,114157.92891111947,116139.37964427519,98,121
3,117846.479602409,116185.09783770404,112232.4522892534,81,121
4,117520.45606673419,116495.92421903573,112400.60367631118,92,121
5,240068.18809113436,244898.1076852946,236318.0002465246,94,121
6,137299.22734149554,125526.31766092792,120836.77235278077,90,121
7,108422.5941427583,108019.40388205255,103998.4536704248,63,121
8,133116.86147883057,117446.79285250172,121398.134406429,74,121
9,269436.3472244351,316423.79926163226,286897.41544654354,82,121
10,176380.391600075,173277.89005468012,162754.70120111623,62,121
11,243146.70651188094,241254.39589326037,225554.50235004417,82,121
12,153661.28679971502,151550.96962879464,140093.49447992037,48,121
13,92516.01878069334,89761.06148492865,88979.63659702813,96,121
14,124415.28051999961,118356.84772117712,115928.4941236122,56,121
15,112749.93080894399,111709.00811580144,109382.06715835647,90,121
16,105866.98098118001,94842.83158087874,89892.66689555462,99,121
17,137383.76554633246,133793.3051400792,129742.78491153385,68,121
18,143558.19378164862,126655.01815677185,126144.76901457494,89,121
19,150329.96187705593,141200.01489712665,134377.33327032847,87,121
20,160966.7007836013,148080.76452232507,142882.82308188893,68,121
21,146045.48977825747,150208.20256113674,140059.51397050463,90,121
22,161700.89039986162,170160.82449047803,159459.8644920867,75,121
23,130895.9320829855,120083.23215611433,122189.53776865343,62,121
24,104875.73649736698,105476.39783694537,102483.98507229386,78,121
25,89032.94685191361,84199.32291368839,83763.91752360029,63,121
26,88285.14233404369,73082.73836763545,70512.82755473083,108,121
27,113968.393976513,110792.15487434449,106285.9949339317,66,121
28,102732.02613842236,125435.33797877756,100225.34790561511,50,121
29,108183.04002631985,98073.60853798511,95027.67271224417,99,121
